"site_id","study_id","project_number","Site_name","Country","River","Data_owner","Longitude_X","Latitude_Y","sampling_method_long","unit","Dataset.ID","Unique.ID","Longitude_X2","Latitude_Y2","Site_ID_original","be_method"
116000004,"Austria_1",36,"Hainburg_AT_DO2","Austria","Donau","Astrid Schmidt-Kloiber; Patrick Leitner",16.99131672,48.16387722,"AQEM/20","Ind/m^2","AUT_001_MZB_LO","AUT_001_MZB_LO_2",16.9913167204313,48.1638772185017,"AT_DO2",NA
116000007,"Austria_1",36,"Großharras_AT_PU1","Austria","Pulkau","Astrid Schmidt-Kloiber; Patrick Leitner",16.249858,48.719017,"AQEM/20","Ind/m^2","AUT_001_MZB_LO","AUT_001_MZB_LO_7",16.889066598082,48.7162573294799,"AT_PU1",NA
121000003,"Belgium_1_1",41,"757000_REIGERBEEK","Belgium","REIGERBEEK","Marie Anne Eurie Forio",3.46189281,51.02102642,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_215",3.4643779,51.0215649,"BEVL_VMM_757000","Handnet"
121000004,"Belgium_1_1",41,"756000_NEERSCHUURBEEK","Belgium","NEERSCHUURBEEK","Marie Anne Eurie Forio",3.51817773,51.02879884,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_214",3.5206662,51.029337,"BEVL_VMM_756000","Handnet"
121000005,"Belgium_1_1",41,"531110_MOLENBEEK - PACHTBOSBEEK L1","Belgium","MOLENBEEK - PACHTBOSBEEK L1","Marie Anne Eurie Forio",3.89853166,50.81061274,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_171",3.9010356,50.8111366,"BEVL_VMM_531110","Handnet"
121000007,"Belgium_1_1",41,"495300_ZELEBEEK","Belgium","ZELEBEEK","Marie Anne Eurie Forio",4.02778561,51.08598412,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_159",4.0303049,51.086519,"BEVL_VMM_495300","Handnet"
121000009,"Belgium_1_1",41,"485200_IJSE L1","Belgium","IJSE L1","Marie Anne Eurie Forio",4.4239795,50.76354122,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_154",4.4265118,50.7640568,"BEVL_VMM_485200",NA
121000010,"Belgium_1_1",41,"84000_LEYLOOP","Belgium","LEYLOOP","Marie Anne Eurie Forio",5.0305485,51.48664096,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_232",5.0331371,51.4871821,"BEVL_VMM_84000","Handnet"
121000011,"Belgium_1_1",41,"86000_DE AA (RAVELS)","Belgium","DE AA (RAVELS)","Marie Anne Eurie Forio",5.07523756,51.47102375,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_244",5.0778282,51.4715636,"BEVL_VMM_86000","Handnet"
121000013,"Belgium_1_1",41,"76800_BLAUWPUTTEN EN LEILOOP","Belgium","BLAUWPUTTEN EN LEILOOP","Marie Anne Eurie Forio",4.75096398,51.49657186,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_217",4.7535369,51.4971168,"BEVL_VMM_76800","Handnet"
121000015,"Belgium_1_1",41,"81000_MERKSKE L1","Belgium","MERKSKE L1","Marie Anne Eurie Forio",4.84406109,51.41542145,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_226",4.8466368,51.4159616,"BEVL_VMM_81000","Handnet"
121000016,"Belgium_1_1",41,"82000_MERKSKE L1","Belgium","MERKSKE L1","Marie Anne Eurie Forio",4.86817045,51.40665821,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_229",4.8707473,51.4071977,"BEVL_VMM_82000","Handnet"
121000017,"Belgium_1_1",41,"74000_MARK L1","Belgium","MARK L1","Marie Anne Eurie Forio",4.82463116,51.38065348,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_208",4.8272047,51.3811923,"BEVL_VMM_74000","Handnet"
121000019,"Belgium_1_1",41,"281000_MOLENBEEK - BOLLAAK L1","Belgium","MOLENBEEK - BOLLAAK L1","Marie Anne Eurie Forio",4.7453444,51.24209891,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_78",4.7479092,51.2426324,"BEVL_VMM_281000",NA
121000021,"Belgium_1_1",41,"299000_GROTE CALIE","Belgium","GROTE CALIE","Marie Anne Eurie Forio",4.87206999,51.23143308,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_89",4.8746416,51.2319646,"BEVL_VMM_299000","Handnet"
121000028,"Belgium_1_1",41,"305000_WAMP L1","Belgium","WAMP L1","Marie Anne Eurie Forio",5.00591597,51.24627238,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_94",5.0084957,51.2468029,"BEVL_VMM_305000","Handnet"
121000029,"Belgium_1_1",41,"305500_WAMP L1","Belgium","WAMP L1","Marie Anne Eurie Forio",5.05891188,51.30276154,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_95",5.0614963,51.303294,"BEVL_VMM_305500","Handnet"
121000034,"Belgium_1_1",41,"93800_DOMMEL L1","Belgium","DOMMEL L1","Marie Anne Eurie Forio",5.42569636,51.14065971,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_264",5.4282965,51.1411803,"BEVL_VMM_93800","Handnet"
121000040,"Belgium_1_1",41,"719600_ZWALMBEEK","Belgium","ZWALMBEEK","Marie Anne Eurie Forio",3.77157405,50.82309825,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_199",3.7740711,50.8236242,"BEVL_VMM_719600","Handnet"
121000042,"Belgium_1_1",41,"44000_LANGELEDE","Belgium","LANGELEDE","Marie Anne Eurie Forio",3.84588034,51.1692193,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_138",3.8483916,51.1697601,"BEVL_VMM_44000","Handnet"
121000044,"Belgium_1_1",41,"45500_WATERGANG VAN DE MOERBEKEPOLDER","Belgium","WATERGANG VAN DE MOERBEKEPOLDER","Marie Anne Eurie Forio",3.92031528,51.21509458,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_143",3.9228322,51.2156366,"BEVL_VMM_45500","Handnet"
121000045,"Belgium_1_1",41,"45600_WATERGANG VAN DE MOERBEKEPOLDER","Belgium","WATERGANG VAN DE MOERBEKEPOLDER","Marie Anne Eurie Forio",3.9203121,51.22140425,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_145",3.9228292,51.2219466,"BEVL_VMM_45600","Handnet"
121000047,"Belgium_1_1",41,"70000_WEHAGENBEEK","Belgium","WEHAGENBEEK","Marie Anne Eurie Forio",4.63997286,51.41630879,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_197",4.642537,51.4168515,"BEVL_VMM_70000","Handnet"
121000049,"Belgium_1_1",41,"182200_GROOT SCHIJN L1","Belgium","GROOT SCHIJN L1","Marie Anne Eurie Forio",4.56025156,51.22084926,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_44",4.5628052,51.221384,"BEVL_VMM_182200","Handnet"
121000053,"Belgium_1_1",41,"277000_KLEINE NETE L1","Belgium","KLEINE NETE L1","Marie Anne Eurie Forio",5.06665805,51.2390886,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_71",5.069241,51.2396181,"BEVL_VMM_277000","Handnet"
121000059,"Belgium_1_1",41,"120000_WITBEEK","Belgium","WITBEEK","Marie Anne Eurie Forio",5.71887575,51.11918237,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_11",5.7214918,51.1196984,"BEVL_VMM_120000","Handnet"
121000073,"Belgium_1_1",41,"336000_KLEINE HOOFDGRACHT","Belgium","KLEINE HOOFDGRACHT","Marie Anne Eurie Forio",5.17837466,51.15684839,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_113",5.1809614,51.1573728,"BEVL_VMM_336000","Handnet"
121000075,"Belgium_1_1",41,"309000_DESSELSE NEET","Belgium","DESSELSE NEET","Marie Anne Eurie Forio",5.08378831,51.25430209,"Handnet","Ind/sample","BEL_005_MZB_LO","BEL_005_MZB_LO_102",5.0863727,51.2548321,"BEVL_VMM_309000","Handnet"
