"site_id","sgn_id","sample_id","year","month","day","AESHNIDAE GEN. SP.","ASELLIDAE GEN. SP.","ATHERICIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BLEPHARICERIDAE GEN. SP.","CAENIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORIXIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","CULICIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","DIXIDAE GEN. SP.","DUGESIIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","EUPHAEIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GERRIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOMPHIDAE GEN. SP.","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDAE GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROMETRIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIBELLULIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MELANOPSIDAE GEN. SP.","NEMATODA GEN. SP.","NEMOURIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PLANORBIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","POTAMANTHIDAE GEN. SP.","POTAMIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","TABANIDAE GEN. SP.","TIPULIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP."
102000002,"CYP_009_MZB_LO_2","102000002_18.03.2006",2006,"3",18,4,0,0,272,2,0,0,14,0,0,82,0,4,0,0,0,8,4,8,0,6,68,50,2,6,0,166,0,0,0,2,2,56,74,20,0,0,6,2,0,12,0,0,0,0,42,0,6,0,12,0,4,2,0,32,120,2,6,68,16,0,4
102000002,"CYP_009_MZB_LO_2","102000002_29.03.2007",2007,"3",29,0,8,148,224,0,0,0,0,0,12,36,96,0,0,0,0,0,0,0,8,8,0,0,2,16,12,300,0,0,4,0,0,100,60,0,0,0,0,0,0,44,0,0,0,0,68,0,4,0,16,0,0,0,0,0,48,0,8,20,0,0,0
102000002,"CYP_009_MZB_LO_2","102000002_10.04.2008",2008,"4",10,0,0,67,52,0,0,0,0,0,0,8,55,0,0,0,0,0,0,0,0,0,0,0,0,5,0,165,0,0,0,0,0,35,40,0,0,0,0,0,2,0,0,0,0,0,13,1,0,0,2,0,1,0,0,0,6,0,0,1,1,0,0
102000002,"CYP_009_MZB_LO_2","102000002_11.06.2009",2009,"6",11,2,0,17,63,0,0,0,0,2,0,109,0,0,0,0,0,0,0,20,0,4,0,0,0,0,4,45,400,0,0,0,0,2,76,8,0,10,79,0,0,6,0,0,0,0,7,0,0,0,24,5,2,0,1,0,62,0,0,4,0,0,0
102000002,"CYP_009_MZB_LO_2","102000002_14.04.2010",2010,"4",14,0,0,29,224,0,2,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,28,16,0,0,15,0,0,0,39,0,0,0,38,0,0,0,0,13,0,1,0,0,34,121,0,0,0,0,0,0
102000002,"CYP_009_MZB_LO_2","102000002_27.04.2011",2011,"4",27,1,0,51,224,0,0,8,0,0,0,7,0,0,0,0,0,1,0,0,8,0,0,2,0,11,7,122,0,0,0,0,0,10,11,0,0,9,4,0,0,30,0,0,0,0,1,0,0,0,3,0,0,0,0,23,57,0,1,0,0,0,1
102000002,"CYP_009_MZB_LO_2","102000002_31.05.2017",2017,"5",31,0,0,17,102,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,1,6,84,0,0,0,0,0,0,41,1,1,0,58,0,0,6,0,0,0,0,6,0,0,1,4,0,0,0,1,11,48,0,0,0,2,0,0
102000002,"CYP_009_MZB_LO_2","102000002_03.04.2018",2018,"4",3,0,0,26,167,0,0,68,0,0,4,50,0,0,3,0,0,0,3,0,13,6,34,0,0,4,7,101,5,0,1,0,0,11,36,2,0,0,23,0,0,3,1,14,0,0,3,0,0,2,7,0,0,2,0,23,117,1,1,4,0,2,0
102000003,"CYP_009_MZB_LO_3","102000003_19.03.2006",2006,"3",19,4,0,28,428,0,0,648,0,0,0,370,0,0,0,0,0,4,2,0,2,24,20,0,0,10,40,290,0,0,0,0,0,30,6,30,0,0,0,6,0,2,0,0,0,0,10,0,0,56,2,0,0,0,0,8,212,0,0,12,2,0,6
102000003,"CYP_009_MZB_LO_3","102000003_23.04.2008",2008,"4",23,9,0,96,319,0,0,585,0,0,0,548,12,0,0,0,0,2,0,0,0,69,0,0,0,1,30,274,0,0,0,0,0,0,261,1,0,0,0,140,0,0,0,0,0,0,47,0,0,11,71,0,0,0,0,0,331,0,0,18,0,0,4
102000003,"CYP_009_MZB_LO_3","102000003_11.06.2009",2009,"6",11,0,0,0,451,0,0,4,0,0,1,76,1,0,0,1,0,4,0,1,0,8,0,0,0,1,4,109,241,0,0,0,0,11,124,0,0,0,4,0,0,1,0,0,0,0,1,0,5,9,23,0,0,0,1,0,157,0,4,0,9,0,0
102000003,"CYP_009_MZB_LO_3","102000003_22.04.2010",2010,"4",22,0,0,17,370,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,13,105,400,0,0,0,0,6,11,1,0,18,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,4,698,0,0,1,0,0,0
102000003,"CYP_009_MZB_LO_3","102000003_06.04.2011",2011,"4",6,3,0,26,101,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,170,0,0,0,0,0,3,3,1,0,19,0,0,0,8,0,0,0,0,2,0,0,1,5,0,1,0,0,23,2,0,0,4,0,0,0
102000003,"CYP_009_MZB_LO_3","102000003_06.06.2016",2016,"6",6,0,0,2,204,0,0,3,0,0,0,8,0,0,0,0,0,2,0,0,0,1,0,0,2,1,13,148,0,1,0,0,0,15,9,0,24,0,0,15,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,1,116,0,0,2,0,0,1
102000003,"CYP_009_MZB_LO_3","102000003_03.04.2018",2018,"4",3,1,0,2,149,0,0,115,0,0,2,912,0,0,1,0,0,0,0,0,3,4,4,0,0,1,9,18,0,0,0,0,0,1,72,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,3,77,0,1,0,1,0,0
102000003,"CYP_009_MZB_LO_3","102000003_27.05.2019",2019,"5",27,2,0,4,129,0,0,0,0,0,1,69,0,0,0,0,1,2,0,0,7,0,0,0,0,4,10,20,0,0,0,0,0,0,71,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,198,0,0,1,12,0,6
