"site_id","sgn_id","sample_id","year","month","day","ACROLOXIDAE GEN. SP.","AGRIOTYPUS ARMATUS","ANTOCHA VITRIPENNIS","APATANIA MULIEBRIS","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","ATHERICIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","CAENIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHRYSOMELIDAE GEN. SP.","CORIXIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","DENDROCOELIDAE GEN. SP.","DIXIDAE GEN. SP.","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","ELODES SP.","ELOEOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIIDAE GEN. SP.","GYRINIDAE GEN. SP.","HALIPLIDAE GEN. SP.","HEPTAGENIIDAE GEN. SP.","HYDRAENIDAE GEN. SP.","HYDRIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","ISCHNURA ELEGANS","LEPIDOPTERA GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIBELLULIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MOLANNIDAE GEN. SP.","MUSCIDAE GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMERTEA GEN. SP.","NEMOURIDAE GEN. SP.","NERITIDAE GEN. SP.","NOTONECTA VIRIDIS","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSIDAE GEN. SP.","PILARIA SP.","PISCICOLIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCIOMYZIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SISYRA NIGRA","SPHAERIIDAE GEN. SP.","SPONGILLIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SUCCINEIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","TIPULIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP.","ZONITIDAE GEN. SP."
109000419,"ENG_044_MZB_LO_1","109000419_01.10.2008",2008,"10",1,0,0,0,0,2,0,0,81,0,3,1,43,7,0,2,85,0,0,0,0,0,0,0,12,0,348,0,0,1,0,15,1,478,3,22,4,0,17,0,1,2,0,5,0,76,5,0,0,65,41,1,16,0,4,4,0,0,0,0,0,0,11,0,0,27,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,27,0,6,0,116,0,0,0,0,0,7,1,0,0
109000419,"ENG_044_MZB_LO_1","109000419_27.10.2009",2009,"10",27,0,0,0,0,0,0,0,20,0,9,0,30,1,0,1,60,0,0,0,0,0,0,0,2,0,50,0,0,0,0,7,0,30,1,20,7,0,20,0,8,7,0,30,0,50,2,0,0,40,5,2,0,0,10,5,0,0,0,0,0,0,20,0,0,40,0,0,0,0,0,0,1,4,6,0,0,0,0,1,0,10,0,20,0,20,0,0,0,0,0,1,1,0,0
109000419,"ENG_044_MZB_LO_1","109000419_14.10.2010",2010,"10",14,0,0,0,0,1,0,0,5,0,7,0,120,2,0,2,24,0,0,0,0,0,0,0,0,0,234,0,0,0,0,31,1,663,3,6,9,0,6,0,4,12,0,50,0,65,1,0,0,179,61,0,3,0,2,5,0,0,0,0,0,0,13,0,0,68,0,0,0,0,0,0,1,5,16,0,0,0,0,0,0,27,0,11,0,132,0,0,0,0,0,2,6,0,0
109000419,"ENG_044_MZB_LO_1","109000419_13.10.2011",2011,"10",13,0,0,0,0,0,0,0,5,0,2,0,35,1,0,0,80,0,0,0,0,0,0,0,7,2,150,0,0,0,0,4,0,200,2,25,0,0,7,0,5,2,0,40,0,12,0,0,0,50,30,2,2,0,10,4,0,0,0,0,0,0,8,0,0,60,0,0,0,0,0,0,0,3,11,0,0,0,0,1,0,4,0,25,0,150,0,0,0,0,0,2,1,0,0
109000419,"ENG_044_MZB_LO_1","109000419_16.10.2013",2013,"10",16,0,0,0,0,0,0,0,8,0,0,0,5,15,0,0,5,0,0,0,0,0,0,0,0,0,175,0,0,0,0,1,0,375,0,130,2,0,15,0,5,0,0,25,0,220,0,0,0,0,80,3,7,0,4,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,1,15,0,1,0,0,3,0,100,0,8,0,25,0,0,0,0,0,0,0,0,0
109000419,"ENG_044_MZB_LO_1","109000419_20.10.2014",2014,"10",20,0,0,2,0,0,0,0,21,0,0,0,58,15,0,6,98,0,0,0,0,0,0,0,3,0,355,0,0,0,0,51,0,600,0,60,3,0,59,0,69,11,0,136,0,499,5,0,0,226,42,7,0,0,5,18,0,1,0,0,0,0,35,0,0,42,5,0,0,0,0,0,0,1,18,0,0,0,0,1,0,72,0,15,0,188,0,0,0,0,0,0,0,0,0
109000419,"ENG_044_MZB_LO_1","109000419_23.10.2015",2015,"10",23,0,0,0,0,1,0,0,11,0,0,0,272,0,0,9,63,0,0,0,0,0,0,0,0,0,947,0,0,1,1,61,0,1522,4,8,9,0,21,0,24,39,0,460,0,283,2,0,0,8,38,4,1,0,9,11,0,0,0,0,0,0,30,0,0,47,6,0,0,0,0,0,1,2,17,0,0,0,0,1,0,15,0,52,0,283,0,0,0,0,0,0,1,0,0
109000419,"ENG_044_MZB_LO_1","109000419_05.10.2016",2016,"10",5,0,0,0,0,0,0,2,4,0,5,4,1,0,0,1,24,0,0,0,0,0,0,0,0,0,255,0,0,0,0,8,0,375,1,13,4,0,7,0,11,1,0,90,0,95,0,0,0,24,35,1,0,0,1,4,0,0,0,0,0,0,12,0,0,138,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,13,0,14,0,105,0,0,0,0,0,0,0,0,0
109000419,"ENG_044_MZB_LO_1","109000419_23.10.2017",2017,"10",23,0,0,0,0,7,0,0,22,0,1,1,10,0,0,1,10,0,0,0,0,0,0,0,4,0,342,0,0,0,0,40,0,525,0,50,6,0,18,0,60,5,0,1834,0,238,0,0,0,20,38,8,1,0,20,0,0,0,0,0,0,0,14,0,0,60,10,0,0,0,0,0,2,2,16,0,1,0,0,0,0,19,0,19,0,344,0,1,0,0,0,0,0,0,0
109000419,"ENG_044_MZB_LO_1","109000419_11.10.2018",2018,"10",11,0,0,1,0,3,0,0,4,0,5,5,5,1,0,1,13,0,0,0,0,2,1,1,0,0,295,0,0,0,0,22,0,635,0,100,1,0,22,0,120,14,0,296,0,371,2,0,0,42,23,5,5,0,17,1,0,0,0,0,0,0,17,0,0,30,0,0,0,0,0,0,3,2,29,0,1,0,0,0,0,16,0,232,0,273,0,0,0,0,0,1,0,0,0
