"site_id","sgn_id","sample_id","year","month","day","AGABUS STURMII","AGRIOTYPUS ARMATUS","AMELETUS INOPINATUS","AMPHINEMURA SP.","ANACAENA GLOBULUS","APATANIA SP.","BAETIS SP.","BRACHYPTERA SP.","CAPNIA VIDUA SSP.","CERATOPOGONINAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CRUNOECIA SP.","DERONECTES PLATYNOTUS","DICRANOTA SP.","DIURA BICAUDATA","ECDYONURUS SP.","ELMIS SP.","ELODES SP.","ESOLUS ANGUSTATUS","GAMMARUS FOSSARUM","GERRIS SP.","GLOSSOSOMATIDAE GEN. SP.","HABROPHLEBIA LAUTA","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROPSYCHE TENUIS","ISOPERLA SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS PERRISI","LIMONIIDAE GEN. SP.","LITHAX NIGER","MICRASEMA LONGULUM","MICRASEMA MINIMUM","NECTOPORUS SANMARKII","NEMOURA SP.","NEMURELLA PICTETII","NIPHARGUS SP.","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","PEDICIA SP.","PERLODES SP.","PHILOPOTAMUS LUDIFICATUS","PISIDIUM SP.","PLECTROCNEMIA SP.","POLYCELIS FELINA","PROTONEMURA SP.","PTILOCOLEPUS GRANULATUS GRANULATUS","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMATIDAE GEN. SP.","SIALIS FULIGINOSA","SILO SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS LACUSTRIS","TIPULIDAE GEN. SP.","VELIA CAPRAI SSP."
108000156,"GER_021_MZB_LO_1","108000156_09.06.1983",1983,"6",9,6,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,38,6,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,6,20,0,0,20,6,0,20,6,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_15.04.1987",1987,"4",15,0,0,0,0,0,6,0,20,0,0,0,0,0,0,0,6,0,1,0,0,0,0,20,0,0,0,0,20,6,30,0,0,0,6,6,0,0,0,0,0,0,0,1,6,0,0,0,6,0,0,18,6,0,20,0,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_12.06.1989",1989,"6",12,0,0,0,7,0,6,0,6,0,0,200,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,32,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,20,0,0,6,0,0,6,20,0,1,0
108000156,"GER_021_MZB_LO_1","108000156_17.06.1991",1991,"6",17,0,0,65,21,0,6,0,0,0,1,20,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,21,106,20,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,7,0,1,7,0,1,6,12,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_20.06.1994",1994,"6",20,0,0,6,20,0,65,20,20,0,0,20,6,0,0,0,6,0,0,12,0,0,0,6,0,0,0,0,20,201,185,200,6,0,6,0,20,0,0,0,20,65,0,0,6,0,6,6,202,0,0,72,6,6,65,7,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_07.06.1995",1995,"6",7,0,0,20,2,0,65,0,20,0,0,6,1,0,0,6,20,0,6,0,0,0,0,0,0,0,0,0,65,24,171,6,0,0,0,0,0,0,0,0,20,1,0,0,6,0,0,20,23,0,0,7,6,65,20,0,0,6,6
108000156,"GER_021_MZB_LO_1","108000156_28.05.1996",1996,"5",28,0,1,20,0,1,6,0,200,0,0,6,20,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,20,24,97,65,0,1,20,0,1,1,0,0,6,6,0,1,1,0,20,0,21,0,0,21,6,0,20,6,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_15.05.1997",1997,"5",15,0,0,6,20,0,20,7,65,6,0,6,20,1,0,6,6,1,6,0,0,0,0,0,0,0,6,0,20,132,112,20,0,6,20,1,20,0,0,0,6,6,0,6,6,0,6,0,20,0,0,22,20,0,20,1,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_14.05.1998",1998,"5",14,0,0,6,0,0,1,6,65,0,0,6,6,0,0,6,6,0,6,0,0,0,6,0,0,0,0,6,20,22,60,20,0,1,20,0,0,1,0,0,6,6,0,6,6,0,0,0,21,0,0,20,6,0,6,6,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_25.05.1999",1999,"5",25,0,0,0,6,0,20,6,200,0,0,20,20,0,0,0,0,0,6,0,6,0,0,0,0,6,0,0,20,70,97,65,6,6,6,0,0,0,0,0,20,6,6,0,0,1,6,0,67,0,0,65,20,1,65,6,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_15.06.2000",2000,"6",15,0,0,1,20,0,20,7,1,0,0,20,7,0,0,6,0,0,6,6,6,0,6,0,0,0,6,0,0,67,178,65,6,1,20,0,6,0,0,0,6,6,0,0,0,0,7,0,67,1,1,26,20,0,200,27,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_15.05.2001",2001,"5",15,0,0,20,6,0,65,6,200,1,0,20,20,1,0,6,20,0,0,0,0,0,6,6,0,0,1,0,20,69,357,200,6,20,20,0,20,1,0,1,6,6,0,1,1,0,6,6,65,0,0,71,20,0,200,12,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_21.05.2002",2002,"5",21,0,0,20,20,0,20,6,200,1,0,20,20,0,0,0,1,0,6,0,65,0,0,0,0,0,0,0,20,205,143,200,0,20,6,0,20,7,0,0,20,6,20,1,0,0,0,0,203,0,0,65,6,0,65,26,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_17.06.2003",2003,"6",17,0,1,0,7,0,0,85,1,0,0,65,1,0,0,6,0,0,6,0,20,1,6,6,1,0,6,0,6,23,101,65,6,6,6,0,20,0,1,0,6,6,0,0,0,0,0,0,67,1,0,85,6,0,20,77,20,1,0
108000156,"GER_021_MZB_LO_1","108000156_26.04.2004",2004,"4",26,0,0,40,12,0,0,12,130,0,0,12,12,0,12,12,2,12,12,0,0,0,0,0,0,0,0,12,12,101,72,130,0,2,40,12,40,14,0,0,40,0,0,12,0,0,12,0,42,0,12,52,12,0,40,54,0,0,0
108000156,"GER_021_MZB_LO_1","108000156_23.05.2017",2017,"5",23,0,0,6,6,0,0,91,0,0,0,6,0,0,6,6,0,6,20,0,0,200,0,206,0,0,0,6,6,20,47,65,0,0,0,0,6,0,0,0,20,1,0,0,0,0,0,1,20,0,20,6,6,0,6,0,0,0,0
