"site_id","sgn_id","sample_id","year","month","day","APHELOCHEIRUS SP.","ASELLUS SP.","ATHERIX SP.","BAETIS SP.","BLEPHARICERIDAE GEN. SP.","CAENIS SP.","CALOPTERYX SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","DUGESIA SP.","DYTISCIDAE GEN. SP. AD.","ECDYONURUS SP.","ELMIDAE GEN. SP. AD.","EPEORUS SP.","EPHEMERA SP.","EPHEMERELLA SP.","ERISTALIS SP.","ERPOBDELLIDAE GEN. SP.","GAMMARUS SP.","GLOSSIPHONIIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","HABROPHLEBIA SP.","HAEMOPIS SANGUISUGA","HALIPLIDAE GEN. SP. AD.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PARALEPTOPHLEBIA SP.","PERLA SP.","PHILOPOTAMIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSIDAE GEN. SP.","PISIDIUM SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIDIDAE GEN. SP.","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SPHAERIUM SP.","TIPULIDAE GEN. SP."
106000001,"BGR_006_MZB_LO_4","106000001_28.07.2010",2010,"7",28,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,0,30,2,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106000001,"BGR_006_MZB_LO_4","106000001_14.07.2011",2011,"7",14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106000001,"BGR_006_MZB_LO_4","106000001_26.07.2012",2012,"7",26,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_07.08.2013",2013,"8",7,0,0,5,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,2,2,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_13.06.2014",2014,"6",13,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_18.06.2015",2015,"6",18,0,0,0,80,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_14.07.2016",2016,"7",14,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106000001,"BGR_006_MZB_LO_4","106000001_24.08.2017",2017,"8",24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_07.08.2018",2018,"8",7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106000001,"BGR_006_MZB_LO_4","106000001_09.09.2019",2019,"9",9,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
