"site_id","sgn_id","sample_id","year","month","day","AGAPETUS SP.","AMELETUS INOPINATUS","AMPHINEMURA STANDFUSSI","AMPHINEMURA SULCICOLLIS","ANCYLUS FLUVIATILIS","ANTOCHA VITRIPENNIS","ASELLUS SP.","ATHRIPSODES SP.","AUSTROPOTAMOBIUS PALLIPES","BAETIS SP.","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA RISI","CAENIS SP.","CENTROPTILUM LUTEOLUM","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CRANGONYX PSEUDOGRACILIS","DICRANOTA SP.","DINOCRAS CEPHALOTES","ELMIS AENEA AD.","ELODES SP. LV.","ELOEOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","ERPOBDELLA OCTOCULATA","ESOLUS PARALLELEPIPEDUS AD.","GALBA TRUNCATULA","GAMMARUS PULEX","GLOSSIPHONIA COMPLANATA","GOERIDAE GEN. SP.","GYRAULUS ALBUS","GYRAULUS CRISTA","HELOBDELLA STAGNALIS","HEPTAGENIIDAE GEN. SP.","HEXATOMA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA GRACILIS AD.","HYDROPHILIDAE GEN. SP. AD.","HYDROPSYCHE SILTALAI","HYDROPTILA SP.","ISOPERLA GRAMMATICA","ITHYTRICHIA SP.","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS VOLCKMARI AD.","LYPE SP.","MICRONECTA SP.","MYSTACIDES SP.","NEMATODA GEN. SP.","NEMOURA AVICULARIS","NEMOURA CAMBRICA","NEMOURA CAMBRICA/ERRATICA","NEMURELLA PICTETII","NEOLIMNOMYIA SP.","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS AD.","OREODYTES DAVISII AD.","OREODYTES SANMARKII AD.","OULIMNIUS SP. AD.","PEDICIA SP.","PERLA BIPUNCTATA","PERLODES MICROCEPHALUS","PILARIA SP.","PLECTROCNEMIA SP.","POLYCENTROPUS SP.","POTAMOPYRGUS ANTIPODARUM","POTAMOPYRGUS ANTIPODARUM.1","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","RADIX BALTHICA","RHYACOPHILA SP.","SERICOSTOMA PERSONATUM","SERRATELLA IGNITA","SIALIS FULIGINOSA","SIMULIIDAE GEN. SP.","SIPHLONURUS LACUSTRIS","SIPHONOPERLA TORRENTIUM SSP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","THEROMYZON TESSULATUM","TIPULA SP.","TROCHETA SUBVIRIDIS"
109000411,"ENG_043_MZB_LO_1","109000411_04.04.1997",1997,"4",4,0,0,0,0,44,0,4,2,0,0,0,0,12,0,12,0,4,7,0,8,0,0,4,1,0,0,0,160,0,0,0,0,0,0,0,12,4,0,108,1,0,0,4,12,0,1,0,0,0,12,1,1,0,0,1,0,48,0,0,1,1,0,0,0,0,0,1,20,20,0,0,0,0,0,4,0,0,4,0,0,20,0,0,0,0
109000411,"ENG_043_MZB_LO_1","109000411_22.04.1998",1998,"4",22,11,0,0,0,77,0,0,1,0,151,0,0,0,0,13,178,0,0,0,53,1,0,26,9,9,0,1,153,1,5,0,0,0,6,0,25,0,0,58,1,1,0,41,22,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,105,105,0,17,5,0,0,17,8,0,13,0,0,93,0,0,0,0
109000411,"ENG_043_MZB_LO_1","109000411_20.04.1999",1999,"4",20,19,0,0,0,49,0,0,6,1,73,0,0,72,16,12,1008,0,17,0,25,0,0,50,0,0,0,0,113,0,56,0,0,0,134,0,46,4,0,98,0,9,0,73,43,12,5,4,0,0,8,0,5,0,1,0,1,260,0,0,0,0,0,0,0,1,0,8,51,51,0,10,1,0,10,8,0,0,1,0,0,34,0,0,0,3
109000411,"ENG_043_MZB_LO_1","109000411_10.04.2000",2000,"4",10,2,0,0,1,7,0,0,0,0,123,0,1,41,8,6,488,3,12,0,15,0,1,53,4,0,1,0,37,0,15,0,0,0,130,0,46,0,2,42,1,4,2,33,43,1,8,1,1,0,22,1,2,0,0,1,0,187,1,0,0,6,0,0,0,0,3,14,9,9,0,0,0,0,1,3,1,0,0,0,0,51,0,0,0,5
109000411,"ENG_043_MZB_LO_1","109000411_29.05.2002",2002,"5",29,0,0,0,0,13,2,0,0,0,101,0,0,390,0,8,2519,1,13,0,21,0,0,19,8,0,0,0,21,0,0,0,0,0,80,0,50,3,1,4,2,1,0,41,199,106,0,0,0,1,23,1,0,0,0,0,0,184,0,0,1,3,0,0,0,0,0,1,13,13,0,4,0,0,2,0,718,0,23,0,0,14,0,0,0,0
109000411,"ENG_043_MZB_LO_1","109000411_02.05.2003",2003,"5",2,0,0,1,0,12,0,0,1,0,126,0,0,154,0,11,3936,0,8,0,11,0,0,37,2,2,0,0,81,0,1,0,0,2,33,0,47,1,0,28,33,6,1,27,8,102,0,0,0,1,0,0,0,0,0,0,0,2960,0,0,0,0,0,0,0,0,0,1,6,6,0,1,5,0,3,6,35,0,23,0,1,62,0,0,0,1
109000411,"ENG_043_MZB_LO_1","109000411_26.03.2004",2004,"3",26,0,0,0,0,23,0,0,9,0,58,0,0,85,0,14,564,0,18,0,9,0,3,20,0,0,0,0,36,0,2,0,2,1,14,0,22,3,0,16,0,0,1,19,0,4,2,0,3,0,0,11,2,0,0,0,0,357,4,0,0,3,0,0,0,0,0,23,8,8,0,3,4,0,4,0,0,0,9,0,0,65,0,0,1,4
109000411,"ENG_043_MZB_LO_1","109000411_04.04.2005",2005,"4",4,1,0,0,0,24,0,0,7,0,268,0,0,188,0,3,308,0,20,0,9,0,0,8,0,0,0,0,172,1,7,0,0,3,32,0,24,3,0,24,0,1,1,6,0,12,0,0,0,0,0,1,0,0,0,0,0,716,3,0,0,4,0,0,0,0,0,1,68,68,0,0,1,0,1,0,1,0,2,0,0,36,0,0,0,2
109000411,"ENG_043_MZB_LO_1","109000411_31.05.2006",2006,"5",31,1,0,0,0,3,1,0,1,0,144,0,0,672,0,1,4720,8,112,0,7,0,0,1,4,1,0,0,120,0,0,0,0,2,9,0,52,1,0,10,9,0,0,4,14,356,1,0,0,0,0,6,0,0,0,0,0,184,0,0,0,1,0,0,0,0,0,1,96,96,0,0,1,1,1,1,396,0,168,0,0,116,0,0,0,0
109000411,"ENG_043_MZB_LO_1","109000411_28.05.2008",2008,"5",28,8,0,0,0,2,0,0,9,0,264,0,0,522,0,4,3468,0,71,0,15,0,0,10,7,0,0,0,332,0,1,0,0,0,40,0,10,8,0,28,12,2,0,27,1,138,0,0,0,0,0,7,0,0,0,0,0,59,0,0,0,4,0,0,0,0,0,33,137,137,0,0,0,0,15,11,394,0,110,0,0,35,0,0,0,0
