"site_id","sgn_id","sample_id","year","month","day","AGAPETUS OCHRIPES","AMELETUS INOPINATUS","APATANIA SP.","ARCTOPSYCHE LADOGENSIS","BAETIDAE GEN. SP.","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA RISI","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","COLEOPTERA GEN. SP. AD.","COLEOPTERA GEN. SP. LV.","DIPTERA GEN. SP.","ELMIS AENEA AD.","ELMIS AENEA LV.","EMPIDIDAE GEN. SP.","EPHEMERELLA SP.","GASTROPODA GEN. SP.","GLOSSOSOMA INTERMEDIUM","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP. AD.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEUCTRA SP.","LEUCTRIDAE/CAPNIIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","MICRASEMA SETIFERUM SETIFERUM","NEMATOCERA GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLODIDAE GEN. SP.","PLATYHELMINTHES GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","RADIX SP.","RHYACOPHILA SP.","SERICOSTOMA PERSONATUM","SILO PALLIPES","SIMULIIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","TIPULIDAE GEN. SP."
111000001,"NOR_029_MZB_LO_5","111000001_29.09.1988",1988,"9",29,0,0,0,0,4,0,0,0,0,362,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,91,0,0,0,0,0,0,1,0,0,19,0,0,0
111000001,"NOR_029_MZB_LO_5","111000001_08.10.1991",1991,"10",8,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,42,0,0,0
111000001,"NOR_029_MZB_LO_5","111000001_07.10.2012",2012,"10",7,0,0,0,0,18,0,0,0,1,120,0,0,0,10,0,0,8,0,0,0,0,2,0,0,8,6,0,0,0,0,2,0,0,0,8,0,0,0,11,0,0,30,0,0,64,0,0,0
111000001,"NOR_029_MZB_LO_5","111000001_09.10.2013",2013,"10",9,0,0,0,0,112,0,0,0,0,944,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,12,0,2,0,0,0,0,2,12,1,24,0,0,312,0,0,84,0,0,128,0,0,8
111000001,"NOR_029_MZB_LO_5","111000001_08.10.2014",2014,"10",8,0,0,1,0,11,0,0,3,16,240,0,0,0,1,0,0,0,0,0,0,1,1,0,0,20,3,0,3,0,0,0,0,0,0,4,24,4,0,50,0,0,30,0,0,48,0,0,0
111000001,"NOR_029_MZB_LO_5","111000001_14.10.2015",2015,"10",14,0,0,0,0,240,0,0,0,0,2080,0,0,0,0,0,2,6,0,0,0,0,0,0,0,30,13,0,3,0,0,0,0,0,16,2,40,2,0,182,0,0,88,0,0,64,0,2,0
111000001,"NOR_029_MZB_LO_5","111000001_27.10.2016",2016,"10",27,0,0,0,0,332,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,22,0,0,94,12,6,2,0,0,0,0,0,48,1,30,4,0,244,0,0,26,2,0,320,0,0,0
111000001,"NOR_029_MZB_LO_5","111000001_18.10.2017",2017,"10",18,0,0,0,0,416,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,30,0,0,194,10,0,2,0,0,0,0,0,6,4,64,2,0,348,0,0,26,6,0,224,0,0,0
111000001,"NOR_029_MZB_LO_5","111000001_10.10.2018",2018,"10",10,0,0,0,0,520,0,0,0,0,680,0,0,0,0,0,1,0,0,0,0,0,6,0,0,104,184,12,0,0,0,0,0,0,176,10,12,6,0,176,0,0,26,4,0,240,0,2,0
111000001,"NOR_029_MZB_LO_5","111000001_16.10.2019",2019,"10",16,0,0,0,0,300,0,0,0,2,784,0,0,0,0,0,2,0,0,0,0,0,2,0,0,56,10,96,1,0,0,0,0,0,56,8,4,1,0,136,0,0,6,2,0,20,0,0,0
