"site_id","sgn_id","sample_id","year","month","day","AMELETUS INOPINATUS","ANCYLUS FLUVIATILIS","ANISOPTERA GEN. SP.","APATANIA SP.","BAETIDAE GEN. SP.","BRACHYPTERA RISI","CAENIS HORARIA","CAENIS LUCTUOSA","CALOPTERYX SPLENDENS","CAPNIA SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","COLEOPTERA GEN. SP. AD.","CORDULEGASTER BOLTONII","CORDULIIDAE GEN. SP.","CRENOBIA ALPINA","CRUNOECIA IRRORATA SSP.","CYLINDROTOMIDAE GEN. SP.","DICRANOTA SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DYTISCIDAE GEN. SP. AD.","ELMIDAE GEN. SP. AD.","EMPIDIDAE GEN. SP.","EPHEMERELLA ARONI","EPHEMEROPTERA GEN. SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLA OCTOCULATA","GALBA TRUNCATULA","GLOSSIPHONIA COMPLANATA","GLOSSOSOMATIDAE GEN. SP.","GOERA PILOSA","GYRAULUS ACRONICUS","GYRAULUS CRISTA","GYRINIDAE GEN. SP. AD.","HELOBDELLA STAGNALIS","HEPTAGENIIDAE GEN. SP.","HIRUDINEA GEN. SP.","HYDRA SP.","HYDRAENA SP. AD.","HYDROPHILIDAE GEN. SP. AD.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIA SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","MICRASEMA GELIDUM","MOLANNODES TINCTUS","MUSCIDAE GEN. SP.","NEMATODA GEN. SP.","NEMOURIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","OMPHISCOLA GLABRA","ORTHETRUM COERULESCENS","OTOMESOSTOMA AUDITIVUM","PEDICIA RIVOSA SSP.","PERLODIDAE GEN. SP.","PHILOPOTAMUS MONTANUS SSP.","PHRYGANEIDAE GEN. SP.","PISIDIUM SP.","PLATYHELMINTHES GEN. SP.","PLECOPTERA GEN. SP.","POLYCELIS SP.","POLYCENTROPODIDAE GEN. SP.","POTAMOPYRGUS ANTIPODARUM","POTAMOPYRGUS ANTIPODARUM.1","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RADIX BALTHICA","RADIX LABIATA","RHYACOPHILA NUBILA","SCIRTIDAE GEN. SP. LV.","SERICOSTOMA PERSONATUM","SIALIS FULIGINOSA","SIALIS LUTARIA","SILO PALLIPES","SIMULIIDAE GEN. SP.","SIPHLONURIDAE GEN. SP.","SIPHONOPERLA BURMEISTERI","STICTOTARSUS SP. LV.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","THAUMALEIDAE GEN. SP.","THEROMYZON TESSULATUM","TIPULIDAE GEN. SP.","TRICHOPTERA GEN. SP.","WORMALDIA SP.","ZYGOPTERA GEN. SP."
111000008,"NOR_054_MZB_LO_41","111000008_19.10.2004",2004,"10",19,0,0,0,16,916,83,0,0,0,0,10,10274,0,14,0,0,0,0,0,57,0,0,0,973,75,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,4757,51,172,0,2,688,15,5,0,0,0,364,1132,835,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,82,0,0,0,0,0,75,0,42,0,0,0,0,0,0,18,1,0,0
111000008,"NOR_054_MZB_LO_41","111000008_02.11.2005",2005,"11",2,0,0,0,3,223,34,0,0,0,0,1,1812,0,0,0,0,0,0,0,11,0,0,0,37,36,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,302,34,18,0,0,303,5,1,0,0,0,48,215,498,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0,1,0,0,18,0,0,0,0,0,49,0,54,0,0,0,0,0,0,18,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_20.10.2006",2006,"10",20,0,0,0,0,538,79,0,0,0,0,13,5693,0,0,1,0,0,0,0,5,0,0,1,385,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,536,108,154,1,0,846,5,18,0,0,0,100,884,2588,0,0,0,0,0,0,0,8,0,0,0,113,0,0,0,24,0,0,10,0,0,0,0,0,72,0,8,0,0,0,0,0,0,15,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_05.11.2007",2007,"11",5,0,0,0,16,651,118,0,0,0,0,5,2012,0,0,0,0,1,0,0,30,0,0,0,201,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,202,52,61,0,11,1011,3,1,0,0,1,65,1620,773,0,0,0,0,2,0,0,0,0,0,0,208,0,0,0,1,0,3,42,0,0,0,0,0,124,0,54,0,0,0,0,0,0,31,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_03.11.2008",2008,"11",3,0,0,1,10,634,49,0,0,0,0,7,7399,0,0,0,0,0,0,0,37,0,0,2,740,23,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,242,103,46,1,4,686,9,221,0,0,0,84,1331,830,0,0,0,0,19,0,0,1,0,0,0,261,0,0,0,11,0,3,29,0,0,0,0,0,564,0,41,0,0,0,2,0,0,6,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_13.10.2009",2009,"10",13,0,0,0,2,683,30,0,0,0,0,9,17400,0,0,1,0,0,0,0,37,0,0,2,1359,66,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,5428,225,202,1,9,1042,8,252,0,0,0,436,4429,1877,0,0,1,0,67,0,0,0,0,0,0,441,0,0,0,10,7,0,105,0,0,0,0,0,262,0,62,0,0,0,1,0,0,14,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_22.10.2010",2010,"10",22,0,0,0,1,690,25,0,0,0,0,8,31038,0,0,0,0,0,0,0,13,0,0,0,1807,234,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,0,0,7834,349,156,0,16,924,1,320,0,0,0,158,3748,903,0,0,2,0,48,0,0,4,0,0,0,574,0,0,0,2,1,0,213,0,1,0,0,0,100,0,50,0,0,0,1,0,0,16,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_25.10.2011",2011,"10",25,0,0,0,16,446,38,0,0,0,0,2,16477,0,0,0,0,0,0,0,175,0,0,0,1207,530,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,2782,61,189,8,6,574,2,452,0,0,0,400,3500,923,0,0,0,0,21,0,0,1,0,0,1,581,0,0,0,4,5,0,70,0,0,0,0,0,425,0,19,0,0,0,3,0,0,11,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_05.11.2012",2012,"11",5,0,0,0,50,349,47,0,0,0,0,2,186928,0,0,0,0,1,0,0,15,0,0,0,2199,671,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,4144,112,185,5,3,2584,3,1083,0,0,0,897,4313,1363,0,0,1,0,25,0,0,3,0,3,0,1243,0,0,0,1,5,0,57,1,0,0,0,0,1193,0,3,0,0,0,0,0,0,3,0,0,0
111000008,"NOR_054_MZB_LO_41","111000008_16.10.2013",2013,"10",16,0,0,0,99,517,19,0,0,0,0,5,12284,0,0,0,0,0,0,0,45,0,0,0,2851,406,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,15,0,740,1049,118,2,0,1541,2,421,0,0,0,245,2572,1584,0,0,0,0,107,0,0,0,0,0,0,515,0,0,0,3,7,0,67,0,0,0,0,0,77,0,4,0,0,0,11,0,0,13,0,0,0
