Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
1;106000001_28.07.2010;28.07.2010;Hydroptilidae Gen. sp.;7455;56;;;106000001
1;106000001_28.07.2010;28.07.2010;Chironomidae Gen. sp.;4642;43;;;106000001
1;106000001_28.07.2010;28.07.2010;Limnephilidae Gen. sp.;5809;30;;;106000001
1;106000001_28.07.2010;28.07.2010;Philopotamidae Gen. sp.;6385;11;;;106000001
1;106000001_28.07.2010;28.07.2010;Hydropsyche sp.;5605;2;;;106000001
1;106000001_28.07.2010;28.07.2010;Lumbriculidae Gen. sp.;7490;2;;;106000001
1;106000001_28.07.2010;28.07.2010;Tipulidae Gen. sp.;8487;2;;;106000001
1;106000001_28.07.2010;28.07.2010;Limoniidae Gen. sp.;8483;2;;;106000001
1;106000001_14.07.2011;14.07.2011;Hydroptilidae Gen. sp.;7455;14;;;106000001
1;106000001_14.07.2011;14.07.2011;Chironomidae Gen. sp.;4642;8;;;106000001
1;106000001_14.07.2011;14.07.2011;Tipulidae Gen. sp.;8487;2;;;106000001
1;106000001_14.07.2011;14.07.2011;Lumbriculidae Gen. sp.;7490;1;;;106000001
1;106000001_26.07.2012;26.07.2012;Chironomidae (excl. Chironomus sp.);;14;;;106000001
1;106000001_26.07.2012;26.07.2012;Chironomus sp.;4663;43;;;106000001
1;106000001_07.08.2013;07.08.2013;Philopotamidae Gen. sp.;6385;13;;;106000001
1;106000001_07.08.2013;07.08.2013;Hydroptilidae Gen. sp.;7455;12;;;106000001
1;106000001_07.08.2013;07.08.2013;Chironomidae Gen. sp.;4642;5;;;106000001
1;106000001_07.08.2013;07.08.2013;Simuliidae Gen. sp.;6842;9;;;106000001
1;106000001_07.08.2013;07.08.2013;Atherix sp.;4365;5;;;106000001
1;106000001_07.08.2013;07.08.2013;Baetis sp.;4419;6;;;106000001
1;106000001_07.08.2013;07.08.2013;Haliplidae Gen. sp.;17878;3;;;106000001
1;106000001_07.08.2013;07.08.2013;Limoniidae Gen. sp.;8483;2;;;106000001
1;106000001_07.08.2013;07.08.2013;Limnephilidae Gen. sp.;5809;2;;;106000001
1;106000001_07.08.2013;07.08.2013;Calopterygidae Gen. sp.;10619;1;;;106000001
1;106000001_07.08.2013;07.08.2013;Lumbriculidae Gen. sp.;7490;1;;;106000001
1;106000001_13.06.2014;13.06.2014;Chironomidae Gen. sp.;4642;19;;;106000001
1;106000001_13.06.2014;13.06.2014;Limnephilidae Gen. sp.;5809;5;;;106000001
1;106000001_13.06.2014;13.06.2014;Philopotamidae Gen. sp.;6385;2;;;106000001
1;106000001_13.06.2014;13.06.2014;Goeridae Gen. sp.;9981;2;;;106000001
1;106000001_13.06.2014;13.06.2014;Lumbriculidae Gen. sp.;7490;1;;;106000001
1;106000001_18.06.2015;18.06.2015;Baetis sp.;4419;80;;;106000001
1;106000001_18.06.2015;18.06.2015;Chironomidae Gen. sp.;4642;4;;;106000001
1;106000001_18.06.2015;18.06.2015;Simuliidae Gen. sp.;6842;2;;;106000001
1;106000001_18.06.2015;18.06.2015;Dytiscidae Gen. sp.;17756;1;;;106000001
1;106000001_14.07.2016;14.07.2016;Caenis sp.;4528;1;;;106000001
1;106000001_14.07.2016;14.07.2016;Tipulidae Gen. sp.;8487;1;;;106000001
1;106000001_14.07.2016;14.07.2016;Dugesia sp.;5021;1;;;106000001
1;106000001_14.07.2016;14.07.2016;Chironomidae Gen. sp.;4642;1;;;106000001
1;106000001_24.08.2017;24.08.2017;Lumbriculidae Gen. sp.;7490;6;;;106000001
1;106000001_24.08.2017;24.08.2017;Hydroptilidae Gen. sp.;7455;5;;;106000001
1;106000001_24.08.2017;24.08.2017;Chironomidae Gen. sp.;4642;1;;;106000001
1;106000001_07.08.2018;07.08.2018;Lumbriculidae Gen. sp.;7490;19;;;106000001
1;106000001_07.08.2018;07.08.2018;Chironomidae Gen. sp.;4642;2;;;106000001
1;106000001_07.08.2018;07.08.2018;Hydroptilidae Gen. sp.;7455;1;;;106000001
1;106000001_09.09.2019;09.09.2019;Hydroptilidae Gen. sp.;7455;51;;;106000001
1;106000001_09.09.2019;09.09.2019;Lumbriculidae Gen. sp.;7490;21;;;106000001
1;106000001_09.09.2019;09.09.2019;Chironomidae Gen. sp.;4642;5;;;106000001
1;106000001_09.09.2019;09.09.2019;Atherix sp.;4365;3;;;106000001
1;106000001_09.09.2019;09.09.2019;Dytiscidae Gen. sp.;17756;1;;;106000001
2;106000002_25.08.2010;25.08.2010;Chironomidae (excl. Chironomus sp.);;280;;;106000002
2;106000002_25.08.2010;25.08.2010;Chironomus sp.;4663;540;;;106000002
2;106000002_25.08.2010;25.08.2010;Lumbriculidae Gen. sp.;7490;98;;;106000002
2;106000002_25.08.2010;25.08.2010;Baetis sp.;4419;24;;;106000002
2;106000002_25.08.2010;25.08.2010;Gammarus sp.;5293;10;;;106000002
2;106000002_25.08.2010;25.08.2010;Asellus sp.;8693;14;;;106000002
2;106000002_25.08.2010;25.08.2010;Philopotamidae Gen. sp.;6385;5;;;106000002
2;106000002_25.08.2010;25.08.2010;Tipulidae Gen. sp.;8487;3;;;106000002
2;106000002_25.08.2010;25.08.2010;Glossiphoniidae Gen. sp.;7458;2;;;106000002
2;106000002_25.08.2010;25.08.2010;Eristalis sp.;5151;2;;;106000002
2;106000002_05.10.2011;05.10.2011;Chironomus sp.;4663;481;;;106000002
2;106000002_05.10.2011;05.10.2011;Chironomidae (excl. Chironomus sp.);;89;;;106000002
2;106000002_05.10.2011;05.10.2011;Eristalis sp.;5151;67;;;106000002
2;106000002_05.10.2011;05.10.2011;Baetis sp.;4419;48;;;106000002
2;106000002_05.10.2011;05.10.2011;Asellus sp.;8693;15;;;106000002
2;106000002_05.10.2011;05.10.2011;Gammarus sp.;5293;12;;;106000002
2;106000002_05.10.2011;05.10.2011;Tipulidae Gen. sp.;8487;3;;;106000002
2;106000002_05.10.2011;05.10.2011;Glossiphoniidae Gen. sp.;7458;2;;;106000002
2;106000002_23.08.2012;23.08.2012;Chironomus sp.;4663;76;;;106000002
2;106000002_23.08.2012;23.08.2012;Eristalis sp.;5151;24;;;106000002
2;106000002_23.08.2012;23.08.2012;Lumbricidae Gen. sp.;5900;6;;;106000002
2;106000002_23.08.2012;23.08.2012;Chironomidae (excl. Chironomus sp.);;4;;;106000002
2;106000002_23.08.2012;23.08.2012;Asellus sp.;8693;2;;;106000002
2;106000002_19.08.2013;19.08.2013;Chironomidae (excl. Chironomus sp.);;314;;;106000002
2;106000002_19.08.2013;19.08.2013;Chironomus sp.;4663;348;;;106000002
2;106000002_19.08.2013;19.08.2013;Lumbriculidae Gen. sp.;7490;226;;;106000002
2;106000002_19.08.2013;19.08.2013;Asellus sp.;8693;16;;;106000002
2;106000002_19.08.2013;19.08.2013;Gammarus sp.;5293;4;;;106000002
