Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
1;106000006_06.11.1980;;Dugesia gonocephala;5018;25;;;106000006;;
1;106000006_06.11.1980;;Lumbriculidae Gen. sp.;7490;2;;;106000006;;
1;106000006_06.11.1980;;Stylodrilus heringianus;6935;2;;;106000006;;
1;106000006_06.11.1980;;Ancylus fluviatilis;4310;4;;;106000006;;
1;106000006_06.11.1980;;Baetis alpinus;4381;2;;;106000006;;
1;106000006_06.11.1980;;Baetis rhodani;4415;29;;;106000006;;
1;106000006_06.11.1980;;Caenis macrura;4522;2;;;106000006;;
1;106000006_06.11.1980;;Ecdyonurus venosus;5058;3;;;106000006;;
1;106000006_06.11.1980;;Rhithrogena semicolorata;6744;3;;;106000006;;
1;106000006_06.11.1980;;Perla marginata;6370;2;;;106000006;;
1;106000006_06.11.1980;;Hydropsyche sp.;5605;8;;;106000006;;
1;106000006_06.11.1980;;Rhyacophila sp.;6780;1;;;106000006;;
1;106000006_06.11.1980;;Chironomidae Gen. sp.;4642;6;;;106000006;;
1;106000006_04.05.1983;;Dugesia gonocephala;5018;4;;;106000006;;
1;106000006_04.05.1983;;Eiseniella tetraedra;5075;2;;;106000006;;
1;106000006_04.05.1983;;Stylodrilus heringianus;6935;14;;;106000006;;
1;106000006_04.05.1983;;Enchytraeidae Gen. sp.;5101;2;;;106000006;;
1;106000006_04.05.1983;;Baetis alpinus;4381;9;;;106000006;;
1;106000006_04.05.1983;;Baetis rhodani;4415;8;;;106000006;;
1;106000006_04.05.1983;;Baetis muticus;4409;3;;;106000006;;
1;106000006_04.05.1983;;Ecdyonurus venosus;5058;10;;;106000006;;
1;106000006_04.05.1983;;Ephemera danica;5124;1;;;106000006;;
1;106000006_04.05.1983;;Ephemerella mucronata;5135;3;;;106000006;;
1;106000006_04.05.1983;;Rhithrogena semicolorata;6744;14;;;106000006;;
1;106000006_04.05.1983;;Brachyptera seticornis;4488;8;;;106000006;;
1;106000006_04.05.1983;;Isoperla grammatica;5667;2;;;106000006;;
1;106000006_04.05.1983;;Leuctra sp.;5790;10;;;106000006;;
1;106000006_04.05.1983;;Nemoura sp.;6108;2;;;106000006;;
1;106000006_04.05.1983;;Sialis sp.;6823;1;;;106000006;;
1;106000006_04.05.1983;;Hydropsyche sp.;5605;9;;;106000006;;
1;106000006_04.05.1983;;Chironomidae Gen. sp.;4642;6;;;106000006;;
1;106000006_19.09.1984;;Dugesia gonocephala;5018;8;;;106000006;;
1;106000006_19.09.1984;;Stylodrilus sp.;6937;3;;;106000006;;
1;106000006_19.09.1984;;Baetis alpinus;4381;9;;;106000006;;
1;106000006_19.09.1984;;Baetis rhodani;4415;23;;;106000006;;
1;106000006_19.09.1984;;Baetis melanonyx;4408;4;;;106000006;;
1;106000006_19.09.1984;;Baetis scambus;4416;9;;;106000006;;
1;106000006_19.09.1984;;Baetis vernus;4427;1;;;106000006;;
1;106000006_19.09.1984;;Caenis macrura;4522;15;;;106000006;;
1;106000006_19.09.1984;;Ecdyonurus venosus;5058;45;;;106000006;;
1;106000006_19.09.1984;;Ecdyonurus sp.;5053;2;;;106000006;;
1;106000006_19.09.1984;;Epeorus assimilis;12550;17;;;106000006;;
1;106000006_19.09.1984;;Ephemera danica;5124;2;;;106000006;;
1;106000006_19.09.1984;;Serratella ignita;5131;1;;;106000006;;
1;106000006_19.09.1984;;Paraleptophlebia submarginata;6309;1;;;106000006;;
1;106000006_19.09.1984;;Dinocras megacephala;4981;11;;;106000006;;
1;106000006_19.09.1984;;Hydropsyche sp.;5605;27;;;106000006;;
1;106000006_19.09.1984;;Rhyacophila sp.;6780;10;;;106000006;;
1;106000006_19.09.1984;;Atherix sp.;4365;2;;;106000006;;
1;106000006_19.09.1984;;Dicranota sp.;4955;1;;;106000006;;
1;106000006_19.09.1984;;Dixa sp.;4989;1;;;106000006;;
1;106000006_19.09.1984;;Simuliidae Gen. sp.;6842;2;;;106000006;;
1;106000006_19.09.1984;;Chironomidae Gen. sp.;4642;4;;;106000006;;
1;106000006_17.06.1985;;Dugesia gonocephala;5018;1;;;106000006;;
1;106000006_17.06.1985;;Eiseniella tetraedra;5075;1;;;106000006;;
1;106000006_17.06.1985;;Marionina sp.;5946;1;;;106000006;;
1;106000006_17.06.1985;;Nais bretscheri;6071;9;;;106000006;;
1;106000006_17.06.1985;;Nais communis;6072;1;;;106000006;;
1;106000006_17.06.1985;;Nais elinguis;6073;1;;;106000006;;
1;106000006_17.06.1985;;Nais variabilis;6078;2;;;106000006;;
1;106000006_17.06.1985;;Stylodrilus sp.;6937;1;;;106000006;;
1;106000006_17.06.1985;;Baetis melanonyx;4408;91;;;106000006;;
1;106000006_17.06.1985;;Baetis scambus;4416;10;;;106000006;;
1;106000006_17.06.1985;;Ecdyonurus venosus;5058;1;;;106000006;;
1;106000006_17.06.1985;;Ephemera danica;5124;16;;;106000006;;
1;106000006_17.06.1985;;Serratella ignita;5131;12;;;106000006;;
1;106000006_17.06.1985;;Rhithrogena semicolorata;6744;2;;;106000006;;
1;106000006_17.06.1985;;Dinocras cephalotes;4978;1;;;106000006;;
1;106000006_17.06.1985;;Dinocras sp.;4982;5;;;106000006;;
1;106000006_17.06.1985;;Hydropsyche instabilis-Gr.;20426;4;;;106000006;;
1;106000006_17.06.1985;;Rhyacophila mocsaryi ssp.;13958;9;;;106000006;;
1;106000006_17.06.1985;;Rhyacophila tristis;6784;1;;;106000006;;
1;106000006_17.06.1985;;Rhyacophila sp.;6780;8;;;106000006;;
1;106000006_17.06.1985;;Limnephilidae Gen. sp.;5809;11;;;106000006;;
1;106000006_17.06.1985;;Simulium argyreatum;6843;4;;;106000006;;
1;106000006_17.10.1985;;Dugesia gonocephala;5018;14;;;106000006;;
1;106000006_17.10.1985;;Eiseniella tetraedra;5075;2;;;106000006;;
1;106000006_17.10.1985;;Stylodrilus sp.;6937;11;;;106000006;;
1;106000006_17.10.1985;;Ancylus fluviatilis;4310;27;;;106000006;;
1;106000006_17.10.1985;;Gammarus balcanicus;12330;1;;;106000006;;
1;106000006_17.10.1985;;Baetis alpinus;4381;11;;;106000006;;
1;106000006_17.10.1985;;Baetis melanonyx;4408;1;;;106000006;;
1;106000006_17.10.1985;;Baetis rhodani;4415;37;;;106000006;;
1;106000006_17.10.1985;;Baetis scambus;4416;1;;;106000006;;
1;106000006_17.10.1985;;Ecdyonurus sp.;5053;2;;;106000006;;
1;106000006_17.10.1985;;Ecdyonurus dispar;5040;5;;;106000006;;
1;106000006_17.10.1985;;Epeorus assimilis;12550;210;;;106000006;;
1;106000006_17.10.1985;;Ephemera danica;5124;11;;;106000006;;
1;106000006_17.10.1985;;Paraleptophlebia submarginata;6309;3;;;106000006;;
1;106000006_17.10.1985;;Rhithrogena semicolorata-Gr.;6745;2;;;106000006;;
1;106000006_17.10.1985;;Dinocras megacephala;4981;11;;;106000006;;
1;106000006_17.10.1985;;Perla sp.;6372;3;;;106000006;;
1;106000006_17.10.1985;;Elmis sp.;17779;2;;;106000006;;
1;106000006_17.10.1985;;Halesus sp.;5378;22;;;106000006;;
1;106000006_17.10.1985;;Goera pilosa;5329;6;;;106000006;;
1;106000006_17.10.1985;;Hydropsyche sp.;5605;175;;;106000006;;
1;106000006_17.10.1985;;Limnephilus sp.;5844;20;;;106000006;;
1;106000006_17.10.1985;;Potamophylax sp.;6527;3;;;106000006;;
1;106000006_17.10.1985;;Rhyacophila vulgaris-Gr.;6787;11;;;106000006;;
1;106000006_17.10.1985;;Odagmia ornata;;5;;;106000006;;
1;106000006_17.10.1985;;Simulium argyreatum;6843;2;;;106000006;;
1;106000006_17.10.1985;;Simulium variegatum;6855;17;;;106000006;;
1;106000006_17.10.1985;;Tipula sp.;7077;1;;;106000006;;
1;106000006_17.10.1985;;Dixa sp.;4989;1;;;106000006;;
1;106000006_17.10.1985;;Ceratopogonidae Gen. sp.;4585;1;;;106000006;;
1;106000006_17.10.1985;;Sciomyzidae Gen. sp.;9600;4;;;106000006;;
1;106000006_17.10.1985;;Atherix sp.;4365;1;;;106000006;;
1;106000006_17.10.1985;;Athericidae Gen. sp. 1;;3;;;106000006;;
1;106000006_17.10.1985;;Athericidae Gen. sp. 2;;4;;;106000006;;
1;106000006_17.10.1985;;Chironomidae Gen. sp.;4642;12;;;106000006;;
1;106000006_03.08.1986;;Dugesia gonocephala;5018;3;;;106000006;;
1;106000006_03.08.1986;;Fridericia sp.;5281;3;;;106000006;;
1;106000006_03.08.1986;;Nais bretscheri;6071;80;;;106000006;;
1;106000006_03.08.1986;;Nais elinguis;6073;12;;;106000006;;
1;106000006_03.08.1986;;Nais pseudobtusa;6075;8;;;106000006;;
1;106000006_03.08.1986;;Stylodrilus heringianus;6935;2;;;106000006;;
1;106000006_03.08.1986;;Tubificidae Gen. sp.;7117;11;;;106000006;;
1;106000006_03.08.1986;;Ancylus fluviatilis;4310;1;;;106000006;;
1;106000006_03.08.1986;;Baetis rhodani;4415;19;;;106000006;;
1;106000006_03.08.1986;;Baetis melanonyx;4408;140;;;106000006;;
1;106000006_03.08.1986;;Baetis sp.;4419;1;;;106000006;;
1;106000006_03.08.1986;;Caenis macrura;4522;2;;;106000006;;
1;106000006_03.08.1986;;Ecdyonurus sp.;5053;6;;;106000006;;
1;106000006_03.08.1986;;Ephemera danica;5124;20;;;106000006;;
1;106000006_03.08.1986;;Serratella ignita;5131;33;;;106000006;;
1;106000006_03.08.1986;;Perla sp.;6372;1;;;106000006;;
1;106000006_03.08.1986;;Leuctra sp.;5790;1;;;106000006;;
1;106000006_03.08.1986;;Hydraena sp.;18130;3;;;106000006;;
1;106000006_03.08.1986;;Elmis maugetii;17774;4;;;106000006;;
1;106000006_03.08.1986;;Hydropsyche guttata Gr.;;4;;;106000006;;
1;106000006_03.08.1986;;Hydropsyche instabilis;5598;22;;;106000006;;
1;106000006_03.08.1986;;Hydropsyche sp.;5605;1;;;106000006;;
1;106000006_03.08.1986;;Limnephilidae Gen. sp.;5809;7;;;106000006;;
1;106000006_03.08.1986;;Odontocerum albicorne;6168;1;;;106000006;;
1;106000006_03.08.1986;;Potamophylax luctuosus luctuosus;6523;1;;;106000006;;
1;106000006_03.08.1986;;Rhyacophila sp.;6780;1;;;106000006;;
1;106000006_03.08.1986;;Rhyacophila tristis;6784;2;;;106000006;;
1;106000006_03.08.1986;;Rhyacophila vulgaris-Gr.;6787;8;;;106000006;;
1;106000006_03.08.1986;;Sericostomatidae Gen. sp.;9311;7;;;106000006;;
1;106000006_03.08.1986;;Blephariceridae Gen. sp.;4465;11;;;106000006;;
1;106000006_03.08.1986;;Simulium argyreatum;6843;157;;;106000006;;
1;106000006_03.08.1986;;Chironomidae Gen. sp.;4642;100;;;106000006;;
1;106000006_03.08.1986;;Tabanus sp.;6963;1;;;106000006;;
1;106000006_03.08.1986;;Bezzia sp.;4452;1;;;106000006;;
1;106000006_08.08.1987;;Dugesia gonocephala;5018;1;;;106000006;;
1;106000006_08.08.1987;;Eiseniella tetraedra;5075;2;;;106000006;;
1;106000006_08.08.1987;;Fridericia sp.;5281;1;;;106000006;;
1;106000006_08.08.1987;;Nais bretscheri;6071;39;;;106000006;;
1;106000006_08.08.1987;;Stylodrilus parvus;8004;1;;;106000006;;
1;106000006_08.08.1987;;Ancylus fluviatilis;4310;2;;;106000006;;
1;106000006_08.08.1987;;Baetis fuscatus;4397;4;;;106000006;;
1;106000006_08.08.1987;;Baetis melanonyx;4408;17;;;106000006;;
1;106000006_08.08.1987;;Baetis rhodani;4415;32;;;106000006;;
1;106000006_08.08.1987;;Baetis sp.;4419;39;;;106000006;;
1;106000006_08.08.1987;;Caenis sp.;4528;7;;;106000006;;
1;106000006_08.08.1987;;Ecdyonurus sp.;5053;7;;;106000006;;
1;106000006_08.08.1987;;Ephemera danica;5124;5;;;106000006;;
1;106000006_08.08.1987;;Serratella ignita;5131;5;;;106000006;;
1;106000006_08.08.1987;;Bulgaroperla sp.;20212;2;;;106000006;;
