Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
Bradgate;;29.04.1996;Tipulidae Gen. sp.;8696;1;;;109000411;;
Bradgate;;04.04.1997;Nematoda Gen. sp.;5291;1;;;109000411;;
Bradgate;;04.04.1997;Potamopyrgus antipodarum;4380;20;;;109000411;;
Bradgate;;04.04.1997;Ancylus fluviatilis;5124;44;;;109000411;;
Bradgate;;04.04.1997;Pisidium sp.;5131;20;;;109000411;;
Bradgate;;04.04.1997;Lumbriculidae Gen. sp.;4526;16;;;109000411;;
Bradgate;;04.04.1997;Naididae Gen. sp.;8422;12;;;109000411;;
Bradgate;;04.04.1997;Tubificidae Gen. sp.;6610;20;;;109000411;;
Bradgate;;04.04.1997;Hydracarina;4295;12;;;109000411;;
Bradgate;;04.04.1997;Asellus aquaticus;5237;4;;;109000411;;
Bradgate;;04.04.1997;Crangonyx pseudogracilis;5779;4;;;109000411;;
Bradgate;;04.04.1997;Gammarus pulex;5667;160;;;109000411;;
Bradgate;;04.04.1997;Habrophlebia fusca;18616;12;;;109000411;;
Bradgate;;04.04.1997;Ephemera sp.;17768;1;;;109000411;;
Bradgate;;04.04.1997;Nemurella pictetii;18421;1;;;109000411;;
Bradgate;;04.04.1997;Nemoura avicularis;18693;1;;;109000411;;
Bradgate;;04.04.1997;Oreodytes sanmarkii;19398;1;;;109000411;;
Bradgate;;04.04.1997;Hydraena gracilis;5616;4;;;109000411;;
Bradgate;;04.04.1997;Elmis aenea;5677;8;;;109000411;;
Bradgate;;04.04.1997;Oulimnius tuberculatus;5969;1;;;109000411;;
Bradgate;;04.04.1997;Hydroptila sp.;7067;1;;;109000411;;
Bradgate;;04.04.1997;Polycentropus flavomaculatus ssp.;7069;1;;;109000411;;
Bradgate;;04.04.1997;Hydropsyche siltalai;21659;108;;;109000411;;
Bradgate;;04.04.1997;Lepidostoma hirtum;5604;4;;;109000411;;
Bradgate;;04.04.1997;Halesus sp.;5723;1;;;109000411;;
Bradgate;;04.04.1997;Sericostoma personatum;5956;4;;;109000411;;
Bradgate;;04.04.1997;Dicranota sp.;21248;7;;;109000411;;
Bradgate;;04.04.1997;Ceratopogonidae Gen. sp.;5837;12;;;109000411;;
Bradgate;;04.04.1997;Caenis luctuosa/macrura;6833;12;;;109000411;;
Bradgate;;04.04.1997;Athripsodes bilineatus ssp.;6817;2;;;109000411;;
Bradgate;;04.04.1997;Mystacides azurea;4331;12;;;109000411;;
