Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Piscicola geometra;6408;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Aphelocheirus aestivalis;4335;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Baetis vernus;4427;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Brachycentrus subnubilus;4481;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Eiseniella tetraedra;5075;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Serratella ignita;5131;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Aphelocheirus aestivalis;4335;4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Athripsodes cinereus;4369;4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Baetis fuscatus;4397;12;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Baetis rhodani;4415;7,2;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Baetis sp.;4419;16;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Baetis vernus;4427;36,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Brachycentrus subnubilus;4481;29,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Chaetopterygini/Stenophylacini Gen. sp.;10370;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Chironomidae Gen. sp.;4642;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Chironomini Gen. sp.;4644;11,2;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Dicranota sp.;4955;18,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Eiseniella tetraedra;5075;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Ephemera danica;5124;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Gammarus pulex;5291;92;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Gammarus roeselii;5292;21,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Gammarus sp.;5293;134,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Hydropsyche pellucidula-Gr.;13023;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Hydropsyche sp.;5605;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Lepidostoma hirtum;5723;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Limnephilini Gen. sp.;13126;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Lumbriculidae Gen. sp.;7490;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Lumbriculus variegatus;5907;3,2;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Naididae/Tubificidae Gen. sp.;20200;6,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Prodiamesa olivacea;6583;11,2;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Psychomyia pusilla;6661;2,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Serratella ignita;5131;70,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Simulium (Wilhelmia) sp.;9762;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Simulium sp.;6853;13,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2013;01.07.2013;Tanypodinae Gen. sp.;6972;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Prodiamesa olivacea;6583;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Chironomini Gen. sp.;4644;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Simulium sp.;6853;9,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Simulium (Wilhelmia) sp.;9762;2,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Hydropsyche sp.;5605;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Rhyacophila s. str. sp.;7456;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Brachycentrus subnubilus;4481;4,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Aphelocheirus aestivalis;4335;2,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Dugesia lugubris/polychroa;9745;0,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Serratella ignita;5131;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Baetis fuscatus/scambus;4398;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Baetis vernus;4427;9,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Gammarus sp.;5293;4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Gammarus pulex;5291;3,2;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Ancylus fluviatilis;4310;1,6;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Dicranota sp.;4955;28,8;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Prodiamesa olivacea;6583;38,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Chironomini Gen. sp.;4644;302,4;;;108000150;;
FRDE1;Rhine-Main-Observatory_Kinzig_01.07.2015;01.07.2015;Tanypodinae Gen. sp.;6972;14,4;;;108000150;;
