Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
SER_01;SER_01_01.04.2011;01.04.2011;ELMIDAE Gen. sp.;17767;4;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;BAETIDAE Gen. sp.;4380;94;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;CHIRONOMIDAE Gen. sp.;4642;71;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;HEPTAGENIIDAE Gen. sp.;5458;36;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;LIMNEPHILIDAE Gen. sp.;5809;25;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;LUMBRICIDAE Gen. sp.;5900;1;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;NAIDIDAE Gen. sp.;6068;7;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;PHILOPOTAMIDAE Gen. sp.;6385;8;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;RHYACOPHILIDAE Gen. sp.;6788;6;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;SIMULIIDAE Gen. sp.;6842;63;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;ATHERICIDAE Gen. sp.;7750;3;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;NEMOURIDAE Gen. sp.;8422;20;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;PERLODIDAE Gen. sp.;8432;12;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;LEUCTRIDAE Gen. sp.;8437;6;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;HYDROPSYCHIDAE Gen. sp.;8474;19;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;LIMONIIDAE Gen. sp.;8483;4;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;TIPULIDAE Gen. sp.;8487;1;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;SERICOSTOMATIDAE Gen. sp.;9311;10;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;PLANARIIDAE Gen. sp.;9370;1;;;113000004;;
SER_01;SER_01_01.04.2011;01.04.2011;GLOSSOSOMATIDAE Gen. sp.;9971;5;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;ELMIDAE Gen. sp.;17767;163;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;BAETIDAE Gen. sp.;4380;198;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;CHIRONOMIDAE Gen. sp.;4642;398;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;HEPTAGENIIDAE Gen. sp.;5458;376;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;LIMNEPHILIDAE Gen. sp.;5809;122;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;RHYACOPHILIDAE Gen. sp.;6788;11;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;SIMULIIDAE Gen. sp.;6842;10;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;ATHERICIDAE Gen. sp.;7750;4;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;PERLIDAE Gen. sp.;8412;1;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;NEMOURIDAE Gen. sp.;8422;77;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;LEUCTRIDAE Gen. sp.;8437;471;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;LIMONIIDAE Gen. sp.;8483;80;;;113000004;;
SER_01;SER_01_06.04.2016;06.04.2016;GAMMARIDAE Gen. sp.;10323;1;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;ELMIDAE Gen. sp.;17767;126;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;BAETIDAE Gen. sp.;4380;1043;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;CHIRONOMIDAE Gen. sp.;4642;320;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;HEPTAGENIIDAE Gen. sp.;5458;32;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;LIMNEPHILIDAE Gen. sp.;5809;258;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;RHYACOPHILIDAE Gen. sp.;6788;34;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;SIMULIIDAE Gen. sp.;6842;152;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;LUMBRICULIDAE Gen. sp.;7490;1;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;ATHERICIDAE Gen. sp.;7750;3;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;PERLIDAE Gen. sp.;8412;1;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;NEMOURIDAE Gen. sp.;8422;15;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;PERLODIDAE Gen. sp.;8432;2;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;LEUCTRIDAE Gen. sp.;8437;416;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;LIMONIIDAE Gen. sp.;8483;6;;;113000004;;
SER_01;SER_01_13.04.2017;13.04.2017;DUGESIIDAE Gen. sp.;9365;2;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;ELMIDAE Gen. sp.;17767;600;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;BAETIDAE Gen. sp.;4380;1248;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;CHIRONOMIDAE Gen. sp.;4642;1008;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;HEPTAGENIIDAE Gen. sp.;5458;116;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;LIMNEPHILIDAE Gen. sp.;5809;168;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;RHYACOPHILIDAE Gen. sp.;6788;16;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;SIMULIIDAE Gen. sp.;6842;600;;;113000004;;
SER_01;SER_01_21.03.2012;21.03.2012;LUMBRICULIDAE Gen. sp.;7490;72;;;113000004;;
