Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen
RBMP-5-1;Al_27.08.2007;27.08.2007;Pisidium sp.;6425;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Dytiscidae Gen. sp. Ad.;11625;2;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Esolus sp. Lv.;5169;6;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Limnius sp. Lv.;5853;21;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Oulimnius sp. Lv.;6260;3;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Orectochilus sp. Lv.;9122;12;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Hydraena sp. Ad.;5531;6;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Gammarus fossarum/pulex;12333;1062;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Diptera Gen. sp.;9353;2;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Nematocera Gen. sp.;14823;6;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Chironomidae Gen. sp.;4642;111;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Limoniidae Gen. sp.;8483;69;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Psychodidae Gen. sp.;8753;5;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Simuliidae Gen. sp.;6842;95;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Tipulidae Gen. sp.;8487;2;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Baetidae Gen. sp.;4380;201;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Baetis sp.;4419;9;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Ephemerella sp.;5137;3;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Ephemera danica;5124;3;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Ecdyonurus sp.;5053;15;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Habrophlebia sp.;5371;3;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Paraleptophlebia sp.;6308;9;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Hydrobiidae Gen. sp.;9618;41;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Galba sp.;8990;2;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Lymnaea sp.;5919;19;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Ancylus fluviatilis;4310;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Nepa sp.;9102;1;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Pyralidae Gen. sp.;16671;1;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Calopteryx sp.;4531;2;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Oligochaeta Gen. sp.;8736;77;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Leuctra sp.;5790;3;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Nemoura sp.;6108;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Perla sp.;6372;2;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Silo sp.;6836;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Hydropsyche instabilis;5598;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Hydropsyche saxonica;5602;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Hydroptila vectis;5619;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Lepidostoma basale;5713;22;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Drusus annulatus;5001;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Halesus radiatus;5376;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Potamophylax latipennis;6522;8;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Polycentropus flavomaculatus;21659;14;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Lype reducta;5921;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Rhyacophila dorsalis dorsalis;6762;8;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Rhyacophila fasciata;21233;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Rhyacophila sp.;6780;4;;;105000001
RBMP-5-1;Al_27.08.2007;27.08.2007;Rhyacophila dorsalis/nubila/pascoei/simulatrix/vulgaris;20475;8;;;105000001
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Colymbetinae Gen. sp. Lv.;11723;6;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Elmis sp. Ad.;12072;6;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Oulimnius sp. Lv.;6260;3;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Oulimnius sp. Ad.;12104;6;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Hydraena sp. Ad.;5531;6;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Asellidae Gen. sp.;10663;12;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Echinogammarus sp.;8918;3;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Gammarus fossarum/pulex;12333;42;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Nematocera Gen. sp.;14823;3;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Ceratopogonidae Gen. sp.;4585;1;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Chironomidae Gen. sp.;4642;81;;;105000002
RBMP-5-2;Schéimelzerbësch_28.08.2007;28.08.2007;Psychodidae Gen. sp.;8753;1;;;105000002
