Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Erpobdella octoculata;5159;41,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Erpobdella testacea;5161;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Glossiphonia complanata;5304;13,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Helobdella stagnalis;5413;27,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Hemiclepsis marginata;5444;8,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Limnodrilus hoffmeisteri;5863;33,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Tubifex tubifex;7116;7,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Tubificidae Gen. sp.;7117;23,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Arrenurus buccinator;14970;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Arrenurus crassicaudatus;14974;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Hygrobates nigromaculatus;15525;17,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Lebertia insignis;15566;7,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Limnesia undulata;15642;5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Mideopsis orbicularis;15722;10;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Piona alpicola;15880;5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Gammarus pulex;5291;3,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Gammarus roeselii;5292;387,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Asellus aquaticus;8691;37,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Dryops sp.;17749;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Dytiscus sp.;17766;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Graptodytes pictus;17848;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Hydroporus palustris;18240;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Hygrotus sp.;18285;3,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Laccophilus sp.;18359;10;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Nebrioporus elegans;18468;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Haliplus fluviatilis;17884;33,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Haliplus laminatus;17892;7,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Haliplus lineatocollis;17893;3,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Haliplus sibiricus;17900;27,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Helophorus brevipalpis;17919;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Helophorus minutus;17947;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Anacaena globulus;17503;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Anacaena limbata;17504;3,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Chaetarthria seminulum;17629;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Laccobius bipunctatus;18330;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Laccobius minutus;18337;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Centroptilum luteolum;8850;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Cloeon dipterum;4705;7,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Cloeon simile;4708;5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Caenis horaria;4519;67,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Caenis luctuosa;4521;13,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Heptagenia sulphurea;5457;7,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Corixa sp.;4746;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Sigara striata;6830;5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Plea minutissima ssp.;19392;1,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Calopteryx splendens;4530;3,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Ischnura elegans;5658;8,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Hydropsyche angustipennis ssp.;21230;42,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Athripsodes aterrimus;4367;10;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Athripsodes cinereus;4369;23,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Mystacides azurea;6062;6,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Mystacides nigra;6064;62,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Anabolia nervosa;4300;21,25;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Limnephilus lunatus;5837;28,75;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Cyrnus trimaculatus;4877;42,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Holocentropus dubius;5487;2,5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Tinodes waeneri ssp.;7069;5;;;117000020;;
AAS03;Dinxperloër Strasse Grens Dinxperlo_27.04.1990;27.04.1990;Chironomus sp.;4663;32,5;;;117000020;;
