Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_16.10.2019;16.10.2019;Ephemerella aurivillii;20125;13;;;111000040;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_17.10.2014;17.10.2014;Ephemerella aurivillii;20125;6;;;111000040;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_19.10.2015;19.10.2015;Ephemerella aurivillii;20125;4;;;111000040;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_23.10.2017;23.10.2017;Ephemerella aurivillii;20125;12;;;111000040;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_25.10.2007;25.10.2007;Ephemerella aurivillii;20125;3;;;111000040;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_27.10.2011;27.10.2011;Ephemerella aurivillii;20125;3;;;111000040;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_29.10.2003;29.10.2003;Ephemerella aurivillii;20125;8;;;111000040;;
St. 11 Nausta ved Hamre;St. 11 Nausta ved Hamre_31.10.2005;31.10.2005;Ephemerella aurivillii;20125;3;;;111000040;;
St. 12 Nausta ved Ullaland;St. 12 Nausta ved Ullaland_16.10.2019;16.10.2019;Ephemerella aurivillii;20125;18;;;111000041;;
St. 12 Nausta ved Ullaland;St. 12 Nausta ved Ullaland_19.10.2015;19.10.2015;Ephemerella aurivillii;20125;4;;;111000041;;
St. 12 Nausta ved Ullaland;St. 12 Nausta ved Ullaland_23.10.2017;23.10.2017;Ephemerella aurivillii;20125;20;;;111000041;;
St. 12 Nausta ved Ullaland;St. 12 Nausta ved Ullaland_25.10.2007;25.10.2007;Ephemerella aurivillii;20125;16;;;111000041;;
St. 12 Nausta ved Ullaland;St. 12 Nausta ved Ullaland_27.10.2011;27.10.2011;Ephemerella aurivillii;20125;3;;;111000041;;
St. 12 Nausta ved Ullaland;St. 12 Nausta ved Ullaland_29.10.2009;29.10.2009;Ephemerella aurivillii;20125;2;;;111000041;;
St. 12 Nausta ved Ullaland;St. 12 Nausta ved Ullaland_31.10.2005;31.10.2005;Ephemerella aurivillii;20125;3;;;111000041;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_16.10.2019;16.10.2019;Ephemerella aurivillii;20125;9;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_17.10.2014;17.10.2014;Ephemerella aurivillii;20125;1;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_19.10.2015;19.10.2015;Ephemerella aurivillii;20125;7;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_23.10.2017;23.10.2017;Ephemerella aurivillii;20125;18;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_25.10.2007;25.10.2007;Ephemerella aurivillii;20125;5;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_27.10.2011;27.10.2011;Ephemerella aurivillii;20125;4;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_29.10.2003;29.10.2003;Ephemerella aurivillii;20125;28;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_29.10.2009;29.10.2009;Ephemerella aurivillii;20125;2;;;111000044;;
St. 17 Nausta ved Hovstad;St. 17 Nausta ved Hovstad_31.10.2005;31.10.2005;Ephemerella aurivillii;20125;15;;;111000044;;
St. 2 Innløp Svodvatn;St. 2 Innløp Svodvatn_16.10.2019;16.10.2019;Ephemerella aurivillii;20125;1;;;111000046;;
