Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
9540;9540_26.04.2006;26.04.2006;Oligochaeta Gen. sp.;8736;5;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Asellidae Gen. sp.;10663;2;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Gammaridae (including Crangonyctidae and Niphargidae);;5;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Baetidae Gen. sp.;4380;51;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Heptageniidae Gen. sp.;5458;49;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Caenidae Gen. sp.;8416;42;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Nemouridae Gen. sp.;8422;1;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Leuctridae Gen. sp.;8437;16;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Perlodidae Gen. sp.;8432;10;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Elmidae Gen. sp.;17767;6;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Hydroptilidae Gen. sp.;7455;11;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Rhyacophilidae (including Glossosomatidae);;9;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Hydropsychidae Gen. sp.;8474;7;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Brachycentridae Gen. sp.;9979;10;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Lepidostomatidae Gen. sp.;5725;14;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Leptoceridae Gen. sp.;5726;3;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Simuliidae Gen. sp.;6842;28;;;109000009;;
9540;9540_26.04.2006;26.04.2006;Chironomidae Gen. sp.;4642;30;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Radix balthica;16959;4;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Ancylus fluviatilis;4310;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Sphaeriidae Gen. sp.;8429;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Oligochaeta Gen. sp.;8736;8;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Helobdella stagnalis;5413;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Asellus aquaticus;8691;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Gammarus pulex;5291;13;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Baetis rhodani;4415;80;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Rhithrogena semicolorata;6744;148;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Heptagenia sulphurea;5457;114;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Ecdyonurus sp.;5053;52;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Paraleptophlebia submarginata;6309;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Caenis rivulorum;4526;31;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Leuctra fusca ssp.;21323;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Perlodes microcephalus;6376;4;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Elmis aenea;17768;2;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Esolus parallelepipedus;17820;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Limnius volckmari;18421;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Rhyacophila sp.;6780;2;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Glossosoma sp.;5316;13;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Hydroptila sp.;5616;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Ithytrichia sp.;9050;2;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Polycentropus flavomaculatus ssp.;21659;2;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Hydropsyche sp.;5605;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Hydropsyche siltalai;5604;11;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Brachycentrus subnubilus;4481;5;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Lepidostoma hirtum;5723;8;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Sericostoma personatum;6817;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Athripsodes sp.;4371;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Simuliidae Gen. sp.;6842;4;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Chironomidae Gen. sp.;4642;12;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Atherix sp.;4365;1;;;109000009;;
9540;9540_11.10.2006;11.10.2006;Muscidae Gen. sp.;8659;1;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Oligochaeta Gen. sp.;8736;3;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Baetis rhodani;4415;42;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Baetis scambus;4416;738;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Rhithrogena semicolorata;6744;2;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Heptagenia sulphurea;5457;10;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Serratella ignita;5131;1566;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Caenis rivulorum;4526;360;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Leuctra geniculata;5237;6;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Leuctra moselyi;5778;1;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Siphonoperla torrentium ssp.;21307;7;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Elmis aenea;17768;3;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Esolus parallelepipedus;17820;5;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Limnius volckmari;18421;2;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Agapetus fuscipes;4251;1;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Agraylea multipunctata;4255;1;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Allotrichia pallicornis;4274;3;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Polycentropus flavomaculatus ssp.;21659;1;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Hydropsyche sp.;5605;1;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Hydropsyche siltalai;5604;3;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Lepidostoma hirtum;5723;4;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Athripsodes sp.;4371;4;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Ceraclea dissimilis;4580;1;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Simuliidae Gen. sp.;6842;31;;;109000009;;
9540;9540_15.05.2007;15.05.2007;Chironomidae Gen. sp.;4642;198;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Oligochaeta Gen. sp.;8736;10;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Gammarus pulex;5291;29;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Baetis fuscatus;4397;22;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Baetis rhodani;4415;208;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Rhithrogena semicolorata;6744;143;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Heptagenia sp.;5456;18;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Ecdyonurus torrentis;5057;27;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Leptophlebiidae Gen. sp.;7201;1;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Caenis rivulorum;4526;104;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Leuctra hippopus;5768;1;;;109000009;;
9540;9540_17.10.2007;17.10.2007;Perlodes microcephalus;6376;2;;;109000009;;
