Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Ameletus sp.;8868;1,8;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Amphinemura borealis;4292;36,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Baetis rhodani;4415;73,6;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Ceratopogonidae Gen. sp.;4585;2,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Dicranota sp.;4955;1;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Diura nanseni;13624;5;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Elmis aenea;17768;10,8;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Empididae Gen. sp.;5097;5,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Ephemerella aurivillii;;14,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Ephemerella mucronata;5135;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Heptagenia dalecarlica;12552;0,6;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Hydracarina Gen. sp.;;2,6;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Hydroptila sp.;5616;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Isoperla grammatica;5667;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Leuctra hippopus;5768;15,8;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Limnephilidae Gen. sp.;5809;1,8;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Muscidae Gen. sp.;8659;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Baetis niger;4410;9;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Oligochaeta Gen. sp.;8736;0,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Orthocladiinae Gen. sp.;6208;78;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Oulimnius sp.;18626;2,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Oulimnius tuberculatus;18629;0,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Oxyethira sp.;6268;3,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Polycentropus flavomaculatus ssp.;21659;1,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Protonemura meyeri;6610;0,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Psychodidae Gen. sp.;8753;0,4;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Rhyacophila nubila;6772;5,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Simuliidae Gen. sp.;6842;6,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Taeniopteryx nebulosa;6969;3,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Tanypodinae Gen. sp.;6972;8,2;;;104000001;;
SE-1;Alep Uttjajåkkå_29.09.2000;29.09.2000;Tanytarsini Gen. sp.;6977;7,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Amphinemura borealis;4292;9,8;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Baetis rhodani;4415;10,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Capnopsis schilleri ssp.;21438;4,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Centroptilum luteolum;8850;1,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Ceraclea annulicornis;4579;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Ceratopogonidae Gen. sp.;4585;2,8;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Dicranota sp.;4955;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Diura nanseni;13624;1,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Elmis aenea;17768;7,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Eloeophila sp.;9654;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Empididae Gen. sp.;5097;3;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Ephemerella aurivillii;;12,6;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Gyraulus albus;5354;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Heptagenia dalecarlica;12552;7;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Hydracarina Gen. sp.;;2,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Hydraena sp.;18130;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Hydroptila sp.;5616;6,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Ithytrichia sp.;9050;0,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Leptophlebia marginata;5730;0,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Leptophlebia vespertina;5732;2,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Leuctra hippopus;5768;14,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Limnephilidae Gen. sp.;5809;5,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Nemoura avicularis;6093;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Baetis niger;4410;7,6;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Oligochaeta Gen. sp.;8736;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Orthocladiinae Gen. sp.;6208;23,8;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Oulimnius sp.;18626;0,2;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Oulimnius tuberculatus;18629;0,6;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Oxyethira sp.;6268;1,4;;;104000001;;
SE-1;Alep Uttjajåkkå_18.09.2001;18.09.2001;Polycentropus flavomaculatus ssp.;21659;2,6;;;104000001;;
