"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"England","State data","second data call; new data","ENG_052_MZB_LO",1,"165427","ENG_052_MZB_LO_2","SHEAF",53.344,-1.497,2024,2024,1,1,0
"England","State data","second data call; new data","ENG_052_MZB_LO",1,"222651","ENG_052_MZB_LO_221","SHEAF",53.347,-1.494,2024,2024,1,1,376.084167949306
"England","State data","second data call; new data","ENG_052_MZB_LO",2,"217551","ENG_052_MZB_LO_75","LONG BECK",54.205,-1.152,2024,2024,1,1,0
"England","State data","second data call; new data","ENG_052_MZB_LO",2,"217552","ENG_052_MZB_LO_76","LONG BECK",54.206,-1.167,2024,2024,1,1,952.910800938832
"England","State data","second data call; new data","ENG_052_MZB_LO",4,"218051","ENG_052_MZB_LO_98","PAUL STREAM",50.09,-5.547,2024,2024,1,1,0
"England","State data","second data call; new data","ENG_052_MZB_LO",4,"218052","ENG_052_MZB_LO_99","PAUL STREAM",50.087,-5.541,2024,2024,1,1,525.152932471919
"England","State data","second data call; new data","ENG_052_MZB_LO",4,"218053","ENG_052_MZB_LO_100","TUMBLE TYN",50.082,-5.542,2024,2024,1,1,926.208640046824
"England","State data","second data call; new data","ENG_052_MZB_LO",7,"221035","ENG_052_MZB_LO_212","ANGARRACK STREAM",50.169,-5.358,2024,2024,1,1,0
"England","State data","second data call; new data","ENG_052_MZB_LO",7,"221036","ENG_052_MZB_LO_213","ANGARRACK STREAM",50.175,-5.35,2024,2024,1,1,848.512930515772
"England","State data","second data call; new data","ENG_052_MZB_LO",10,"222753","ENG_052_MZB_LO_227","BURTON PIDSEA DRAIN",53.764,-0.116,2024,2024,1,1,0
"England","State data","second data call; new data","ENG_052_MZB_LO",10,"222754","ENG_052_MZB_LO_228","HUMBLETON BECK",53.764,-0.13,2024,2024,1,1,892.691744622339
"England","State data","second data call; new data","ENG_052_MZB_LO",12,"222756","ENG_052_MZB_LO_230","WISKE",54.282,-1.433,2024,2024,1,1,0
"England","State data","second data call; new data","ENG_052_MZB_LO",12,"222852","ENG_052_MZB_LO_231","HOWE BECK",54.284,-1.426,2024,2024,1,1,490.826067934854
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",1,"NRW_100407","GER_070_MZB_LO_6","Rur",50.5485460519601,6.22794219636761,2006,2018,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",1,"NRW_100791","GER_070_MZB_LO_8","Perlenbach",50.5458390239925,6.23174322053103,2006,2019,14,5,390.170492955901
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",3,"NRW_107300","GER_070_MZB_LO_23","Rur",51.0979596975395,6.10758227312822,2006,2018,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",3,"NRW_126809","GER_070_MZB_LO_58","Wurm",51.0942432115242,6.11224235731428,2007,2018,12,5,508.695615545729
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",4,"NRW_114704","GER_070_MZB_LO_39","Saubach",50.7947036357589,6.22484903753172,2006,2017,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",4,"NRW_114716","GER_070_MZB_LO_40","Inde",50.7946096308219,6.22845936840582,2007,2017,11,5,246.010333247346
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",6,"NRW_115307","GER_070_MZB_LO_42","Inde",50.8466923345252,6.35481801577134,2007,2017,11,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",6,"NRW_119003","GER_070_MZB_LO_45","Wehebach",50.8469426781497,6.35633826572061,2007,2017,11,5,106.828459484147
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",9,"NRW_132299","GER_070_MZB_LO_67","Ahr",50.4056296976742,6.69157031310124,2007,2019,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",9,"NRW_132305","GER_070_MZB_LO_68","Schaafbach",50.4056015465009,6.68653308429344,2007,2019,13,5,345.812800219946
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",11,"NRW_132500","GER_070_MZB_LO_69","Lampertsbach",50.3908581779912,6.71880972979076,2008,2019,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",11,"NRW_132603","GER_070_MZB_LO_70","Ahr",50.3908294910838,6.72744999593031,2008,2019,12,5,593.337207021308
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",13,"NRW_132809","GER_070_MZB_LO_71","Muehlenbach",50.387260435331,6.74139399289679,2007,2019,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",13,"NRW_152201","GER_070_MZB_LO_110","Michelsbach",50.3822330537831,6.7469925074097,2008,2019,12,5,662.91992391551
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",14,"NRW_132901","GER_070_MZB_LO_72","Ahr",50.3702956541145,6.78908819244158,2007,2019,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",14,"NRW_133000","GER_070_MZB_LO_73","Ahbach",50.3690803016689,6.78903218716091,2007,2019,13,5,130.604674662154
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",16,"NRW_133206","GER_070_MZB_LO_76","Kyll",50.3699026535857,6.44846589676705,2008,2019,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",16,"NRW_150204","GER_070_MZB_LO_105","Berke",50.3729285961035,6.44821911489655,2008,2019,12,5,325.475725727965
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",17,"NRW_137315","GER_070_MZB_LO_84","Erft",50.8313007215906,6.77612065923067,2006,2018,13,7,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",17,"NRW_137406","GER_070_MZB_LO_85","Liblarer Muehlengraben",50.8384490674457,6.77884883884239,2006,2018,13,5,789.988842729601
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",17,"NRW_144800","GER_070_MZB_LO_98","Rotbach",50.8226204842029,6.77465891106506,2007,2018,12,5,937.725273985647
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",19,"NRW_143029","GER_070_MZB_LO_92","Bergbach",50.654130178174,6.6358144884364,2007,2018,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",19,"NRW_143509","GER_070_MZB_LO_94","Vlattener Bach",50.6584773848005,6.62446012026445,2007,2018,12,5,905.090813541718
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",21,"NRW_143704","GER_070_MZB_LO_95","Rotbach",50.7147594355714,6.73623850494729,2007,2018,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",21,"NRW_144400","GER_070_MZB_LO_97","Bleibach",50.7066244764749,6.73834432955215,2007,2018,12,5,885.572081292404
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",26,"NRW_201108","GER_070_MZB_LO_116","Doerspe",51.0082408115738,7.62654215911969,2006,2019,14,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",26,"NRW_201509","GER_070_MZB_LO_119","Steinagger",51.0061646232544,7.62894112459582,2006,2019,14,5,276.004984065561
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",27,"NRW_201443","GER_070_MZB_LO_117","Steinagger",50.9796698758788,7.67956765786975,2006,2019,14,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",27,"NRW_201467","GER_070_MZB_LO_118","Steinagger",50.9808996019762,7.67618493349936,2006,2019,14,5,264.71208726162
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",30,"NRW_207202","GER_070_MZB_LO_133","Wiehl",50.9465240147783,7.58310664331772,2007,2019,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",30,"NRW_207305","GER_070_MZB_LO_134","Dreisbach",50.9484160228443,7.58339078488181,2007,2019,13,5,204.157891296729
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",32,"NRW_212234","GER_070_MZB_LO_139","Suelz",50.8723892034374,7.19633577935349,2008,2019,12,7,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",32,"NRW_212260","GER_070_MZB_LO_141","Suelz",50.868848512812,7.20059411035689,2008,2019,12,7,477.959092130142
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",33,"NRW_212246","GER_070_MZB_LO_140","Suelz",50.8615086644642,7.21281339887088,2008,2019,12,7,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",33,"NRW_212271","GER_070_MZB_LO_142","Suelz",50.8632547249736,7.20937865331699,2008,2019,12,7,299.511937642622
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",33,"NRW_212301","GER_070_MZB_LO_143","Suelz",50.8583062548336,7.21570666891367,2008,2019,12,5,396.276456039066
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",34,"NRW_212260","GER_070_MZB_LO_141","Suelz",50.868848512812,7.20059411035689,2008,2019,12,7,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",34,"NRW_212234","GER_070_MZB_LO_139","Suelz",50.8723892034374,7.19633577935349,2008,2019,12,7,477.959092130142
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",34,"NRW_212271","GER_070_MZB_LO_142","Suelz",50.8632547249736,7.20937865331699,2008,2019,12,7,847.160924232933
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",35,"NRW_212271","GER_070_MZB_LO_142","Suelz",50.8632547249736,7.20937865331699,2008,2019,12,7,0
