"country","prov","origin","dataset","group","org.site","unique.id","river","latitude","longitude","yr.st","yr.ed","yr.ln","yr.num","distance"
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",1,"43451","ENG_041_MZB_LO_3486","Middle and Lower Darent",51.3126,0.18469841,1994,2014,21,21,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",1,"43451","ENG_062_MZB_LO_1363","DARENT",51.3121629029,0.1830263344,2002,2014,13,13,121.982736459181
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",2,"98142","ENG_041_MZB_LO_3491","Not part of a river WB catchment",51.433233,-0.32546739,2005,2019,15,15,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",2,"98142","ENG_062_MZB_LO_3248","THAMES TIDEWAY (THAMES SOUTH-EAST AREA)",51.4302717695,-0.3214829434,2005,2024,20,20,415.714665135786
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",3,"48282","ENG_041_MZB_LO_3500","Blakedown Bk - source to conf R Stour",52.398497,-2.2468649,1994,2019,26,25,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",3,"48282","ENG_062_MZB_LO_1614","BLAKEDOWN BROOK",52.3989410946,-2.2432328952,2002,2021,20,20,243.531421951645
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",4,"49078","ENG_041_MZB_LO_3501","Spadesbourne Bk - source to conf Battlefield Bk",52.33212,-2.0667265,1994,2019,26,24,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",4,"49078","ENG_062_MZB_LO_1678","BATTLEFIELD BROOK",52.332716127,-2.0683797223,2002,2021,20,20,126.317462997598
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",5,"50644","ENG_041_MZB_LO_3505","Tern - conf R Meese to conf R Roden",52.735768,-2.5686689,1994,2019,26,25,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",5,"50644","ENG_062_MZB_LO_1783","TERN",52.7368738784,-2.5679856192,2002,2024,23,22,126.98527944688
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",6,"50791","ENG_041_MZB_LO_3506","Teme - conf R Clun to conf R Onny",52.359003,-2.8765901,1995,2019,25,24,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",6,"50791","ENG_062_MZB_LO_1790","TEME",52.35914394,-2.8786771135,2002,2024,23,22,138.176105479676
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",6,"52662","ENG_062_MZB_LO_1976","CLUN",52.360049449,-2.8790181256,2002,2023,22,15,195.40287270916
