"Site.ID";"Sample.ID";"Sampling.date";"Taxon.name";"Taxon.ID";"Abundance";"Definition.of.abundance.class";"Abundance.class";"Site_ID_Ellen";"sampling.method"
"BEVL_VMM_241000";NA;"18.07.1989";"Asellidae";NA;11;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Baetis";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Bithynia";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Caenis";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Coenagrion";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Dendrocoelum";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Dugesia";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Dytiscidae";NA;1;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Ecnomidae";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Erpobdella";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Glossiphonia";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Helobdella";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Hydrophilidae";NA;1;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Leptoceridae";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Lymnaea";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Micronecta";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Naididae";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Nepa";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Placobdella";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Planorbis";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Segmentina";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Sialis";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"18.07.1989";"Sigara";NA;11;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Acroloxus";NA;3;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Asellidae";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Bithynia";NA;4;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Caenis";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Chironomidae thummi-plumosus";NA;1001;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Cloeon";NA;11;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Daphnia";NA;1;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Dugesia";NA;4;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Ecnomidae";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Erpobdella";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Glossiphonia";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Gyraulus";NA;3;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Helobdella";NA;11;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Hemiclepsis";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Hydracarina";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Ischnura";NA;4;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Lege kokers";NA;1;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Leptoceridae";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Lymnaea";NA;1;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Naididae";NA;101;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Ostracoda";NA;1;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Sialis";NA;3;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Sigara";NA;5;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Tabanidae";NA;1;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Tubificidae";NA;51;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"21.11.1989";"Valvata";NA;2;NA;NA;NA;"Handnet"
"BEVL_VMM_241000";NA;"15.09.1992";"Baetis";NA;1;NA;NA;NA;"Handnet"
