Site.ID,Sample.ID,Sampling.date,Taxon.name,Taxon.ID,Abundance,Definition.of.abundance.class,Abundance.class,Site_ID_Ellen
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Aeshnidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Ancylidae,NA,205,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Anthomyiidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Atyidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Baetidae,NA,42,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Caenidae,NA,6254,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Polymitarcyidae,NA,43,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Procambarus sp.,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Simuliidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Sphaeriidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Spongillidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Lymnaeidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Neritidae,NA,449,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Oligochaeta,NA,124,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Physidae,NA,123,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Planorbidae,NA,3,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Polycentropodidae,NA,4,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Hydrobiidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Hydropsychidae,NA,971,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Hydroptilidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Leptoceridae,NA,4,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Leptophlebiidae,NA,206,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Leuctridae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Elmidae,NA,121,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Empididae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Gerridae,NA,8,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Glossiphoniidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Heptageniidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Hydracarina,NA,485,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Chironomidae,NA,2014,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Coenagrionidae,NA,8,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Corixidae,NA,204,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Dreissena polymorpha,NA,987,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Dytiscidae,NA,3,NA,NA,NA
0001-BIO,0001-BIO_29.07.2009,29.07.2009,Ecnomidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Ancylidae,NA,34,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Atyidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Baetidae,NA,1802,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Caenidae,NA,1205,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Chironomidae,NA,1141,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Copepoda,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Corixidae,NA,142,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Culicidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Dreissena polymorpha,NA,382,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Elmidae,NA,6,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Empididae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Ferrissiidae,NA,120,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Gerridae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Glossiphoniidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Heptageniidae,NA,50,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Hydracarina,NA,87,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Hydrobiidae,NA,10,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Hydropsychidae,NA,587,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Hydroptilidae,NA,12,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Leptoceridae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Leptophlebiidae,NA,303,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Leuctridae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Nematoda,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Neritidae,NA,65,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Oligochaeta,NA,88,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Physidae,NA,64,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Planorbidae,NA,20,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Polymitarcyidae,NA,103,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Simuliidae,NA,27,NA,NA,NA
0001-BIO,0001-BIO_28.07.2010,28.07.2010,Sphaeriidae,NA,6,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Atyidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Baetidae,NA,15,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Caenidae,NA,8,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Chironomidae,NA,17,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Coenagrionidae,NA,7,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Gammaridae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Gerridae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Glossiphoniidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Hydracarina,NA,2,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Hydropsychidae,NA,5,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Leptophlebiidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Neritidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Oligochaeta,NA,7,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Physidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_28.08.2012,28.08.2012,Polycentropodidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Ancylidae,NA,81,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Atyidae,NA,161,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Baetidae,NA,20,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Caenidae,NA,160,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Chironomidae,NA,1211,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Coenagrionidae,NA,21,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Dreissena polymorpha,NA,1842,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Ecnomidae,NA,31,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Empididae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Ferrissiidae,NA,160,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Gerridae,NA,6,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Hydracarina,NA,423,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Hydrobiidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Hydropsychidae,NA,356,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Hydroptilidae,NA,11,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Nematoda,NA,1,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Neritidae,NA,653,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Oligochaeta,NA,203,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Physidae,NA,181,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Planorbidae,NA,70,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Procambarus sp.,NA,11,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Simuliidae,NA,72,NA,NA,NA
0001-BIO,0001-BIO_17.09.2012,17.09.2012,Spongillidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Ancylidae,NA,187,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Orden Anomopoda,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Baetidae,NA,8643,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Caenidae,NA,8966,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Ceratopogonidae,NA,320,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Chironomidae,NA,3682,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Polymitarcyidae,NA,483,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Procambarus sp.,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Simuliidae,NA,2090,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Spongillidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Tipulidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Leuctridae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Neritidae,NA,326,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Oligochaeta,NA,1120,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Ostracoda,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Physidae,NA,3042,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Polycentropodidae,NA,4,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Hydracarina,NA,5121,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Hydrobiidae,NA,881,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Hydropsychidae,NA,1043,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Hydroptilidae,NA,1442,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Leptoceridae,NA,3,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Leptophlebiidae,NA,1286,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Dreissena polymorpha,NA,522,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Elmidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Ferrissiidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Gammaridae,NA,324,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Gerridae,NA,3,NA,NA,NA
0001-BIO,0001-BIO_19.08.2013,19.08.2013,Heptageniidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Ancylidae,NA,326,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Anthomyiidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Baetidae,NA,326,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Caenidae,NA,11846,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Chironomidae,NA,1445,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Coenagrionidae,NA,27,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Corixidae,NA,320,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Dreissena polymorpha,NA,42,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Elmidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Empididae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Gammaridae,NA,80,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Gerridae,NA,5,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Heptageniidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Hydracarina,NA,1287,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Hydrobiidae,NA,322,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Hydropsychidae,NA,806,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Hydroptilidae,NA,641,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Leptoceridae,NA,324,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Leptophlebiidae,NA,648,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Leuctridae,NA,81,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Lymnaeidae,NA,23,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Neritidae,NA,29,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Notonectidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Oligochaeta,NA,14,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Physidae,NA,324,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Polycentropodidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Polymitarcyidae,NA,3,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Potamanthidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Procambarus sp.,NA,1,NA,NA,NA
0001-BIO,0001-BIO_04.08.2014,04.08.2014,Simuliidae,NA,4335,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Aeshnidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Ancylidae,NA,81,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Orden Anomopoda,NA,1,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Atyidae,NA,8,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Baetidae,NA,166,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Caenidae,NA,3126,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Procambarus sp.,NA,25,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Simuliidae,NA,55,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Sphaeriidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Spongillidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Tipulidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Neritidae,NA,10,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Oligochaeta,NA,11,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Physidae,NA,47,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Polycentropodidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Polymitarcyidae,NA,24,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Potamanthidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Hydroptilidae,NA,160,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Leptoceridae,NA,22,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Leptophlebiidae,NA,324,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Leuctridae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Lymnaeidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Nepidae,NA,1,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Gerridae,NA,4,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Glossiphoniidae,NA,2,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Hydracarina,NA,4723,NA,NA,NA
0001-BIO,0001-BIO_10.08.2015,10.08.2015,Hydrobiidae,NA,22,NA,NA,NA
