Site.ID,Sample.ID,Sampling.date,Taxon.name,Taxon.ID,Abundance,Definition.of.abundance.class,Abundance.class,Site_ID_Ellen
120055,120055_03.06.2019,03.06.2019,Ancylus fluviatilis,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Baetis rhodani,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Baetis vernus,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Centroptilum luteolum,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Chaetopteryx villosa,NA,11,,,NA
120055,120055_03.06.2019,03.06.2019,Chironomidae,NA,31,,,NA
120055,120055_03.06.2019,03.06.2019,Deronectes latus,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Dicranota,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Dixa,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Dugesia gonocephala,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Elodes,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Eloeophila,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Ephemera danica,NA,11,,,NA
120055,120055_03.06.2019,03.06.2019,Gammarus pulex,NA,301,,,NA
120055,120055_03.06.2019,03.06.2019,Habrophlebia lauta,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Halesus digitatus,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Halesus radiatus,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Helobdella stagnalis,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Helophorus aquaticus,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Heptagenia sulphurea,NA,11,,,NA
120055,120055_03.06.2019,03.06.2019,Odontocerum albicorne,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Pisidium amnicum,NA,1,,,NA
120055,120055_03.06.2019,03.06.2019,Plectrocnemia conspersa,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Ptychoptera,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Sericostoma,NA,3,,,NA
120055,120055_03.06.2019,03.06.2019,Tinodes maculicornis,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Amphinemura standfussi,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Ancylus fluviatilis,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Baetis rhodani,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Centroptilum luteolum,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Chaetopteryx villosa,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Chironomidae,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Deronectes latus,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Dixidae,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Dugesia gonocephala,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Elmis aenea,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Elodes,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Ephemera danica,NA,11,,,NA
120055,120055_04.06.2007,04.06.2007,Gammarus pulex,NA,101,,,NA
120055,120055_04.06.2007,04.06.2007,Halesus radiatus,NA,11,,,NA
120055,120055_04.06.2007,04.06.2007,Heptagenia sulphurea,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Hydropsyche saxonica,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Limnius volckmari,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Limoniidae,NA,1,,,NA
120055,120055_04.06.2007,04.06.2007,Odontocerum albicorne,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Pisidium amnicum,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Sericostoma personatum,NA,3,,,NA
120055,120055_04.06.2007,04.06.2007,Sialis fuliginosa,NA,1,,,NA
120055,120055_04.06.2007,04.06.2007,Simuliidae,NA,11,,,NA
120055,120055_04.06.2007,04.06.2007,Velia caprai,NA,3,,,NA
120055,120055_05.04.1998,05.04.1998,Amphinemura standfussi,NA,3,,,NA
120055,120055_05.04.1998,05.04.1998,Baetis rhodani,NA,11,,,NA
