"Site.ID","Sample.ID","Sampling.date","Taxon.name","Taxon.ID","Abundance","Definition.of.abundance.class","Abundance.class","Site_ID_Ellen"
"SN_OBF00080","SN_OBF00080_0/20090617","17.06.2009","Chironomidae",NA,3,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20090617","17.06.2009","Corixidae",NA,13,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20090617","17.06.2009","Dikerogammarus villosus",NA,30,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20090617","17.06.2009","Stylodrilus heringianus",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20090617","17.06.2009","Tipula s. l.",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20090617","17.06.2009","Viviparus viviparus",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Caenis luctuosa",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Calopteryx splendens",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Chironomidae",NA,7,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Chironomini",NA,68,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Dikerogammarus villosus",NA,60,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Enchytraeidae",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Hydra",NA,2,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Jaera istri",NA,3,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Lumbriculus variegatus",NA,2,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Naididae",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Oulimnius tuberculatus ad",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Platycnemis pennipes",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Potamanthus luteus",NA,3,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Prodiamesa olivacea",NA,16,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Rheotanytarsus",NA,1,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Stylaria lacustris",NA,2,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Tanypodinae",NA,3,NA,NA,NA
"SN_OBF00080","SN_OBF00080_0/20100622","22.06.2010","Tanytarsini",NA,18,NA,NA,NA
