"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Chironomidae Gen. sp.",43
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Hydropsyche sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Hydroptilidae Gen. sp.",56
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Limnephilidae Gen. sp.",30
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Limoniidae Gen. sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Lumbriculidae Gen. sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Philopotamidae Gen. sp.",11
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,"Tipulidae Gen. sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2011","14.07.2011",2011,7,14,"Chironomidae Gen. sp.",8
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2011","14.07.2011",2011,7,14,"Hydroptilidae Gen. sp.",14
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2011","14.07.2011",2011,7,14,"Lumbriculidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2011","14.07.2011",2011,7,14,"Tipulidae Gen. sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-26.07.2012","26.07.2012",2012,7,26,"Chironomidae (excl. Chironomus sp.)",14
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-26.07.2012","26.07.2012",2012,7,26,"Chironomus sp.",43
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Atherix sp.",5
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Baetis sp.",6
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Calopterygidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Chironomidae Gen. sp.",5
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Haliplidae Gen. sp.",3
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Hydroptilidae Gen. sp.",12
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Limnephilidae Gen. sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Limoniidae Gen. sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Lumbriculidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Philopotamidae Gen. sp.",13
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,"Simuliidae Gen. sp.",9
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2016","14.07.2016",2016,7,14,"Caenis sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2016","14.07.2016",2016,7,14,"Chironomidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2016","14.07.2016",2016,7,14,"Dugesia sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2016","14.07.2016",2016,7,14,"Tipulidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-24.08.2017","24.08.2017",2017,8,24,"Chironomidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-24.08.2017","24.08.2017",2017,8,24,"Hydroptilidae Gen. sp.",5
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-24.08.2017","24.08.2017",2017,8,24,"Lumbriculidae Gen. sp.",6
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2018","07.08.2018",2018,8,7,"Chironomidae Gen. sp.",2
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2018","07.08.2018",2018,8,7,"Hydroptilidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2018","07.08.2018",2018,8,7,"Lumbriculidae Gen. sp.",19
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-09.09.2019","09.09.2019",2019,9,9,"Atherix sp.",3
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-09.09.2019","09.09.2019",2019,9,9,"Chironomidae Gen. sp.",5
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-09.09.2019","09.09.2019",2019,9,9,"Dytiscidae Gen. sp.",1
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-09.09.2019","09.09.2019",2019,9,9,"Hydroptilidae Gen. sp.",51
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-09.09.2019","09.09.2019",2019,9,9,"Lumbriculidae Gen. sp.",21
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Asellus sp.",14
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Baetis sp.",24
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Chironomidae (excl. Chironomus sp.)",280
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Chironomus sp.",540
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Eristalis sp.",2
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Gammarus sp.",10
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Glossiphoniidae Gen. sp.",2
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Lumbriculidae Gen. sp.",98
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Philopotamidae Gen. sp.",5
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,"Tipulidae Gen. sp.",3
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-23.08.2012","23.08.2012",2012,8,23,"Asellus sp.",2
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-23.08.2012","23.08.2012",2012,8,23,"Chironomidae (excl. Chironomus sp.)",4
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-23.08.2012","23.08.2012",2012,8,23,"Chironomus sp.",76
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-23.08.2012","23.08.2012",2012,8,23,"Eristalis sp.",24
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-23.08.2012","23.08.2012",2012,8,23,"Lumbricidae Gen. sp.",6
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Asellus sp.",16
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Baetis sp.",2
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Chironomidae (excl. Chironomus sp.)",314
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Chironomus sp.",348
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Gammarus sp.",4
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Hydropsyche sp.",1
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Lumbriculidae Gen. sp.",226
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,"Platycnemididae Gen. sp.",1
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-28.08.2014","28.08.2014",2014,8,28,"Chironomus sp.",48
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-28.08.2014","28.08.2014",2014,8,28,"Cricotopus sylvestris",18
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-28.08.2014","28.08.2014",2014,8,28,"Gammarus sp.",6
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-28.08.2014","28.08.2014",2014,8,28,"Haemopis sanguisuga",1
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-28.08.2014","28.08.2014",2014,8,28,"Tubifex tubifex",600
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-27.08.2015","27.08.2015",2015,8,27,"Asellus sp.",12
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-27.08.2015","27.08.2015",2015,8,27,"Chironomidae Gen. sp.",45
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-27.08.2015","27.08.2015",2015,8,27,"Chironomus sp.",280
