"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-06.09.2001","06.09.2001",2001,9,6,"Acrophylax zerberus",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-06.09.2001","06.09.2001",2001,9,6,"Chironomidae",19
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-06.09.2001","06.09.2001",2001,9,6,"Dicranota",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-06.09.2001","06.09.2001",2001,9,6,"Nemoura",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-06.09.2001","06.09.2001",2001,9,6,"Oligochaeta: Enchytraeidae",2
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-06.09.2001","06.09.2001",2001,9,6,"Prosimulium",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-13.08.2002","13.08.2002",2002,8,13,"Chironomidae",8
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-13.08.2002","13.08.2002",2002,8,13,"Prosimulium",6
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-19.08.2003","19.08.2003",2003,8,19,"Acrophylax zerberus",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-19.08.2003","19.08.2003",2003,8,19,"Chironomidae",55
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-19.08.2003","19.08.2003",2003,8,19,"Dicranota",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-19.08.2003","19.08.2003",2003,8,19,"Hydracarina",3
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-19.08.2003","19.08.2003",2003,8,19,"Nemoura",9
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-19.08.2003","19.08.2003",2003,8,19,"Rhithrogena loyolaea",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-02.08.2004","02.08.2004",2004,8,2,"Chironomidae",32
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-02.08.2004","02.08.2004",2004,8,2,"Crenobia alpina",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-02.08.2004","02.08.2004",2004,8,2,"Hydracarina",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-02.08.2004","02.08.2004",2004,8,2,"Nemoura",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-02.08.2004","02.08.2004",2004,8,2,"Perlodes",2
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-02.08.2004","02.08.2004",2004,8,2,"Prosimulium",64
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-27.07.2005","27.07.2005",2005,7,27,"Chironomidae",445
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-27.07.2005","27.07.2005",2005,7,27,"Crenobia alpina",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-27.07.2005","27.07.2005",2005,7,27,"Limnephilus coenosus",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-27.07.2005","27.07.2005",2005,7,27,"Prosimulium",6
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-27.07.2006","27.07.2006",2006,7,27,"Acrophylax zerberus",1
"CHE_076_MZB_LO_1","CHE_076_MZB_LO_1-27.07.2006","27.07.2006",2006,7,27,"Chironomidae",1
