"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Alboglossiphonia heteroclita",4
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Asellidae Gen. sp.",4168
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Asellus aquaticus",1208
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Bryozoa Gen. sp.",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Chaetogaster sp.",29
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Chironomidae Gen. sp.",8
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Chironomini Gen. sp.",25
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Dendrocoelum lacteum",4
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Dikerogammarus villosus",2
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Dreissena polymorpha",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Dugesia lugubris/polychroa",58
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Dugesia tigrina",31
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Ecnomus tenellus",5
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Eiseniella tetraedra",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Erpobdella octoculata",104
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Ferrissia clessiniana",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Gammarus fossarum",88
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Gammarus pulex",3
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Gammarus sp.",164
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Glossiphonia complanata",3
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Gyraulus albus",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Helobdella stagnalis",3
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Hippeutis complanatus",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Hydra sp.",122
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Ischnura elegans",2
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Leptoceridae Gen. sp.",2
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Oligochaeta Gen. sp.",115
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Orthocladiinae Gen. sp.",62
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Polycelis nigra/tenuis",27
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Proasellus meridianus",24
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Radix sp.",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Serratella ignita",1
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Sphaeriidae Gen. sp.",19
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Stylaria lacustris",168
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Tanypodinae Gen. sp.",2
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Tanytarsini Gen. sp.",6
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Valvata cristata",8
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Valvata piscinalis ssp.",6
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Valvata sp.",5
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-05.06.2001","05.06.2001",2001,6,5,"Viviparus viviparus",21
"FRA_015_MZB_LO_3","FRA_015_MZB_LO_3-20.08.2002","20.08.2002",2002,8,20,"Alboglossiphonia heteroclita",3
