"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Ametropus sp.",4
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Anabolia sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Aphelocheirus aestivalis",3
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Asellus aquaticus",22
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Baetis sp.",33
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Brachycentrus subnubilus",40
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Calopteryx splendens",8
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Chironomidae Gen. sp.",59
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Corophiidae Gen. sp.",31
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Ephemera danica",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Erpobdella octoculata",25
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gammarus pulex",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gammarus sp.",65
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gomphus sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gomphus vulgatissimus",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gyrinus sp. Ad.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Heptagenia sp.",10
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Heptagenia sulphurea",19
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Hydropsyche contubernalis ssp.",40
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Hydropsyche siltalai",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Hydropsychidae Gen. sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Limnephilidae Gen. sp.",3
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Limnius sp. Ad.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Lymnaea sp.",5
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Nemoura sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Oligochaeta Gen. sp.",17
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Onychogomphus forcipatus",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Piscicola geometra",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Platambus maculatus Ad.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Platycnemis pennipes",8
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Potamanthus luteus",5
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Simuliidae Gen. sp.",11
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Sphaerium sp.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Tipula sp.",4
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Aphelocheirus aestivalis",9
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Asellus aquaticus",169
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Baetis rhodani",140
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Brachycentrus subnubilus",72
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Calopteryx splendens",36
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Calopteryx virgo",153
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Chelicorophium curvispinum",16
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Chironomidae Gen. sp.",217
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Cordulia aenea",49
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Dixa sp.",88
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Erpobdella octoculata",69
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,"Gammarus lacustris",157
