"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Alainites muticus",208
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Amphinemura",107
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Asellus aquaticus",32
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Baetis rhodani",688
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Ceraclea",5
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Chironomidae",960
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Coleoptera",368
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Ephemera danica",21
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Gastropoda",272
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Heptagenia sulphurea",53
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Hydrachnidia Ad.",43
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Hydropsyche pellucidula",5
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Hydropsyche siltalai",528
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Isoperla",107
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Ithytrichia lamellaris",416
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Lepidostoma hirtum",32
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Leuctra hippopus",32
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Micrasema setiferum",320
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Nigrobaetis niger",336
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Oligochaeta",16
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Plectrocnemia conspersa",11
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Polycentropus flavomaculatus",43
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Protonemura meyeri",32
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Rhyacophila nubila",53
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Simuliidae",21
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Sphaeriidae",544
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,"Taeniopteryx nebulosa",11
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Alainites muticus",512
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Amphinemura",192
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Baetis rhodani",2708
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Chironomidae",1824
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Chironomidae Pupae.",84
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Coleoptera",1056
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Coleoptera Ad.",160
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Diptera",64
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Gastropoda",960
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Heptagenia sulphurea",236
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Hydrachnidia Ad.",352
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Hydropsyche pellucidula",172
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Hydropsyche siltalai",2580
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Isoperla",20
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,"Ithytrichia lamellaris",384
