"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-28.07.2010","28.07.2010",2010,7,28,0.5,3
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2011","14.07.2011",2011,7,14,0.4,4
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-26.07.2012","26.07.2012",2012,7,26,0.3,5
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2013","07.08.2013",2013,8,7,0.6,3
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-14.07.2016","14.07.2016",2016,7,14,0.4,4
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-24.08.2017","24.08.2017",2017,8,24,0.4,4
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-07.08.2018","07.08.2018",2018,8,7,0.4,4
"BGR_006_MZB_LO_4","BGR_006_MZB_LO_4-09.09.2019","09.09.2019",2019,9,9,0.4,4
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-25.08.2010","25.08.2010",2010,8,25,0.5,3
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-23.08.2012","23.08.2012",2012,8,23,0.3,5
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-19.08.2013","19.08.2013",2013,8,19,0.5,3
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-28.08.2014","28.08.2014",2014,8,28,0.3,5
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-27.08.2015","27.08.2015",2015,8,27,0.4,4
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-26.07.2017","26.07.2017",2017,7,26,0.5,3
"BGR_006_MZB_LO_5","BGR_006_MZB_LO_5-24.07.2019","24.07.2019",2019,7,24,0.4,4
"BGR_006_MZB_LO_6","BGR_006_MZB_LO_6-25.08.2010","25.08.2010",2010,8,25,0.5,3
"BGR_006_MZB_LO_6","BGR_006_MZB_LO_6-23.08.2012","23.08.2012",2012,8,23,0.6,3
"BGR_006_MZB_LO_6","BGR_006_MZB_LO_6-19.08.2013","19.08.2013",2013,8,19,0.6,3
"BGR_006_MZB_LO_6","BGR_006_MZB_LO_6-27.08.2015","27.08.2015",2015,8,27,0.7,2
"BGR_006_MZB_LO_6","BGR_006_MZB_LO_6-26.07.2017","26.07.2017",2017,7,26,0.7,2
"BGR_006_MZB_LO_6","BGR_006_MZB_LO_6-08.08.2018","08.08.2018",2018,8,8,0.7,2
"BGR_006_MZB_LO_6","BGR_006_MZB_LO_6-24.07.2019","24.07.2019",2019,7,24,0.6,3
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-05.08.2010","05.08.2010",2010,8,5,0.9,1
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-31.08.2011","31.08.2011",2011,8,31,0.8,1
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-28.06.2012","28.06.2012",2012,6,28,0.6,3
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-15.08.2013","15.08.2013",2013,8,15,0.9,1
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-17.07.2014","17.07.2014",2014,7,17,0.9,1
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-26.06.2015","26.06.2015",2015,6,26,0.9,1
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-17.07.2017","17.07.2017",2017,7,17,0.8,1
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-21.06.2018","21.06.2018",2018,6,21,0.9,1
"BGR_006_MZB_LO_7","BGR_006_MZB_LO_7-08.07.2019","08.07.2019",2019,7,8,0.9,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-05.08.2010","05.08.2010",2010,8,5,1,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-31.08.2011","31.08.2011",2011,8,31,1,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-28.06.2012","28.06.2012",2012,6,28,1,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-15.08.2013","15.08.2013",2013,8,15,0.9,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-17.07.2014","17.07.2014",2014,7,17,0.9,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-26.06.2015","26.06.2015",2015,6,26,0.9,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-23.07.2018","23.07.2018",2018,7,23,0.9,1
"BGR_006_MZB_LO_8","BGR_006_MZB_LO_8-08.07.2019","08.07.2019",2019,7,8,0.9,1
