"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-13.11.2003","13.11.2003",2003,11,13,0.888261523,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-01.10.2004","01.10.2004",2004,10,1,0.973421633,1
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-05.09.2006","05.09.2006",2006,9,5,0.955047565,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-07.11.2008","07.11.2008",2008,11,7,0.928518133,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-01.10.2009","01.10.2009",2009,10,1,0.967648973,1
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-27.10.2010","27.10.2010",2010,10,27,0.931254794,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-25.10.2011","25.10.2011",2011,10,25,0.940043707,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-06.09.2012","06.09.2012",2012,9,6,0.883646937,3
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-12.09.2013","12.09.2013",2013,9,12,0.887792037,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-10.09.2014","10.09.2014",2014,9,10,0.949545254,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-22.09.2015","22.09.2015",2015,9,22,0.907289845,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-29.11.2016","29.11.2016",2016,11,29,0.934783293,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-08.11.2017","08.11.2017",2017,11,8,0.988592709,1
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-03.09.2018","03.09.2018",2018,9,3,0.889966353,3
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-17.09.2020","17.09.2020",2020,9,17,0.834115238,5
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-18.10.2021","18.10.2021",2021,10,18,0.97470495,1
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-16.09.2022","16.09.2022",2022,9,16,0.948861047,2
"ENG_062_MZB_LO_1869","ENG_062_MZB_LO_1869-09.10.2023","09.10.2023",2023,10,9,1.012151734,1
"ENG_062_MZB_LO_1870","ENG_062_MZB_LO_1870-30.10.2003","30.10.2003",2003,10,30,0.846309947,3
"ENG_062_MZB_LO_1870","ENG_062_MZB_LO_1870-19.10.2006","19.10.2006",2006,10,19,0.890514599,2
"ENG_062_MZB_LO_1870","ENG_062_MZB_LO_1870-06.11.2013","06.11.2013",2013,11,6,1.061379912,1
"ENG_062_MZB_LO_1870","ENG_062_MZB_LO_1870-24.09.2014","24.09.2014",2014,9,24,0.999316915,1
"ENG_062_MZB_LO_1870","ENG_062_MZB_LO_1870-09.11.2021","09.11.2021",2021,11,9,1.007086069,1
"ENG_062_MZB_LO_1870","ENG_062_MZB_LO_1870-27.10.2022","27.10.2022",2022,10,27,1.021038297,1
"ENG_062_MZB_LO_1870","ENG_062_MZB_LO_1870-29.09.2023","29.09.2023",2023,9,29,1.076060939,1
"ENG_062_MZB_LO_1872","ENG_062_MZB_LO_1872-26.11.2002","26.11.2002",2002,11,26,0.872087849,3
"ENG_062_MZB_LO_1872","ENG_062_MZB_LO_1872-07.10.2004","07.10.2004",2004,10,7,0.840116379,3
"ENG_062_MZB_LO_1872","ENG_062_MZB_LO_1872-25.11.2005","25.11.2005",2005,11,25,1.038723848,1
