"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-29.07.2009","29.07.2009",2009,7,29,0.94,1
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-28.07.2010","28.07.2010",2010,7,28,0.77,1
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-28.08.2012","28.08.2012",2012,8,28,0.41,3
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-19.08.2013","19.08.2013",2013,8,19,0.77,1
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-04.08.2014","04.08.2014",2014,8,4,0.86,1
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-10.08.2015","10.08.2015",2015,8,10,0.9,1
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-03.08.2017","03.08.2017",2017,8,3,0.55,2
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-12.07.2018","12.07.2018",2018,7,12,0.43,2
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-03.08.2009","03.08.2009",2009,8,3,1.24,1
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-26.08.2013","26.08.2013",2013,8,26,1.19,1
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-24.09.2014","24.09.2014",2014,9,24,0.86,1
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-31.08.2015","31.08.2015",2015,8,31,1.22,1
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-15.09.2016","15.09.2016",2016,9,15,1.1,1
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-27.09.2017","27.09.2017",2017,9,27,0.79,1
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-23.09.2018","23.09.2018",2018,9,23,0.89,1
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-24.08.2019","24.08.2019",2019,8,24,1.15,1
"ESP_058_MZB_LO_100","ESP_058_MZB_LO_100-12.08.2009","12.08.2009",2009,8,12,1.21,1
"ESP_058_MZB_LO_100","ESP_058_MZB_LO_100-17.08.2010","17.08.2010",2010,8,17,1.18,1
"ESP_058_MZB_LO_100","ESP_058_MZB_LO_100-14.07.2014","14.07.2014",2014,7,14,0.82,2
"ESP_058_MZB_LO_100","ESP_058_MZB_LO_100-14.09.2015","14.09.2015",2015,9,14,1.08,1
"ESP_058_MZB_LO_100","ESP_058_MZB_LO_100-03.09.2017","03.09.2017",2017,9,3,1.17,1
"ESP_058_MZB_LO_100","ESP_058_MZB_LO_100-08.08.2018","08.08.2018",2018,8,8,1.13,1
"ESP_058_MZB_LO_100","ESP_058_MZB_LO_100-14.08.2019","14.08.2019",2019,8,14,1.02,1
"ESP_058_MZB_LO_101","ESP_058_MZB_LO_101-08.08.2009","08.08.2009",2009,8,8,0.41,3
"ESP_058_MZB_LO_101","ESP_058_MZB_LO_101-25.08.2010","25.08.2010",2010,8,25,0.68,2
"ESP_058_MZB_LO_101","ESP_058_MZB_LO_101-22.09.2014","22.09.2014",2014,9,22,0.29,4
"ESP_058_MZB_LO_101","ESP_058_MZB_LO_101-26.08.2015","26.08.2015",2015,8,26,0.55,2
"ESP_058_MZB_LO_101","ESP_058_MZB_LO_101-29.09.2016","29.09.2016",2016,9,29,0.69,2
"ESP_058_MZB_LO_101","ESP_058_MZB_LO_101-15.08.2018","15.08.2018",2018,8,15,0.82,2
"ESP_058_MZB_LO_101","ESP_058_MZB_LO_101-01.09.2019","01.09.2019",2019,9,1,0.79,2
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-14.07.2009","14.07.2009",2009,7,14,0.09,5
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-22.08.2011","22.08.2011",2011,8,22,0.08,5
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-20.08.2012","20.08.2012",2012,8,20,0.09,5
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-20.08.2014","20.08.2014",2014,8,20,0.11,5
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-20.08.2015","20.08.2015",2015,8,20,0.06,5
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-18.08.2017","18.08.2017",2017,8,18,0.12,5
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-14.07.2018","14.07.2018",2018,7,14,0.15,4
"ESP_058_MZB_LO_102","ESP_058_MZB_LO_102-04.07.2019","04.07.2019",2019,7,4,0.11,5
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-28.07.2009","28.07.2009",2009,7,28,1.2,1
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-20.07.2010","20.07.2010",2010,7,20,1.16,1
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-13.08.2011","13.08.2011",2011,8,13,1.15,1
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-19.08.2014","19.08.2014",2014,8,19,1.1,1
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-22.09.2015","22.09.2015",2015,9,22,1.25,1
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-16.08.2017","16.08.2017",2017,8,16,1.25,1
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-21.07.2018","21.07.2018",2018,7,21,1.23,1
"ESP_058_MZB_LO_103","ESP_058_MZB_LO_103-31.07.2019","31.07.2019",2019,7,31,1.07,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-19.08.2009","19.08.2009",2009,8,19,1.01,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-19.08.2010","19.08.2010",2010,8,19,1.07,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-18.08.2011","18.08.2011",2011,8,18,0.86,2
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-24.09.2013","24.09.2013",2013,9,24,0.93,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-16.09.2014","16.09.2014",2014,9,16,1.03,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-09.09.2015","09.09.2015",2015,9,9,1.03,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-23.09.2017","23.09.2017",2017,9,23,1,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-21.07.2018","21.07.2018",2018,7,21,1.41,1
"ESP_058_MZB_LO_104","ESP_058_MZB_LO_104-17.07.2019","17.07.2019",2019,7,17,1.27,1
"ESP_058_MZB_LO_108","ESP_058_MZB_LO_108-06.07.2009","06.07.2009",2009,7,6,1.55,1
"ESP_058_MZB_LO_108","ESP_058_MZB_LO_108-27.07.2010","27.07.2010",2010,7,27,1.06,1
"ESP_058_MZB_LO_108","ESP_058_MZB_LO_108-05.08.2014","05.08.2014",2014,8,5,1.17,1
"ESP_058_MZB_LO_108","ESP_058_MZB_LO_108-05.08.2015","05.08.2015",2015,8,5,1.13,1
"ESP_058_MZB_LO_108","ESP_058_MZB_LO_108-07.09.2016","07.09.2016",2016,9,7,1.05,1
"ESP_058_MZB_LO_108","ESP_058_MZB_LO_108-01.08.2017","01.08.2017",2017,8,1,1.04,1
"ESP_058_MZB_LO_108","ESP_058_MZB_LO_108-18.09.2018","18.09.2018",2018,9,18,0.89,1
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-11.07.2009","11.07.2009",2009,7,11,0.99,1
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-22.07.2010","22.07.2010",2010,7,22,1,1
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-07.08.2013","07.08.2013",2013,8,7,0.79,2
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-06.08.2014","06.08.2014",2014,8,6,1,1
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-10.08.2015","10.08.2015",2015,8,10,1.03,1
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-05.09.2016","05.09.2016",2016,9,5,1.02,1
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-26.07.2017","26.07.2017",2017,7,26,1,1
"ESP_058_MZB_LO_110","ESP_058_MZB_LO_110-06.07.2018","06.07.2018",2018,7,6,0.96,1
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-18.08.2009","18.08.2009",2009,8,18,0.91,1
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-19.08.2010","19.08.2010",2010,8,19,0.78,2
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-24.09.2013","24.09.2013",2013,9,24,0.65,2
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-16.09.2014","16.09.2014",2014,9,16,0.92,1
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-08.09.2015","08.09.2015",2015,9,8,0.89,1
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-24.09.2017","24.09.2017",2017,9,24,0.99,1
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-25.07.2018","25.07.2018",2018,7,25,1.11,1
"ESP_058_MZB_LO_111","ESP_058_MZB_LO_111-18.07.2019","18.07.2019",2019,7,18,1.03,1
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-18.08.2009","18.08.2009",2009,8,18,0.85,2
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-19.08.2010","19.08.2010",2010,8,19,0.77,2
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-24.09.2013","24.09.2013",2013,9,24,0.89,1
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-16.09.2014","16.09.2014",2014,9,16,0.99,1
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-08.09.2015","08.09.2015",2015,9,8,0.95,1
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-23.09.2017","23.09.2017",2017,9,23,1.15,1
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-25.07.2018","25.07.2018",2018,7,25,1.15,1
"ESP_058_MZB_LO_112","ESP_058_MZB_LO_112-19.07.2019","19.07.2019",2019,7,19,1.13,1
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-12.08.2009","12.08.2009",2009,8,12,0.88,1
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-17.08.2010","17.08.2010",2010,8,17,0.93,1
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-16.09.2013","16.09.2013",2013,9,16,0.71,2
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-16.07.2014","16.07.2014",2014,7,16,0.89,1
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-14.09.2015","14.09.2015",2015,9,14,0.82,2
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-01.09.2017","01.09.2017",2017,9,1,0.76,2
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-25.07.2018","25.07.2018",2018,7,25,0.84,2
"ESP_058_MZB_LO_113","ESP_058_MZB_LO_113-14.08.2019","14.08.2019",2019,8,14,0.86,2
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-19.08.2009","19.08.2009",2009,8,19,1.07,1
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-19.08.2010","19.08.2010",2010,8,19,0.79,2
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-25.09.2013","25.09.2013",2013,9,25,0.86,2
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-09.09.2014","09.09.2014",2014,9,9,0.81,2
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-09.09.2015","09.09.2015",2015,9,9,0.9,1
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-21.09.2017","21.09.2017",2017,9,21,0.94,1
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-23.07.2018","23.07.2018",2018,7,23,1.07,1
"ESP_058_MZB_LO_114","ESP_058_MZB_LO_114-19.07.2019","19.07.2019",2019,7,19,1.11,1
"ESP_058_MZB_LO_115","ESP_058_MZB_LO_115-26.08.2009","26.08.2009",2009,8,26,1.05,1
"ESP_058_MZB_LO_115","ESP_058_MZB_LO_115-18.08.2010","18.08.2010",2010,8,18,0.88,1
"ESP_058_MZB_LO_115","ESP_058_MZB_LO_115-08.09.2014","08.09.2014",2014,9,8,0.88,1
"ESP_058_MZB_LO_115","ESP_058_MZB_LO_115-08.09.2015","08.09.2015",2015,9,8,0.75,2
"ESP_058_MZB_LO_115","ESP_058_MZB_LO_115-24.09.2017","24.09.2017",2017,9,24,0.93,1
"ESP_058_MZB_LO_115","ESP_058_MZB_LO_115-02.08.2018","02.08.2018",2018,8,2,0.86,2
"ESP_058_MZB_LO_115","ESP_058_MZB_LO_115-21.07.2019","21.07.2019",2019,7,21,0.75,2
"ESP_058_MZB_LO_116","ESP_058_MZB_LO_116-18.08.2009","18.08.2009",2009,8,18,1.17,1
"ESP_058_MZB_LO_116","ESP_058_MZB_LO_116-19.08.2010","19.08.2010",2010,8,19,1.01,1
"ESP_058_MZB_LO_116","ESP_058_MZB_LO_116-09.09.2014","09.09.2014",2014,9,9,1.31,1
"ESP_058_MZB_LO_116","ESP_058_MZB_LO_116-09.09.2015","09.09.2015",2015,9,9,1.15,1
"ESP_058_MZB_LO_116","ESP_058_MZB_LO_116-23.09.2017","23.09.2017",2017,9,23,0.91,1
"ESP_058_MZB_LO_116","ESP_058_MZB_LO_116-23.07.2018","23.07.2018",2018,7,23,1.23,1
"ESP_058_MZB_LO_116","ESP_058_MZB_LO_116-17.07.2019","17.07.2019",2019,7,17,1.13,1
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-20.07.2009","20.07.2009",2009,7,20,0.38,3
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-21.07.2010","21.07.2010",2010,7,21,0.46,3
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-22.08.2011","22.08.2011",2011,8,22,0.52,2
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-30.07.2013","30.07.2013",2013,7,30,0.29,4
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-21.08.2014","21.08.2014",2014,8,21,0.33,3
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-23.07.2015","23.07.2015",2015,7,23,0.62,2
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-18.08.2017","18.08.2017",2017,8,18,0.55,2
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-13.07.2018","13.07.2018",2018,7,13,0.49,3
"ESP_058_MZB_LO_117","ESP_058_MZB_LO_117-02.07.2019","02.07.2019",2019,7,2,0.53,2
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-17.08.2009","17.08.2009",2009,8,17,0.76,2
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-18.08.2010","18.08.2010",2010,8,18,0.81,2
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-17.08.2011","17.08.2011",2011,8,17,0.84,2
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-24.09.2013","24.09.2013",2013,9,24,0.85,2
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-29.09.2014","29.09.2014",2014,9,29,0.9,1
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-08.09.2015","08.09.2015",2015,9,8,0.83,2
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-22.09.2017","22.09.2017",2017,9,22,0.83,2
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-26.07.2018","26.07.2018",2018,7,26,1.07,1
"ESP_058_MZB_LO_123","ESP_058_MZB_LO_123-19.07.2019","19.07.2019",2019,7,19,0.98,1
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-11.07.2009","11.07.2009",2009,7,11,0.2,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-22.07.2010","22.07.2010",2010,7,22,0.21,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-13.09.2012","13.09.2012",2012,9,13,0.14,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-07.08.2013","07.08.2013",2013,8,7,0.19,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-06.08.2014","06.08.2014",2014,8,6,0.16,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-10.08.2015","10.08.2015",2015,8,10,0.19,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-26.07.2017","26.07.2017",2017,7,26,0.24,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-07.07.2018","07.07.2018",2018,7,7,0.23,4
"ESP_058_MZB_LO_125","ESP_058_MZB_LO_125-23.09.2020","23.09.2020",2020,9,23,0.33,3
"ESP_058_MZB_LO_126","ESP_058_MZB_LO_126-20.07.2009","20.07.2009",2009,7,20,0.28,4
"ESP_058_MZB_LO_126","ESP_058_MZB_LO_126-20.09.2010","20.09.2010",2010,9,20,0.48,3
"ESP_058_MZB_LO_126","ESP_058_MZB_LO_126-22.08.2012","22.08.2012",2012,8,22,0.31,3
"ESP_058_MZB_LO_126","ESP_058_MZB_LO_126-01.08.2013","01.08.2013",2013,8,1,0.44,3
"ESP_058_MZB_LO_126","ESP_058_MZB_LO_126-18.08.2014","18.08.2014",2014,8,18,0.52,2
"ESP_058_MZB_LO_126","ESP_058_MZB_LO_126-17.08.2015","17.08.2015",2015,8,17,0.41,3
"ESP_058_MZB_LO_126","ESP_058_MZB_LO_126-02.08.2019","02.08.2019",2019,8,2,0.34,3
"ESP_058_MZB_LO_128","ESP_058_MZB_LO_128-13.09.2010","13.09.2010",2010,9,13,0.34,3
"ESP_058_MZB_LO_128","ESP_058_MZB_LO_128-26.07.2011","26.07.2011",2011,7,26,0.44,2
"ESP_058_MZB_LO_128","ESP_058_MZB_LO_128-27.08.2013","27.08.2013",2013,8,27,0.35,3
"ESP_058_MZB_LO_128","ESP_058_MZB_LO_128-27.08.2015","27.08.2015",2015,8,27,0.33,3
"ESP_058_MZB_LO_128","ESP_058_MZB_LO_128-14.09.2016","14.09.2016",2016,9,14,0.43,2
"ESP_058_MZB_LO_128","ESP_058_MZB_LO_128-08.08.2018","08.08.2018",2018,8,8,0.57,2
"ESP_058_MZB_LO_128","ESP_058_MZB_LO_128-28.08.2019","28.08.2019",2019,8,28,0.59,2
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-29.07.2009","29.07.2009",2009,7,29,0.97,1
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-28.07.2010","28.07.2010",2010,7,28,0.5,2
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-26.09.2012","26.09.2012",2012,9,26,0.51,2
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-11.09.2013","11.09.2013",2013,9,11,0.68,2
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-06.08.2014","06.08.2014",2014,8,6,0.73,1
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-13.08.2015","13.08.2015",2015,8,13,0.77,1
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-09.09.2016","09.09.2016",2016,9,9,0.65,2
"ESP_058_MZB_LO_16","ESP_058_MZB_LO_16-25.07.2017","25.07.2017",2017,7,25,0.65,2
