"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-14.04.2010","14.04.2010",2010,4,14,0.842,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-15.04.2011","15.04.2011",2011,4,15,0.845,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-13.04.2012","13.04.2012",2012,4,13,0.791,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-15.04.2013","15.04.2013",2013,4,15,0.807,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-10.04.2014","10.04.2014",2014,4,10,0.764,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-15.04.2015","15.04.2015",2015,4,15,0.779,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-08.04.2016","08.04.2016",2016,4,8,0.695,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-13.04.2017","13.04.2017",2017,4,13,0.702,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-18.04.2018","18.04.2018",2018,4,18,0.678,2
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-08.04.2019","08.04.2019",2019,4,8,0.631,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-14.04.2010","14.04.2010",2010,4,14,0.796,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-15.04.2011","15.04.2011",2011,4,15,0.934,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-13.04.2012","13.04.2012",2012,4,13,0.832,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-15.04.2013","15.04.2013",2013,4,15,0.778,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-10.04.2014","10.04.2014",2014,4,10,0.733,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-15.04.2015","15.04.2015",2015,4,15,0.77,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-08.04.2016","08.04.2016",2016,4,8,0.673,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-13.04.2017","13.04.2017",2017,4,13,0.667,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-18.04.2018","18.04.2018",2018,4,18,0.63,2
"GER_017_MZB_LO_4","GER_017_MZB_LO_4-08.04.2019","08.04.2019",2019,4,8,0.606,2
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-14.04.2010","14.04.2010",2010,4,14,0.813,2
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-15.04.2011","15.04.2011",2011,4,15,0.848,2
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-13.04.2012","13.04.2012",2012,4,13,0.71,2
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-15.04.2013","15.04.2013",2013,4,15,0.714,2
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-10.04.2014","10.04.2014",2014,4,10,0.584,3
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-15.04.2015","15.04.2015",2015,4,15,0.63,2
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-08.04.2016","08.04.2016",2016,4,8,0.718,2
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-13.04.2017","13.04.2017",2017,4,13,0.555,3
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-18.04.2018","18.04.2018",2018,4,18,0.424,3
"GER_017_MZB_LO_5","GER_017_MZB_LO_5-08.04.2019","08.04.2019",2019,4,8,0.576,3
