"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-02.07.2002","02.07.2002",2002,7,2,0.473,3
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-21.06.2006","21.06.2006",2006,6,21,0.335,4
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-20.07.2007","20.07.2007",2007,7,20,0.206,4
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-11.06.2008","11.06.2008",2008,6,11,0.427,3
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-23.06.2009","23.06.2009",2009,6,23,0.204,4
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-28.06.2010","28.06.2010",2010,6,28,0.286,4
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-21.07.2011","21.07.2011",2011,7,21,0.168,5
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-12.07.2012","12.07.2012",2012,7,12,0.231,4
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-01.07.2013","01.07.2013",2013,7,1,0.408,3
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-12.06.2014","12.06.2014",2014,6,12,0.28,4
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-01.07.2015","01.07.2015",2015,7,1,0.2,5
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-06.07.2016","06.07.2016",2016,7,6,0.335,4
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-26.04.2001","26.04.2001",2001,4,26,0.732,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-11.03.2003","11.03.2003",2003,3,11,0.807,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-05.04.2004","05.04.2004",2004,4,5,0.717,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-10.04.2006","10.04.2006",2006,4,10,0.789,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-22.03.2007","22.03.2007",2007,3,22,0.731,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-24.04.2008","24.04.2008",2008,4,24,0.626,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-08.04.2009","08.04.2009",2009,4,8,0.622,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-16.03.2010","16.03.2010",2010,3,16,0.73,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-24.03.2011","24.03.2011",2011,3,24,0.782,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-19.03.2012","19.03.2012",2012,3,19,0.753,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-19.03.2013","19.03.2013",2013,3,19,0.764,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-11.03.2014","11.03.2014",2014,3,11,0.683,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-25.03.2015","25.03.2015",2015,3,25,0.641,2
"GER_019_MZB_LO_2","GER_019_MZB_LO_2-11.04.2016","11.04.2016",2016,4,11,0.648,2
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-23.04.2001","23.04.2001",2001,4,23,0.826,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-17.03.2003","17.03.2003",2003,3,17,0.887,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-06.04.2004","06.04.2004",2004,4,6,0.804,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-24.03.2005","24.03.2005",2005,3,24,0.76,2
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-10.04.2006","10.04.2006",2006,4,10,0.759,2
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-11.03.2007","11.03.2007",2007,3,11,0.842,2
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-23.04.2008","23.04.2008",2008,4,23,0.846,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-08.04.2009","08.04.2009",2009,4,8,0.79,2
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-16.03.2010","16.03.2010",2010,3,16,0.885,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-24.03.2011","24.03.2011",2011,3,24,0.833,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-19.03.2012","19.03.2012",2012,3,19,0.824,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-20.03.2013","20.03.2013",2013,3,20,0.813,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-11.03.2014","11.03.2014",2014,3,11,0.802,1
"GER_019_MZB_LO_3","GER_019_MZB_LO_3-10.03.2015","10.03.2015",2015,3,10,0.915,1
