"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,0.182655981,5
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-20.05.2008","20.05.2008",2008,5,20,0.043484337,5
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-12.05.2009","12.05.2009",2009,5,12,0.430138611,3
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-28.06.2011","28.06.2011",2011,6,28,0.229248499,4
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-24.04.2012","24.04.2012",2012,4,24,0.009578154,5
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-18.06.2013","18.06.2013",2013,6,18,0.332907325,4
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-18.06.2014","18.06.2014",2014,6,18,0.45485889,3
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-16.04.2015","16.04.2015",2015,4,16,0.365914153,4
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-03.05.2016","03.05.2016",2016,5,3,0.363266338,4
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-15.05.2017","15.05.2017",2017,5,15,0.34416139,4
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-07.10.2007","07.10.2007",2007,10,7,0.817657324,1
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-12.09.2008","12.09.2008",2008,9,12,0.791858885,2
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,0.271077892,4
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-20.08.2010","20.08.2010",2010,8,20,0.592463166,3
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-18.08.2011","18.08.2011",2011,8,18,0.745487731,2
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-30.08.2012","30.08.2012",2012,8,30,0.931708889,1
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-12.09.2013","12.09.2013",2013,9,12,0.768693056,2
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-26.08.2014","26.08.2014",2014,8,26,0.78108676,2
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-15.09.2015","15.09.2015",2015,9,15,0.82283091,1
"HUN_022_MZB_LO_10","HUN_022_MZB_LO_10-19.09.2016","19.09.2016",2016,9,19,0.843334253,1
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-23.06.2005","23.06.2005",2005,6,23,0.594061339,3
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-29.06.2006","29.06.2006",2006,6,29,0.630528333,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-29.06.2007","29.06.2007",2007,6,29,0.690201803,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-30.04.2008","30.04.2008",2008,4,30,0.665097959,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-18.06.2009","18.06.2009",2009,6,18,0.662585082,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-29.04.2010","29.04.2010",2010,4,29,0.721833917,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-18.04.2011","18.04.2011",2011,4,18,0.528873834,3
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-31.05.2012","31.05.2012",2012,5,31,0.729815866,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-09.04.2014","09.04.2014",2014,4,9,0.77200083,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-29.04.2015","29.04.2015",2015,4,29,0.730687826,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-20.04.2016","20.04.2016",2016,4,20,0.616975659,2
"HUN_022_MZB_LO_11","HUN_022_MZB_LO_11-25.04.2017","25.04.2017",2017,4,25,0.846301934,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-07.10.2007","07.10.2007",2007,10,7,0.965158924,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-12.09.2008","12.09.2008",2008,9,12,0.871890547,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-27.10.2009","27.10.2009",2009,10,27,0.749910669,2
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-20.08.2010","20.08.2010",2010,8,20,0.831764179,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-18.08.2011","18.08.2011",2011,8,18,0.706403009,2
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-30.08.2012","30.08.2012",2012,8,30,0.957006369,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-12.09.2013","12.09.2013",2013,9,12,0.908384668,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-26.08.2014","26.08.2014",2014,8,26,0.964433041,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-15.09.2015","15.09.2015",2015,9,15,0.867615591,1
"HUN_022_MZB_LO_12","HUN_022_MZB_LO_12-19.09.2016","19.09.2016",2016,9,19,0.911768212,1
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-02.09.2007","02.09.2007",2007,9,2,0.886677549,1
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-09.09.2008","09.09.2008",2008,9,9,0.910639479,1
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-24.08.2009","24.08.2009",2009,8,24,0.777930754,2
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-20.08.2010","20.08.2010",2010,8,20,0.784878071,2
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-18.08.2011","18.08.2011",2011,8,18,0.915976313,1
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-02.08.2012","02.08.2012",2012,8,2,0.667397288,2
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-12.09.2013","12.09.2013",2013,9,12,0.890312749,1
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-26.08.2014","26.08.2014",2014,8,26,0.951649819,1
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-15.09.2015","15.09.2015",2015,9,15,0.904258394,1
"HUN_022_MZB_LO_13","HUN_022_MZB_LO_13-20.09.2016","20.09.2016",2016,9,20,0.844757981,1
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-19.04.2005","19.04.2005",2005,4,19,0.76776143,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-22.05.2006","22.05.2006",2006,5,22,0.697716026,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-10.05.2007","10.05.2007",2007,5,10,0.701181389,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-22.04.2008","22.04.2008",2008,4,22,0.629942759,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-03.04.2009","03.04.2009",2009,4,3,0.663604826,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-29.04.2010","29.04.2010",2010,4,29,0.709380259,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-18.04.2011","18.04.2011",2011,4,18,0.677640757,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-31.05.2012","31.05.2012",2012,5,31,0.624824752,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-08.05.2013","08.05.2013",2013,5,8,0.65399247,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-09.04.2014","09.04.2014",2014,4,9,0.726057867,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-29.04.2015","29.04.2015",2015,4,29,0.775218838,2
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-20.04.2016","20.04.2016",2016,4,20,0.813554778,1
"HUN_022_MZB_LO_14","HUN_022_MZB_LO_14-25.04.2017","25.04.2017",2017,4,25,0.680055505,2
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-21.09.2005","21.09.2005",2005,9,21,0.447772269,3
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-31.08.2006","31.08.2006",2006,8,31,0.411807251,3
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-14.09.2007","14.09.2007",2007,9,14,0.479266683,3
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-12.09.2008","12.09.2008",2008,9,12,0.533866751,3
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-16.09.2009","16.09.2009",2009,9,16,0.575588056,3
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-26.08.2010","26.08.2010",2010,8,26,0.72815,2
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-11.08.2011","11.08.2011",2011,8,11,0.408401087,3
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-04.10.2012","04.10.2012",2012,10,4,0.702694152,2
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-23.09.2013","23.09.2013",2013,9,23,0.69084603,2
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-03.09.2014","03.09.2014",2014,9,3,0.661698931,2
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-08.09.2015","08.09.2015",2015,9,8,0.75172378,2
"HUN_022_MZB_LO_15","HUN_022_MZB_LO_15-09.08.2016","09.08.2016",2016,8,9,0.724567169,2
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-08.05.2007","08.05.2007",2007,5,8,0.399845981,4
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-25.04.2008","25.04.2008",2008,4,25,0.02307435,5
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-02.04.2009","02.04.2009",2009,4,2,0.081896516,5
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-05.05.2010","05.05.2010",2010,5,5,0.300551845,4
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-06.04.2011","06.04.2011",2011,4,6,0.175443929,5
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-18.04.2012","18.04.2012",2012,4,18,0.326420146,4
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-18.04.2013","18.04.2013",2013,4,18,0.16476485,5
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-03.04.2014","03.04.2014",2014,4,3,0.407857523,3
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-22.05.2015","22.05.2015",2015,5,22,0.561972423,3
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-13.04.2016","13.04.2016",2016,4,13,0.481492642,3
"HUN_022_MZB_LO_16","HUN_022_MZB_LO_16-15.05.2017","15.05.2017",2017,5,15,0.520772973,3
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-05.04.2005","05.04.2005",2005,4,5,0.183312884,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-26.04.2006","26.04.2006",2006,4,26,0.104241135,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-08.05.2007","08.05.2007",2007,5,8,0.31027919,4
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-02.04.2008","02.04.2008",2008,4,2,0.115195521,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-02.04.2009","02.04.2009",2009,4,2,0.167358485,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-12.04.2010","12.04.2010",2010,4,12,0.053829978,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-18.04.2012","18.04.2012",2012,4,18,0.165821576,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-18.04.2013","18.04.2013",2013,4,18,0.100760794,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-22.05.2015","22.05.2015",2015,5,22,0.410375231,3
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-05.04.2016","05.04.2016",2016,4,5,0.132025472,5
"HUN_022_MZB_LO_17","HUN_022_MZB_LO_17-15.05.2017","15.05.2017",2017,5,15,0.240970355,4
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-11.10.2005","11.10.2005",2005,10,11,0.593497193,3
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-02.10.2006","02.10.2006",2006,10,2,0.568733561,3
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-01.10.2007","01.10.2007",2007,10,1,0.784707374,2
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-10.09.2009","10.09.2009",2009,9,10,0.693374328,2
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-01.09.2010","01.09.2010",2010,9,1,0.326017578,4
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-12.10.2011","12.10.2011",2011,10,12,0.606914489,2
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-07.08.2012","07.08.2012",2012,8,7,0.6499623,2
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-01.10.2013","01.10.2013",2013,10,1,0.87966748,1
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-17.10.2014","17.10.2014",2014,10,17,0.766842797,2
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-16.09.2015","16.09.2015",2015,9,16,0.41476734,3
"HUN_022_MZB_LO_18","HUN_022_MZB_LO_18-07.09.2016","07.09.2016",2016,9,7,0.452058413,3
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-09.05.2005","09.05.2005",2005,5,9,0.864457979,1
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-10.05.2006","10.05.2006",2006,5,10,0.70323198,2
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-14.05.2007","14.05.2007",2007,5,14,0.806589006,1
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-23.06.2008","23.06.2008",2008,6,23,0.416040641,3
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-12.05.2009","12.05.2009",2009,5,12,0.702642304,2
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-31.05.2012","31.05.2012",2012,5,31,0.804634168,1
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-09.05.2013","09.05.2013",2013,5,9,0.803882793,1
"HUN_022_MZB_LO_19","HUN_022_MZB_LO_19-11.05.2016","11.05.2016",2016,5,11,0.411649019,3
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-28.09.2006","28.09.2006",2006,9,28,0.422953234,3
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-17.08.2007","17.08.2007",2007,8,17,0.548874673,3
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-19.09.2008","19.09.2008",2008,9,19,0.356966971,4
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-22.09.2009","22.09.2009",2009,9,22,0.445137871,3
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-29.10.2010","29.10.2010",2010,10,29,0.32372258,4
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-27.10.2011","27.10.2011",2011,10,27,0.186588588,5
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-12.10.2012","12.10.2012",2012,10,12,0.315588889,4
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-03.10.2013","03.10.2013",2013,10,3,0.321558333,4
"HUN_022_MZB_LO_2","HUN_022_MZB_LO_2-10.10.2014","10.10.2014",2014,10,10,0.433009657,3
