"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,0.9,1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.07.2010","19.07.2010",2010,7,19,0.9,1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-25.07.2013","25.07.2013",2013,7,25,0.6,4
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-20.09.2016","20.09.2016",2016,9,20,0.8,2
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-21.08.2018","21.08.2018",2018,8,21,0.8,2
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2019","19.09.2019",2019,9,19,0.9,1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-08.09.2020","08.09.2020",2020,9,8,0.8,2
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-22.09.2021","22.09.2021",2021,9,22,0.8,2
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-12.09.2023","12.09.2023",2023,9,12,0.8,2
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-20.09.2007","20.09.2007",2007,9,20,0.9,1
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-21.07.2010","21.07.2010",2010,7,21,0.9,1
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-25.07.2013","25.07.2013",2013,7,25,0.8,2
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-19.09.2016","19.09.2016",2016,9,19,0.6,4
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-21.08.2018","21.08.2018",2018,8,21,0.7,3
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-19.09.2019","19.09.2019",2019,9,19,0.6,4
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-08.09.2020","08.09.2020",2020,9,8,0.8,2
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-22.09.2021","22.09.2021",2021,9,22,0.7,3
"IRL_051_MZB_LO_1013","IRL_051_MZB_LO_1013-12.09.2023","12.09.2023",2023,9,12,0.8,2
"IRL_051_MZB_LO_103","IRL_051_MZB_LO_103-16.07.2009","16.07.2009",2009,7,16,0.8,2
"IRL_051_MZB_LO_103","IRL_051_MZB_LO_103-19.06.2012","19.06.2012",2012,6,19,0.9,1
"IRL_051_MZB_LO_103","IRL_051_MZB_LO_103-11.06.2015","11.06.2015",2015,6,11,0.9,1
"IRL_051_MZB_LO_103","IRL_051_MZB_LO_103-25.07.2018","25.07.2018",2018,7,25,0.8,2
"IRL_051_MZB_LO_103","IRL_051_MZB_LO_103-27.06.2019","27.06.2019",2019,6,27,0.8,2
"IRL_051_MZB_LO_103","IRL_051_MZB_LO_103-09.07.2020","09.07.2020",2020,7,9,0.9,1
"IRL_051_MZB_LO_103","IRL_051_MZB_LO_103-20.06.2023","20.06.2023",2023,6,20,0.9,1
"IRL_051_MZB_LO_162","IRL_051_MZB_LO_162-19.07.2007","19.07.2007",2007,7,19,0.8,2
"IRL_051_MZB_LO_162","IRL_051_MZB_LO_162-22.09.2010","22.09.2010",2010,9,22,0.8,2
"IRL_051_MZB_LO_162","IRL_051_MZB_LO_162-04.09.2013","04.09.2013",2013,9,4,0.7,3
"IRL_051_MZB_LO_162","IRL_051_MZB_LO_162-26.07.2016","26.07.2016",2016,7,26,0.8,2
"IRL_051_MZB_LO_162","IRL_051_MZB_LO_162-13.09.2019","13.09.2019",2019,9,13,0.7,3
"IRL_051_MZB_LO_162","IRL_051_MZB_LO_162-18.09.2020","18.09.2020",2020,9,18,0.7,3
"IRL_051_MZB_LO_162","IRL_051_MZB_LO_162-02.08.2022","02.08.2022",2022,8,2,0.7,3
"IRL_051_MZB_LO_187","IRL_051_MZB_LO_187-21.08.2008","21.08.2008",2008,8,21,0.6,4
