"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-29.08.1990","29.08.1990",1990,8,29,0.4,4
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-29.09.1992","29.09.1992",1992,9,29,0.65,3
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-31.08.1994","31.08.1994",1994,8,31,0.55,3
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-02.10.1996","02.10.1996",1996,10,2,0.65,3
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-02.10.1997","02.10.1997",1997,10,2,0.75,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-01.09.1998","01.09.1998",1998,9,1,0.6,3
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-05.10.1999","05.10.1999",1999,10,5,0.75,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-22.08.2002","22.08.2002",2002,8,22,0.7,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-08.08.2003","08.08.2003",2003,8,8,0.95,1
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-30.09.2004","30.09.2004",2004,9,30,0.8,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-17.08.2005","17.08.2005",2005,8,17,1,1
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-20.10.2006","20.10.2006",2006,10,20,0.9,1
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-07.09.2007","07.09.2007",2007,9,7,0.75,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-13.10.2010","13.10.2010",2010,10,13,0.8,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-30.10.2013","30.10.2013",2013,10,30,0.7,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-14.09.2016","14.09.2016",2016,9,14,0.8,2
"NLD_005_MZB_LO_1","NLD_005_MZB_LO_1-10.09.2019","10.09.2019",2019,9,10,0.85,2
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-09.10.1992","09.10.1992",1992,10,9,0.5,3
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-02.09.1994","02.09.1994",1994,9,2,0.2,5
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-07.10.1998","07.10.1998",1998,10,7,0.35,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-24.08.2000","24.08.2000",2000,8,24,0.5,3
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-30.09.2002","30.09.2002",2002,9,30,0.4,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-18.08.2003","18.08.2003",2003,8,18,0.35,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-02.08.2004","02.08.2004",2004,8,2,0.25,5
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-07.09.2006","07.09.2006",2006,9,7,0.7,2
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-27.09.2011","27.09.2011",2011,9,27,0.35,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-20.09.2012","20.09.2012",2012,9,20,0.4,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-30.09.2015","30.09.2015",2015,9,30,0.3,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-12.09.2016","12.09.2016",2016,9,12,0.4,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-26.09.2017","26.09.2017",2017,9,26,0.35,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-08.10.2019","08.10.2019",2019,10,8,0.35,4
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-13.10.2021","13.10.2021",2021,10,13,0.65,3
"NLD_005_MZB_LO_2","NLD_005_MZB_LO_2-10.10.2022","10.10.2022",2022,10,10,0.5,3
