"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-27.04.1990","27.04.1990",1990,4,27,0.520475235,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-17.04.1991","17.04.1991",1991,4,17,0.541765873,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-26.05.1992","26.05.1992",1992,5,26,0.506544358,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-09.06.1993","09.06.1993",1993,6,9,0.491767441,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-11.05.1994","11.05.1994",1994,5,11,0.529628506,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-29.05.1995","29.05.1995",1995,5,29,0.508141923,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-24.06.1996","24.06.1996",1996,6,24,0.48016602,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-11.06.2003","11.06.2003",2003,6,11,0.699198524,2
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-17.05.2004","17.05.2004",2004,5,17,0.644706912,2
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-15.06.2005","15.06.2005",2005,6,15,0.63191358,2
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-31.05.2006","31.05.2006",2006,5,31,0.609221995,2
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-13.05.2009","13.05.2009",2009,5,13,0.668960573,2
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-14.04.2010","14.04.2010",2010,4,14,0.688400551,2
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-03.05.2012","03.05.2012",2012,5,3,0.670407939,2
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-20.04.2015","20.04.2015",2015,4,20,0.539294395,3
"NLD_028_MZB_LO_20","NLD_028_MZB_LO_20-13.05.2019","13.05.2019",2019,5,13,0.313551996,4
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-30.05.1989","30.05.1989",1989,5,30,0.559458383,3
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-14.05.1990","14.05.1990",1990,5,14,0.648492955,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-24.06.1991","24.06.1991",1991,6,24,0.585439086,3
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-11.05.1992","11.05.1992",1992,5,11,0.62346075,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-03.06.1993","03.06.1993",1993,6,3,0.548227099,3
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-17.05.1994","17.05.1994",1994,5,17,0.60515873,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-07.05.1995","07.05.1995",1995,5,7,0.673801561,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-26.05.1997","26.05.1997",1997,5,26,0.753390313,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-14.05.1998","14.05.1998",1998,5,14,0.71029207,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-17.05.1999","17.05.1999",1999,5,17,0.72292769,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-11.05.2000","11.05.2000",2000,5,11,0.813809326,1
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-17.05.2001","17.05.2001",2001,5,17,0.852768634,1
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-22.05.2002","22.05.2002",2002,5,22,0.770585317,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-27.05.2003","27.05.2003",2003,5,27,0.816774549,1
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-14.05.2004","14.05.2004",2004,5,14,0.821041454,1
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-16.06.2005","16.06.2005",2005,6,16,0.734342694,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-15.05.2006","15.05.2006",2006,5,15,0.73760314,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-15.05.2008","15.05.2008",2008,5,15,0.73968254,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-08.05.2009","08.05.2009",2009,5,8,0.748290598,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-12.04.2010","12.04.2010",2010,4,12,0.791819425,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-07.05.2012","07.05.2012",2012,5,7,0.805963591,1
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-17.04.2015","17.04.2015",2015,4,17,0.803777376,1
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-19.04.2018","19.04.2018",2018,4,19,0.780849589,2
"NLD_028_MZB_LO_21","NLD_028_MZB_LO_21-09.05.2019","09.05.2019",2019,5,9,0.691194255,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-17.04.1989","17.04.1989",1989,4,17,0.358922559,4
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-19.04.1990","19.04.1990",1990,4,19,0.28346395,4
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-02.05.1991","02.05.1991",1991,5,2,0.365422248,4
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-07.05.1992","07.05.1992",1992,5,7,0.391044301,4
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-14.04.1993","14.04.1993",1993,4,14,0.41168398,3
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-02.05.1994","02.05.1994",1994,5,2,0.566234484,3
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-18.04.1995","18.04.1995",1995,4,18,0.641310299,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-08.04.1997","08.04.1997",1997,4,8,0.658501021,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-16.04.1998","16.04.1998",1998,4,16,0.666304839,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-20.04.1999","20.04.1999",1999,4,20,0.810275882,1
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-03.04.2000","03.04.2000",2000,4,3,0.752077519,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-03.05.2001","03.05.2001",2001,5,3,0.756343092,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-18.04.2002","18.04.2002",2002,4,18,0.73819756,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-14.04.2003","14.04.2003",2003,4,14,0.80016835,1
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-22.04.2004","22.04.2004",2004,4,22,0.526012662,3
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-02.05.2005","02.05.2005",2005,5,2,0.500946772,3
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-19.04.2007","19.04.2007",2007,4,19,0.684661517,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-06.04.2008","06.04.2008",2008,4,6,0.851162791,1
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-20.04.2009","20.04.2009",2009,4,20,0.645083853,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-07.04.2010","07.04.2010",2010,4,7,0.666245817,2
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-09.04.2013","09.04.2013",2013,4,9,0.864583333,1
"NLD_028_MZB_LO_22","NLD_028_MZB_LO_22-13.04.2016","13.04.2016",2016,4,13,0.802146667,1
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-14.04.1997","14.04.1997",1997,4,14,0.566164659,3
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-18.05.1998","18.05.1998",1998,5,18,0.685460898,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-08.05.2000","08.05.2000",2000,5,8,0.6436249,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-03.05.2001","03.05.2001",2001,5,3,0.675692165,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-12.05.2004","12.05.2004",2004,5,12,0.716660108,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-16.06.2005","16.06.2005",2005,6,16,0.823210832,1
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-01.05.2007","01.05.2007",2007,5,1,0.673733094,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-07.05.2009","07.05.2009",2009,5,7,0.697088376,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-10.05.2012","10.05.2012",2012,5,10,0.845045045,1
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-17.04.2013","17.04.2013",2013,4,17,0.716691952,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-22.04.2015","22.04.2015",2015,4,22,0.69602138,2
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-25.04.2016","25.04.2016",2016,4,25,0.539575883,3
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-05.04.2017","05.04.2017",2017,4,5,0.504194656,3
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-11.04.2018","11.04.2018",2018,4,11,0.478772708,3
"NLD_028_MZB_LO_23","NLD_028_MZB_LO_23-17.04.2019","17.04.2019",2019,4,17,0.472785852,3
"NLD_028_MZB_LO_24","NLD_028_MZB_LO_24-20.05.1988","20.05.1988",1988,5,20,0.692424242,2
"NLD_028_MZB_LO_24","NLD_028_MZB_LO_24-24.04.1989","24.04.1989",1989,4,24,0.620982939,2
"NLD_028_MZB_LO_24","NLD_028_MZB_LO_24-10.05.1990","10.05.1990",1990,5,10,0.510133594,3
"NLD_028_MZB_LO_24","NLD_028_MZB_LO_24-20.05.1992","20.05.1992",1992,5,20,0.497051047,3
