"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-30.09.2004","30.09.2004",2004,9,30,0.565740177,5
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-30.10.2005","30.10.2005",2005,10,30,0.967041932,1
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-03.11.2006","03.11.2006",2006,11,3,0.717916751,5
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-24.10.2007","24.10.2007",2007,10,24,0.721686998,5
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-05.11.2008","05.11.2008",2008,11,5,0.741728022,4
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-28.10.2009","28.10.2009",2009,10,28,0.810929885,3
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-26.10.2010","26.10.2010",2010,10,26,0.736190912,4
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-26.09.2012","26.09.2012",2012,9,26,0.882791208,2
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-13.11.2014","13.11.2014",2014,11,13,0.82173913,3
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-19.10.2016","19.10.2016",2016,10,19,0.568003688,5
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-01.11.2018","01.11.2018",2018,11,1,0.8676033,2
"NOR_054_MZB_LO_100","NOR_054_MZB_LO_100-02.10.2020","02.10.2020",2020,10,2,0.916774442,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-30.10.2003","30.10.2003",2003,10,30,0.732152903,4
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-16.09.2004","16.09.2004",2004,9,16,0.70378947,5
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-28.09.2005","28.09.2005",2005,9,28,0.699512314,5
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-16.10.2006","16.10.2006",2006,10,16,0.791246528,3
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-30.10.2007","30.10.2007",2007,10,30,0.946376812,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-14.10.2008","14.10.2008",2008,10,14,0.829482569,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-25.09.2009","25.09.2009",2009,9,25,0.769189819,3
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-13.10.2010","13.10.2010",2010,10,13,0.848247091,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-29.09.2011","29.09.2011",2011,9,29,0.911594203,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-23.10.2012","23.10.2012",2012,10,23,0.891304348,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-25.09.2013","25.09.2013",2013,9,25,0.740438866,4
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-17.09.2014","17.09.2014",2014,9,17,0.873594139,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-29.09.2015","29.09.2015",2015,9,29,0.84057971,3
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-27.09.2016","27.09.2016",2016,9,27,0.924637681,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-18.10.2017","18.10.2017",2017,10,18,0.759390727,3
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-18.10.2018","18.10.2018",2018,10,18,0.858396575,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-06.11.2019","06.11.2019",2019,11,6,0.889855072,2
"NOR_054_MZB_LO_42","NOR_054_MZB_LO_42-14.10.2020","14.10.2020",2020,10,14,0.998550725,1
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-30.10.2003","30.10.2003",2003,10,30,0.780030492,3
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-16.09.2004","16.09.2004",2004,9,16,0.63287939,5
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-28.09.2005","28.09.2005",2005,9,28,0.759798767,3
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-16.10.2006","16.10.2006",2006,10,16,0.869565217,3
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-30.10.2007","30.10.2007",2007,10,30,0.917391304,2
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-14.10.2008","14.10.2008",2008,10,14,0.856597634,2
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-25.09.2009","25.09.2009",2009,9,25,0.84057971,3
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-13.10.2010","13.10.2010",2010,10,13,0.952603778,1
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-29.09.2011","29.09.2011",2011,9,29,0.759970513,3
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-23.10.2012","23.10.2012",2012,10,23,0.947826087,2
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-25.09.2013","25.09.2013",2013,9,25,0.81441852,2
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-17.09.2014","17.09.2014",2014,9,17,0.995652174,1
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-29.09.2015","29.09.2015",2015,9,29,0.650026957,5
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-27.09.2016","27.09.2016",2016,9,27,0.950264616,1
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-18.10.2017","18.10.2017",2017,10,18,0.784868188,3
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-18.10.2018","18.10.2018",2018,10,18,0.855342457,2
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-06.11.2019","06.11.2019",2019,11,6,0.857301683,2
"NOR_054_MZB_LO_46","NOR_054_MZB_LO_46-14.10.2020","14.10.2020",2020,10,14,0.946376812,2
"NOR_054_MZB_LO_49","NOR_054_MZB_LO_49-11.11.2003","11.11.2003",2003,11,11,0.785874719,3
"NOR_054_MZB_LO_49","NOR_054_MZB_LO_49-19.10.2004","19.10.2004",2004,10,19,0.632153341,5
"NOR_054_MZB_LO_49","NOR_054_MZB_LO_49-21.09.2005","21.09.2005",2005,9,21,0.908765534,2
"NOR_054_MZB_LO_49","NOR_054_MZB_LO_49-20.10.2006","20.10.2006",2006,10,20,0.769614387,4
"NOR_054_MZB_LO_49","NOR_054_MZB_LO_49-05.09.2008","05.09.2008",2008,9,5,0.810219696,3
