"Unique.ID","Samp.ID","Sampling.date","year","month","day","eqr","eqc"
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-20.10.2004","20.10.2004",2004,10,20,1.1,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-03.09.2005","03.09.2005",2005,9,3,1.02,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-16.09.2006","16.09.2006",2006,9,16,1.02,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-25.09.2007","25.09.2007",2007,9,25,1.05,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-16.09.2008","16.09.2008",2008,9,16,1.08,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-19.09.2009","19.09.2009",2009,9,19,1.07,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-04.09.2010","04.09.2010",2010,9,4,1.05,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-04.10.2011","04.10.2011",2011,10,4,1.05,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-13.09.2012","13.09.2012",2012,9,13,1.04,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-15.09.2013","15.09.2013",2013,9,15,1.06,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-15.09.2014","15.09.2014",2014,9,15,1.07,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-13.09.2015","13.09.2015",2015,9,13,1.09,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-09.09.2016","09.09.2016",2016,9,9,1.04,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-17.09.2017","17.09.2017",2017,9,17,1.01,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-11.09.2018","11.09.2018",2018,9,11,1.02,1
"SWE_039_MZB_LO_1","SWE_039_MZB_LO_1-20.09.2019","20.09.2019",2019,9,20,1.05,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-03.11.2006","03.11.2006",2006,11,3,1.05,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-15.11.2007","15.11.2007",2007,11,15,1.12,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-17.10.2008","17.10.2008",2008,10,17,1.09,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-28.10.2010","28.10.2010",2010,10,28,1.07,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-27.10.2011","27.10.2011",2011,10,27,0.96,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-25.10.2012","25.10.2012",2012,10,25,1.13,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-16.10.2013","16.10.2013",2013,10,16,0.96,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-17.10.2014","17.10.2014",2014,10,17,1.19,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-06.11.2015","06.11.2015",2015,11,6,1.14,1
"SWE_039_MZB_LO_10","SWE_039_MZB_LO_10-02.11.2017","02.11.2017",2017,11,2,0.97,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-10.04.2007","10.04.2007",2007,4,10,1.1,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-21.05.2008","21.05.2008",2008,5,21,1,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-28.04.2009","28.04.2009",2009,4,28,1.08,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-06.05.2010","06.05.2010",2010,5,6,1.09,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-27.04.2011","27.04.2011",2011,4,27,1.13,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-13.05.2013","13.05.2013",2013,5,13,1.04,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-14.04.2015","14.04.2015",2015,4,14,1.25,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-24.04.2017","24.04.2017",2017,4,24,1.07,1
"SWE_039_MZB_LO_11","SWE_039_MZB_LO_11-18.04.2018","18.04.2018",2018,4,18,1.11,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-10.09.2005","10.09.2005",2005,9,10,0.99,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-21.09.2006","21.09.2006",2006,9,21,1.03,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-28.09.2007","28.09.2007",2007,9,28,1,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-18.09.2008","18.09.2008",2008,9,18,1.04,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-21.09.2009","21.09.2009",2009,9,21,1.05,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-18.09.2010","18.09.2010",2010,9,18,1.04,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-01.10.2011","01.10.2011",2011,10,1,1.02,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-23.09.2012","23.09.2012",2012,9,23,0.97,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-23.09.2013","23.09.2013",2013,9,23,1.01,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-21.09.2014","21.09.2014",2014,9,21,1.04,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-04.09.2016","04.09.2016",2016,9,4,1.03,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-07.09.2017","07.09.2017",2017,9,7,0.97,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-06.09.2018","06.09.2018",2018,9,6,1.02,1
"SWE_039_MZB_LO_13","SWE_039_MZB_LO_13-30.09.2019","30.09.2019",2019,9,30,1.01,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-07.09.2005","07.09.2005",2005,9,7,1,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-25.09.2006","25.09.2006",2006,9,25,0.96,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-03.10.2007","03.10.2007",2007,10,3,0.98,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-25.09.2008","25.09.2008",2008,9,25,0.99,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-28.09.2009","28.09.2009",2009,9,28,1.04,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-23.09.2010","23.09.2010",2010,9,23,1.06,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-28.09.2011","28.09.2011",2011,9,28,1.05,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-26.09.2012","26.09.2012",2012,9,26,1.03,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-27.09.2013","27.09.2013",2013,9,27,1.08,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-26.09.2014","26.09.2014",2014,9,26,1.06,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-08.10.2015","08.10.2015",2015,10,8,1.03,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-18.09.2016","18.09.2016",2016,9,18,1.08,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-23.09.2017","23.09.2017",2017,9,23,1.03,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-21.09.2018","21.09.2018",2018,9,21,1.07,1
"SWE_039_MZB_LO_14","SWE_039_MZB_LO_14-25.09.2019","25.09.2019",2019,9,25,1.04,1
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-16.06.1996","16.06.1996",1996,6,16,1.01,1
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-17.06.1997","17.06.1997",1997,6,17,0.97,2
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-26.05.1998","26.05.1998",1998,5,26,0.6,3
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-03.06.1999","03.06.1999",1999,6,3,0.8,2
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-11.06.2001","11.06.2001",2001,6,11,0.77,3
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-22.05.2002","22.05.2002",2002,5,22,0.93,2
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-03.06.2003","03.06.2003",2003,6,3,0.93,2
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-01.06.2004","01.06.2004",2004,6,1,0.91,2
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-08.06.2005","08.06.2005",2005,6,8,1.03,1
"SWE_039_MZB_LO_16","SWE_039_MZB_LO_16-06.06.2006","06.06.2006",2006,6,6,0.93,2
"SWE_039_MZB_LO_17","SWE_039_MZB_LO_17-10.09.2005","10.09.2005",2005,9,10,0.97,1
"SWE_039_MZB_LO_17","SWE_039_MZB_LO_17-21.09.2006","21.09.2006",2006,9,21,0.99,1
"SWE_039_MZB_LO_17","SWE_039_MZB_LO_17-28.09.2007","28.09.2007",2007,9,28,1.04,1
"SWE_039_MZB_LO_17","SWE_039_MZB_LO_17-18.09.2008","18.09.2008",2008,9,18,0.95,1
"SWE_039_MZB_LO_17","SWE_039_MZB_LO_17-21.09.2009","21.09.2009",2009,9,21,1.02,1
