"sample_Id","Ecological.Quality.Class","Ecological.Quality.Ratio_DJ","Ecological.Quality.Ratio_ASPT","BMWP","ASPT","Saprobic.Index.following.Zelinka...Marvan..1961..2","Danish.Stream.Fauna.Index","DJ.Index","Site.ID","Sampling.date"
"104000038_03.09.2005","H",1.11,1.02,153,6.652,1.593,7,15,"104000038","03.09.2005"
"104000038_04.09.2010","H",1.11,1.05,178,6.846,1.514,7,15,"104000038","04.09.2010"
"104000038_04.10.2011","H",1.11,1.05,185,6.852,1.488,7,15,"104000038","04.10.2011"
"104000038_09.09.2016","H",1.11,1.04,169,6.76,1.473,7,15,"104000038","09.09.2016"
"104000038_11.09.2018","H",1.11,1.02,153,6.652,1.628,7,15,"104000038","11.09.2018"
"104000038_13.09.2012","H",1.11,1.04,191,6.821,1.496,7,15,"104000038","13.09.2012"
"104000038_13.09.2015","H",1.11,1.09,178,7.12,1.51,7,15,"104000038","13.09.2015"
"104000038_15.09.2013","H",1.11,1.06,180,6.923,1.47,7,15,"104000038","15.09.2013"
"104000038_15.09.2014","H",1.11,1.07,188,6.963,1.516,7,15,"104000038","15.09.2014"
"104000038_16.09.2006","H",1.11,1.02,173,6.654,1.548,7,15,"104000038","16.09.2006"
"104000038_16.09.2008","H",1.11,1.08,198,7.071,1.514,7,15,"104000038","16.09.2008"
"104000038_17.09.2017","H",1.11,1.01,158,6.583,1.321,7,15,"104000038","17.09.2017"
"104000038_19.09.2009","H",1.11,1.07,188,6.963,1.534,7,15,"104000038","19.09.2009"
"104000038_20.09.2019","H",1.11,1.05,178,6.846,1.468,7,15,"104000038","20.09.2019"
"104000038_20.10.2004","H",1,1.1,158,7.182,1.481,7,14,"104000038","20.10.2004"
"104000038_25.09.2007","H",1.11,1.05,185,6.852,1.577,7,15,"104000038","25.09.2007"
"104000043_02.10.2011","H",1,0.97,161,6.44,1.601,7,14,"104000043","02.10.2011"
"104000043_05.09.2016","H",1.11,1.03,144,6.857,1.58,7,15,"104000043","05.09.2016"
"104000043_07.09.2018","H",1.11,1.02,157,6.826,1.523,7,15,"104000043","07.09.2018"
"104000043_08.09.2017","H",1,1.01,148,6.727,1.496,7,14,"104000043","08.09.2017"
"104000043_08.09.2019","H",1.11,0.97,155,6.458,1.37,7,15,"104000043","08.09.2019"
"104000043_11.09.2005","H",1.11,1.04,152,6.909,1.723,7,15,"104000043","11.09.2005"
"104000043_16.09.2015","H",1.11,1.01,128,6.737,1.556,7,15,"104000043","16.09.2015"
"104000043_19.09.2008","H",1.11,1.03,172,6.88,1.698,7,15,"104000043","19.09.2008"
"104000043_19.09.2010","H",1.11,1.02,163,6.792,1.513,7,15,"104000043","19.09.2010"
"104000043_20.09.2006","H",1,1.01,162,6.75,1.633,7,14,"104000043","20.09.2006"
"104000043_21.10.2004","H",1,1.06,141,7.05,1.515,7,14,"104000043","21.10.2004"
"104000043_22.09.2009","H",1.11,0.97,156,6.5,1.643,7,15,"104000043","22.09.2009"
"104000043_22.09.2014","H",1.11,1.03,158,6.87,1.593,7,15,"104000043","22.09.2014"
"104000043_24.09.2012","H",1,0.96,148,6.435,1.627,7,14,"104000043","24.09.2012"
"104000043_24.09.2013","H",1,0.99,139,6.619,1.458,7,14,"104000043","24.09.2013"
"104000043_27.09.2007","H",1.11,0.99,152,6.609,1.643,7,15,"104000043","27.09.2007"
"104000049_03.10.2012","H",0.89,0.92,102,6,1.143,6,13,"104000049","03.10.2012"
"104000049_05.10.2006","G",0.78,0.87,114,5.7,1.831,0,12,"104000049","05.10.2006"
"104000049_05.10.2007","G",0.89,0.87,108,5.684,1.234,5,13,"104000049","05.10.2007"
"104000049_05.10.2014","G",0.89,0.9,94,5.875,1.076,6,13,"104000049","05.10.2014"
"104000049_09.10.2013","H",1,0.93,128,6.095,1.249,7,14,"104000049","09.10.2013"
"104000049_10.10.2011","G",0.89,0.89,111,5.842,1.106,7,13,"104000049","10.10.2011"
"104000049_18.10.2010","H",1,0.91,101,5.941,1.021,6,14,"104000049","18.10.2010"
"104000049_21.10.2016","H",1.11,0.97,139,6.318,1.105,7,15,"104000049","21.10.2016"
"104000049_22.10.2008","G",0.89,0.9,123,5.857,1.056,6,13,"104000049","22.10.2008"
"104000051_02.10.2011","H",1.11,1.07,128,7.111,1.854,7,15,"104000051","02.10.2011"
"104000051_05.09.2016","H",1.11,1.06,113,7.062,1.761,7,15,"104000051","05.09.2016"
"104000051_07.09.2018","H",1.11,1.03,124,6.889,1.268,7,15,"104000051","07.09.2018"
"104000051_08.09.2017","H",1.11,1.07,128,7.111,1.684,7,15,"104000051","08.09.2017"
"104000051_09.09.2019","H",1.11,1.04,139,6.95,1.306,6,15,"104000051","09.09.2019"
"104000051_11.09.2005","H",1.11,1,100,6.667,1.814,7,15,"104000051","11.09.2005"
"104000051_16.09.2015","H",1.11,1.07,121,7.118,1.88,7,15,"104000051","16.09.2015"
"104000051_19.09.2010","H",1,1.06,127,7.056,1.979,7,14,"104000051","19.09.2010"
"104000051_20.09.2006","H",1,1.03,96,6.857,2.025,7,14,"104000051","20.09.2006"
"104000051_21.10.2004","H",1,1.05,98,7,1.903,7,14,"104000051","21.10.2004"
"104000051_22.09.2009","H",1,1.05,119,7,1.902,7,14,"104000051","22.09.2009"
"104000051_22.09.2014","H",1.11,1.09,138,7.263,1.686,7,15,"104000051","22.09.2014"
"104000051_24.09.2012","H",1.11,1.03,138,6.9,1.796,7,15,"104000051","24.09.2012"
"104000051_24.09.2013","H",1.11,1.08,123,7.235,1.681,7,15,"104000051","24.09.2013"
"104000051_27.09.2007","H",1,1.08,137,7.211,2.035,7,14,"104000051","27.09.2007"
"104000056_02.11.2004","H",1.4,1.17,138,6.273,2.015,7,12,"104000056","02.11.2004"
"104000056_05.09.2019","H",1.8,1.17,201,6.281,1.688,7,14,"104000056","05.09.2019"
"104000056_07.09.2015","H",1.6,1.16,181,6.241,1.726,7,13,"104000056","07.09.2015"
"104000056_09.09.2018","H",1.8,1.21,214,6.485,1.695,7,14,"104000056","09.09.2018"
"104000056_10.09.2016","H",1.8,1.21,234,6.5,1.691,7,14,"104000056","10.09.2016"
"104000056_11.09.2013","H",1.8,1.19,231,6.417,1.786,7,14,"104000056","11.09.2013"
"104000056_11.09.2017","H",1.8,1.22,197,6.567,1.763,7,14,"104000056","11.09.2017"
"104000056_15.09.2008","H",1.6,1.13,188,6.065,1.87,7,13,"104000056","15.09.2008"
"104000056_15.09.2009","H",1.6,1.19,211,6.394,1.913,7,13,"104000056","15.09.2009"
"104000056_16.09.2012","H",1.8,1.18,197,6.355,1.821,7,14,"104000056","16.09.2012"
"104000056_18.09.2007","H",1.4,1.15,192,6.194,1.902,7,12,"104000056","18.09.2007"
"104000056_19.09.2014","H",1.8,1.19,218,6.412,1.817,7,14,"104000056","19.09.2014"
"104000056_21.09.2006","H",1.6,1.11,196,5.939,1.829,7,13,"104000056","21.09.2006"
"104000056_22.09.2011","H",1.6,1.16,174,6.214,1.862,7,13,"104000056","22.09.2011"
"104000056_26.09.2005","H",1.6,1.23,178,6.593,1.955,7,13,"104000056","26.09.2005"
"104000056_27.09.2010","H",1.8,1.19,210,6.364,1.873,7,14,"104000056","27.09.2010"
"104000058_02.11.2017","H",1,1.07,63,5.727,2.386,0,10,"104000058","02.11.2017"
"104000058_03.11.2006","H",0.8,0.98,37,5.286,2.74,0,9,"104000058","03.11.2006"
"104000058_06.11.2015","H",0.8,0.96,31,5.167,2.364,0,9,"104000058","06.11.2015"
"104000058_13.10.2016","H",1.2,1.28,55,6.875,2.315,0,11,"104000058","13.10.2016"
"104000058_15.11.2007","G",0.6,0.84,27,4.5,2.098,0,8,"104000058","15.11.2007"
"104000058_16.10.2013","H",1,1.12,54,6,2.441,0,10,"104000058","16.10.2013"
"104000058_17.10.2008","G",0.6,0.74,20,4,2.473,0,8,"104000058","17.10.2008"
"104000058_17.10.2014","M",0.4,0.89,43,4.778,2.557,0,7,"104000058","17.10.2014"
"104000058_25.10.2012","H",1.4,1.15,68,6.182,2.389,0,12,"104000058","25.10.2012"
"104000058_27.10.2011","H",0.8,1.12,54,6,2.276,0,9,"104000058","27.10.2011"
"104000058_28.10.2010","H",1.2,1.19,64,6.4,2.273,0,11,"104000058","28.10.2010"
"104000059_02.11.2017","H",0.8,0.97,47,5.222,2.335,0,9,"104000059","02.11.2017"
"104000059_03.11.2006","H",1,1.05,79,5.643,2.576,0,10,"104000059","03.11.2006"
"104000059_06.11.2015","H",0.8,1.14,43,6.143,2.21,0,9,"104000059","06.11.2015"
"104000059_15.11.2007","H",1.2,1.12,48,6,2.465,0,11,"104000059","15.11.2007"
"104000059_16.10.2013","H",0.8,0.96,31,5.167,2.399,0,9,"104000059","16.10.2013"
"104000059_17.10.2008","H",0.8,1.09,47,5.875,2.475,0,9,"104000059","17.10.2008"
"104000059_17.10.2014","H",1.4,1.19,51,6.375,2.319,0,12,"104000059","17.10.2014"
"104000059_25.10.2012","H",1.4,1.13,67,6.091,2.285,0,12,"104000059","25.10.2012"
"104000059_27.10.2011","H",1,0.96,36,5.143,2.204,0,10,"104000059","27.10.2011"
"104000059_28.10.2010","H",1,1.07,46,5.75,2.129,0,10,"104000059","28.10.2010"
"104000060_06.05.2010","H",1.4,1.09,129,5.864,1.716,7,12,"104000060","06.05.2010"
"104000060_10.04.2007","H",1.4,1.1,136,5.913,1.717,7,12,"104000060","10.04.2007"
"104000060_13.05.2013","H",1.2,1.04,78,5.571,1.589,5,11,"104000060","13.05.2013"
"104000060_14.04.2015","H",1.6,1.25,128,6.737,1.622,7,13,"104000060","14.04.2015"
"104000060_18.04.2018","H",0.8,1.11,95,5.938,2.086,5,9,"104000060","18.04.2018"
"104000060_21.05.2008","H",1.6,1,86,5.375,1.683,6,13,"104000060","21.05.2008"
"104000060_24.04.2017","H",1.4,1.07,92,5.75,1.724,6,12,"104000060","24.04.2017"
"104000060_27.04.2011","H",1.4,1.13,121,6.05,1.665,7,12,"104000060","27.04.2011"
"104000060_28.04.2009","H",1.6,1.08,122,5.81,1.788,7,13,"104000060","28.04.2009"
"104000063_01.10.2011","H",1.11,1.02,211,6.806,1.463,7,15,"104000063","01.10.2011"
"104000063_04.09.2016","H",1.11,1.03,171,6.84,1.474,7,15,"104000063","04.09.2016"
"104000063_06.09.2018","H",1.11,1.02,191,6.821,1.536,7,15,"104000063","06.09.2018"
"104000063_07.09.2017","H",1.11,0.97,169,6.5,1.418,7,15,"104000063","07.09.2017"
"104000063_10.09.2005","H",1,0.99,204,6.581,1.619,7,14,"104000063","10.09.2005"
"104000063_18.09.2008","H",1.11,1.04,223,6.969,1.626,7,15,"104000063","18.09.2008"
"104000063_18.09.2010","H",1.11,1.04,221,6.906,1.52,7,15,"104000063","18.09.2010"
"104000063_21.09.2006","H",1.11,1.03,193,6.893,1.584,7,15,"104000063","21.09.2006"
"104000063_21.09.2009","H",1,1.05,237,6.971,1.595,7,14,"104000063","21.09.2009"
"104000063_21.09.2014","H",1.11,1.04,181,6.962,1.459,7,15,"104000063","21.09.2014"
"104000063_23.09.2012","H",1.11,0.97,174,6.444,1.425,7,15,"104000063","23.09.2012"
"104000063_23.09.2013","H",1.11,1.01,209,6.742,1.528,7,15,"104000063","23.09.2013"
"104000063_28.09.2007","H",1.11,1,186,6.643,1.699,7,15,"104000063","28.09.2007"
"104000063_30.09.2019","H",1.11,1.01,181,6.704,1.462,7,15,"104000063","30.09.2019"
"104000066_03.10.2007","H",1,0.98,185,6.379,1.683,7,14,"104000066","03.10.2007"
"104000066_07.09.2005","H",1,1,169,6.5,1.674,7,14,"104000066","07.09.2005"
"104000066_08.10.2015","H",1,1.03,188,6.714,1.629,7,14,"104000066","08.10.2015"
"104000066_18.09.2016","H",1,1.08,226,7.062,1.673,7,14,"104000066","18.09.2016"
"104000066_21.09.2018","H",1,1.07,209,6.967,1.521,7,14,"104000066","21.09.2018"
"104000066_23.09.2010","H",1.11,1.06,193,6.893,1.636,7,15,"104000066","23.09.2010"
