"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Amphinemura sp.",10
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Ancylidae Gen. sp.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Baetis rhodani",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Chironomidae Gen. sp.",10
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Dicranota sp.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Ecdyonurus sp.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Elmis aenea Ad.",10
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Gammarus duebeni",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Goeridae Gen. sp.",100
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Hydraenidae Gen. sp. Ad.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Philopotamidae Gen. sp.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Potamopyrgus antipodarum",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Rhithrogena sp.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Sericostomatidae Gen. sp.",100
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Simuliidae Gen. sp.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.09.2007","19.09.2007",2007,9,19,"Tubificidae Gen. sp.",1
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.07.2010","19.07.2010",2010,7,19,"Amphinemura sp.",10
"IRL_051_MZB_LO_1008","IRL_051_MZB_LO_1008-19.07.2010","19.07.2010",2010,7,19,"Ancylidae Gen. sp.",1
