"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Ameletus sp.",1.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Amphinemura borealis",36.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Baetis niger",9
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Baetis rhodani",73.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Ceratopogonidae Gen. sp.",2.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Dicranota sp.",1
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Diura nanseni",5
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Elmis aenea",10.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Empididae Gen. sp.",5.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Ephemerella aurivillii",14.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Ephemerella mucronata",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Heptagenia dalecarlica",0.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Hydracarina Gen. sp.",2.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Hydroptila sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Isoperla grammatica",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Leuctra hippopus",15.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Limnephilidae Gen. sp.",1.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Muscidae Gen. sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Oligochaeta Gen. sp.",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Orthocladiinae Gen. sp.",78
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Oulimnius sp.",2.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Oulimnius tuberculatus",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Oxyethira sp.",3.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Polycentropus flavomaculatus ssp.",1.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Protonemura meyeri",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Psychodidae Gen. sp.",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Rhyacophila nubila",5.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Simuliidae Gen. sp.",6.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Taeniopteryx nebulosa",3.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Tanypodinae Gen. sp.",8.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-29.09.2000","29.09.2000",2000,9,29,"Tanytarsini Gen. sp.",7.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Amphinemura borealis",9.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Baetis niger",7.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Baetis rhodani",10.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Capnopsis schilleri ssp.",4.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Centroptilum luteolum",1.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Ceraclea annulicornis",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Ceratopogonidae Gen. sp.",2.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Dicranota sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Diura nanseni",1.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Elmis aenea",7.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Eloeophila sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Empididae Gen. sp.",3
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Ephemerella aurivillii",12.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Gyraulus albus",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Heptagenia dalecarlica",7
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Hydracarina Gen. sp.",2.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Hydraena sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Hydroptila sp.",6.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Ithytrichia sp.",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Leptophlebia marginata",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Leptophlebia vespertina",2.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Leuctra hippopus",14.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Limnephilidae Gen. sp.",5.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Nemoura avicularis",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Oligochaeta Gen. sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Orthocladiinae Gen. sp.",23.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Oulimnius sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Oulimnius tuberculatus",0.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Oxyethira sp.",1.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Polycentropus flavomaculatus ssp.",2.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Protonemura meyeri",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Radix sp.",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Rhyacophila fasciata ssp.",0.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Rhyacophila sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Simuliidae Gen. sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Siphonoperla burmeisteri",0.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Sphaeriidae Gen. sp.",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Taeniopteryx nebulosa",0.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Tanypodinae Gen. sp.",9.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-18.09.2001","18.09.2001",2001,9,18,"Tanytarsini Gen. sp.",20.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Agraylea sp.",1.6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Ameletus inopinatus",6.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Amphinemura borealis",47
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Arctopsyche ladogensis",2.4
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Asellus aquaticus",13.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Baetis muticus",2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Baetis niger",6
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Baetis rhodani",183
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Capnopsis schilleri ssp.",1.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Ceratopogonidae Gen. sp.",2.2
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Dicranota sp.",1.8
"SWE_038_MZB_LO_1","SWE_038_MZB_LO_1-27.09.2002","27.09.2002",2002,9,27,"Diura nanseni",5
