"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"ASELLIDAE GEN. SP.",6
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"CERATOPOGONIDAE GEN. SP.",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"CHIRONOMINI GEN. SP.",72
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"CORBICULA SP.",8
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"DIAMESINAE GEN. SP.",4
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"DUGESIA SP.",36
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"DUGESIA TIGRINA",4
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"ELMIS SP.",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"ERPOBDELLIDAE GEN. SP.",10
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"ESOLUS SP.",24
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"GAMMARUS SP.",3538
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"HALIPLUS SP.",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"HYDROPTILA SP.",6
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"LIMNIUS SP.",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"OLIGOCHAETA GEN. SP.",222
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"ORTHOCLADIINAE GEN. SP.",150
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"PHYSELLA ACUTA",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"PISCICOLA GEOMETRA",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"PISIDIUM SUBTRUNCATUM",6
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"POLYCELIS SP.",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"POTAMANTHUS LUTEUS",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"PSYCHODIDAE GEN. SP.",2
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"SIMULIIDAE GEN. SP.",6
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,"TANYPODINAE GEN. SP.",84
