"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"AMELETUS INOPINATUS",13
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"AMPHINEMURA SP.",120
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"ARCTOPSYCHE LADOGENSIS",1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"BAETIS MUTICUS",96
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"BAETIS RHODANI",832
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"BRACHYPTERA RISI",2
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"CAPNIA ATRA",48
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"CHIRONOMIDAE GEN. SP.",568
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"DIPTERA GEN. SP.",16
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"DIURA NANSENI",21
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"ELMINAE GEN. SP.",2
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"EPHEMERELLA ARONI",72
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"EPHEMERELLA MUCRONATA",48
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"GLOSSOSOMA SP.",1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"HEPTAGENIA DALECARLICA",136
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"HEPTAGENIA SP.",112
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"HYDRACHNIDIA GEN. SP.",40
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"HYDROPSYCHE NEWAE",1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"LEUCTRA HIPPOPUS",2
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"OLIGOCHAETA GEN. SP.",112
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"PLECTROCNEMIA CONSPERSA SSP.",1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"POLYCENTROPUS FLAVOMACULATUS SSP.",2
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"RADIX BALTHICA/LABIATA",2
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"RHYACOPHILA NUBILA",10
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"SIMULIIDAE GEN. SP.",1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"SIPHONOPERLA BURMEISTERI",3
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,"TAENIOPTERYX NEBULOSA",1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-10.10.2013","10.10.2013",2013,10,10,"AGAPETUS OCHRIPES",8
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-10.10.2013","10.10.2013",2013,10,10,"AMELETUS INOPINATUS",28
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-10.10.2013","10.10.2013",2013,10,10,"AMPHINEMURA SP.",824
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-10.10.2013","10.10.2013",2013,10,10,"ARCTOPSYCHE LADOGENSIS",8
