"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"BAETIDAE GEN. SP.",90
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"CERATOPOGONIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"CHIRONOMIDAE GEN. SP.",60
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"ELMIDAE GEN. SP.",94
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"EMPIDIDAE GEN. SP.",2
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"EPHEMERELLIDAE GEN. SP.",15
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"GAMMARIDAE GEN. SP.",1144
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"GLOSSIPHONIIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"GLOSSOSOMATIDAE GEN. SP.",1092
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"GOERIDAE GEN. SP.",451
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"HEPTAGENIIDAE GEN. SP.",89
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"HYDROBIIDAE GEN. SP.",6
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"LIMNEPHILIDAE GEN. SP.",50
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"LYMNAEIDAE GEN. SP.",3
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"NEMOURIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"OLIGOCHAETA GEN. SP.",63
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"PERLODIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"PISCICOLIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"PLANARIIDAE GEN. SP.",171
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"PLANORBIDAE GEN. SP.",18
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"PSYCHODIDAE GEN. SP.",2
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"RHYACOPHILIDAE GEN. SP.",5
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"SERICOSTOMATIDAE GEN. SP.",5
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"SIMULIIDAE GEN. SP.",19
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"SPHAERIIDAE GEN. SP.",6
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,"TIPULIDAE GEN. SP.",31
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"BAETIDAE GEN. SP.",213
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"CAENIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"CHIRONOMIDAE GEN. SP.",41
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"DIXIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"DYTISCIDAE GEN. SP.",8
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"ELMIDAE GEN. SP.",38
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"EPHEMERELLIDAE GEN. SP.",5
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"GAMMARIDAE GEN. SP.",340
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"GLOSSIPHONIIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"GLOSSOSOMATIDAE GEN. SP.",296
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"GOERIDAE GEN. SP.",35
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"HEPTAGENIIDAE GEN. SP.",5
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"HYDROBIIDAE GEN. SP.",3
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"LEUCTRIDAE GEN. SP.",3
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"LIMNEPHILIDAE GEN. SP.",22
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"LYMNAEIDAE GEN. SP.",2
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"OLIGOCHAETA GEN. SP.",40
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"PERLODIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"PISCICOLIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"PLANARIIDAE GEN. SP.",139
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"RHYACOPHILIDAE GEN. SP.",11
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"SERICOSTOMATIDAE GEN. SP.",7
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"SIMULIIDAE GEN. SP.",11
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,"TIPULIDAE GEN. SP.",9
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"BAETIDAE GEN. SP.",193
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"CAENIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"CHIRONOMIDAE GEN. SP.",711
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"DIXIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"ELMIDAE GEN. SP.",18
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"EMPIDIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"EPHEMERELLIDAE GEN. SP.",70
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"GAMMARIDAE GEN. SP.",387
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"GLOSSOSOMATIDAE GEN. SP.",354
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"GOERIDAE GEN. SP.",41
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"HEPTAGENIIDAE GEN. SP.",3
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"HYDROPSYCHIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"LEPIDOSTOMATIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"LEUCTRIDAE GEN. SP.",10
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"LIMNEPHILIDAE GEN. SP.",11
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"LYMNAEIDAE GEN. SP.",7
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"NEMATODA GEN. SP.",3
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"OLIGOCHAETA GEN. SP.",27
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"PERLODIDAE GEN. SP.",4
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"PISCICOLIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"PLANARIIDAE GEN. SP.",43
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"PLANORBIDAE GEN. SP.",5
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"POLYCENTROPODIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"RHYACOPHILIDAE GEN. SP.",5
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"SIMULIIDAE GEN. SP.",993
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,"TIPULIDAE GEN. SP.",6
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"BAETIDAE GEN. SP.",80
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"CHIRONOMIDAE GEN. SP.",20
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"DIXIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"DYTISCIDAE GEN. SP.",8
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"ELMIDAE GEN. SP.",80
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"EMPIDIDAE GEN. SP.",4
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"EPHEMERELLIDAE GEN. SP.",40
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"EPHEMERIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"GAMMARIDAE GEN. SP.",280
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"GLOSSOSOMATIDAE GEN. SP.",120
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"GOERIDAE GEN. SP.",20
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"HEPTAGENIIDAE GEN. SP.",50
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"HYDROBIIDAE GEN. SP.",2
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"HYDROPSYCHIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"LEPIDOPTERA GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"LIMNEPHILIDAE GEN. SP.",12
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"LYMNAEIDAE GEN. SP.",90
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"NEMATODA GEN. SP.",3
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"OLIGOCHAETA GEN. SP.",10
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"PERLODIDAE GEN. SP.",3
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"PISCICOLIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"PLANARIIDAE GEN. SP.",20
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"PLANORBIDAE GEN. SP.",12
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"POLYCENTROPODIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"PSYCHODIDAE GEN. SP.",1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"RHYACOPHILIDAE GEN. SP.",12
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"SERICOSTOMATIDAE GEN. SP.",14
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"SIMULIIDAE GEN. SP.",20
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,"TIPULIDAE GEN. SP.",10
