"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"ANCYLUS FLUVIATILIS",33
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"BAETIS SP.",168
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"BRACHYPTERA SP.",105
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"CAENIS BESKIDENSIS",27
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"CERATOPOGONIDAE GEN. SP.",12
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"CHIRONOMIDAE GEN. SP.",900
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"DICRANOTA SP.",60
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"ECDYONURUS SP.",30
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"ELMIS SP.",111
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"EPEORUS ASSIMILIS",81
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"EPHEMERA SP.",48
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"EPHEMERELLIDAE GEN. SP.",141
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"ESOLUS SP.",12
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"GAMMARUS SP.",159
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"GLOSSIPHONIA SP.",60
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"GLOSSOSOMATIDAE GEN. SP.",12
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"GOERIDAE GEN. SP.",21
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"HYDRAENA SP.",39
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"HYDROPSYCHE SP.",39
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"ISOPERLA SP.",93
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"LEPTOPHLEBIIDAE GEN. SP.",153
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,"LEUCTRA SP.",108
