"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"BAETIDAE GEN. SP.",210
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"CALOPTERYGIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"CHIRONOMIDAE GEN. SP.",111
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"DIPTERA GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"DYTISCIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"ELMIDAE GEN. SP.",30
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"EPHEMERELLIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"EPHEMERIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"GAMMARUS FOSSARUM/PULEX",1062
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"GOERIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"GYRINIDAE GEN. SP.",12
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"HEPTAGENIIDAE GEN. SP.",15
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"HYDRAENIDAE GEN. SP.",6
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"HYDROBIIDAE GEN. SP.",41
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"HYDROPSYCHIDAE GEN. SP.",8
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"HYDROPTILIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"LEPIDOSTOMATIDAE GEN. SP.",22
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"LEPTOPHLEBIIDAE GEN. SP.",12
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"LEUCTRIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"LIMNEPHILIDAE GEN. SP.",16
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"LIMONIIDAE GEN. SP.",69
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"LYMNAEIDAE GEN. SP.",21
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"NEMATOCERA GEN. SP.",6
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"NEMOURIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"NEPA SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"OLIGOCHAETA GEN. SP.",77
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"PERLIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"PLANORBIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"POLYCENTROPODIDAE GEN. SP.",14
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"PSYCHODIDAE GEN. SP.",5
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"PSYCHOMYIIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"RHYACOPHILIDAE GEN. SP.",24
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"SIMULIIDAE GEN. SP.",95
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"SPHAERIIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-27.08.2007","27.08.2007",2007,8,27,"TIPULIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"BAETIDAE GEN. SP.",101
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"CALOPTERYGIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"CHIRONOMIDAE GEN. SP.",121
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"DECAPODA GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"DIPTERA GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"ELMIDAE GEN. SP.",19
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"EPHEMERELLIDAE GEN. SP.",6
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"EPHEMERIDAE GEN. SP.",8
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"GAMMARUS FOSSARUM/PULEX",432
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"GLOSSIPHONIA SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"GOERIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"HEPTAGENIIDAE GEN. SP.",34
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"HYDROBIIDAE GEN. SP.",26
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"HYDROPSYCHIDAE GEN. SP.",6
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"HYDROPTILIDAE GEN. SP.",17
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"LEPIDOPTERA GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"LIMONIIDAE GEN. SP.",16
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"LYMNAEIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"MICROVELIA SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"ODONTOCERIDAE GEN. SP.",6
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"OLIGOCHAETA GEN. SP.",18
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"POLYCENTROPODIDAE GEN. SP.",6
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"RHYACOPHILIDAE GEN. SP.",25
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"SCIRTIDAE GEN. SP.",7
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"SERICOSTOMATIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"SIALIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"SIMULIIDAE GEN. SP.",54
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"SPHAERIIDAE GEN. SP.",180
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-21.08.2008","21.08.2008",2008,8,21,"TABANIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"BAETIDAE GEN. SP.",405
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"CALOPTERYGIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"CHIRONOMIDAE GEN. SP.",906
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"DECAPODA GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"DUGESIIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"ELMIDAE GEN. SP.",61
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"EPHEMERELLIDAE GEN. SP.",8
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"EPHEMERIDAE GEN. SP.",14
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"EPHYDRIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"GAMMARUS FOSSARUM/PULEX",1470
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"GOERIDAE GEN. SP.",102
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"HEPTAGENIIDAE GEN. SP.",367
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"HYDRACHNIDIA GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"HYDRAENIDAE GEN. SP.",8
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"HYDROBIIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"HYDROPSYCHIDAE GEN. SP.",62
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"HYDROPTILIDAE GEN. SP.",18
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"LEPIDOPTERA GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"LEPIDOSTOMATIDAE GEN. SP.",8
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"LEPTOPHLEBIIDAE GEN. SP.",8
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"LEUCTRIDAE GEN. SP.",7
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"LIMNEPHILIDAE GEN. SP.",22
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"LIMONIIDAE GEN. SP.",45
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"LYMNAEIDAE GEN. SP.",5
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"MICROVELIA SP.",7
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"NEMATOCERA GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"NEMOURIDAE GEN. SP.",25
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"ODONTOCERIDAE GEN. SP.",3
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"OLIGOCHAETA GEN. SP.",117
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"PLANORBIDAE GEN. SP.",23
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"POLYCENTROPODIDAE GEN. SP.",14
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"PSYCHOMYIIDAE GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"PTYCHOPTERIDAE GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"RHYACOPHILIDAE GEN. SP.",17
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"SIMULIIDAE GEN. SP.",74
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-19.08.2009","19.08.2009",2009,8,19,"SPHAERIIDAE GEN. SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"BAETIDAE GEN. SP.",332
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"CALOPTERYGIDAE GEN. SP.",2
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"CHIRONOMIDAE GEN. SP.",595
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"DIXA SP.",4
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"DYTISCIDAE GEN. SP.",8
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"ELMIDAE GEN. SP.",40
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"EPHEMERELLIDAE GEN. SP.",1
"LUX_027_MZB_LO_1","LUX_027_MZB_LO_1-24.08.2011","24.08.2011",2011,8,24,"EPHEMERIDAE GEN. SP.",5
