"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGRIOTYPUS ARMATUS","ANTOCHA VITRIPENNIS","APATANIA MULIEBRIS","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","CAENIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHRYSOMELIDAE GEN. SP.","CORIXIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","DENDROCOELIDAE GEN. SP.","DICRANOTA SP.","DIXIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","ELODES SP.","ELOEOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIIDAE GEN. SP.","GYRINIDAE GEN. SP.","HALIPLIDAE GEN. SP.","HEPTAGENIIDAE GEN. SP.","HYDRAENIDAE GEN. SP.","HYDRIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","LEPIDOPTERA GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MOLANNIDAE GEN. SP.","MUSCIDAE GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","NERITIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PERLODIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSA FONTINALIS","PHYSELLA ACUTA","PISCICOLIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCIOMYZIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SUCCINEIDAE GEN. SP.","TIPULIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP."
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-08.11.2006","08.11.2006",2006,11,8,0,0,0,0,0,90,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,94,0,0,2,15,0,0,1144,1,1092,451,0,0,0,89,0,0,6,0,0,0,0,0,0,0,50,3,0,0,0,0,1,0,0,63,1,0,0,0,1,171,18,0,2,0,0,5,0,5,0,19,6,0,0,31,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-03.10.2007","03.10.2007",2007,10,3,0,0,0,0,0,213,0,0,0,1,0,0,41,0,0,0,0,0,0,1,0,8,38,0,0,0,5,0,0,340,1,296,35,0,0,0,5,0,0,3,0,0,0,0,0,0,3,22,2,0,0,0,0,0,0,0,40,1,0,0,0,1,139,0,0,0,0,0,11,0,7,0,11,0,0,0,9,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-01.10.2008","01.10.2008",2008,10,1,0,0,0,0,0,193,0,0,0,1,0,0,711,0,0,0,0,0,0,1,0,0,18,0,0,1,70,0,0,387,0,354,41,0,0,0,3,0,0,0,1,0,0,1,0,0,10,11,7,0,0,3,0,0,0,0,27,4,0,0,0,1,43,5,1,0,0,0,5,0,0,0,993,0,0,0,6,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-27.10.2009","27.10.2009",2009,10,27,0,0,0,0,0,80,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,8,80,0,0,4,40,1,0,280,0,120,20,0,0,0,50,0,0,2,1,0,1,0,0,0,0,12,90,0,0,3,0,0,0,0,10,3,0,0,0,1,20,12,1,1,0,0,12,0,14,0,20,0,0,0,10,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-14.10.2010","14.10.2010",2010,10,14,0,0,0,0,0,194,0,0,0,0,0,0,401,0,0,0,1,0,0,3,0,12,51,0,0,0,8,0,0,2016,5,169,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,51,5,0,0,0,2,130,63,0,2,0,20,0,0,9,0,135,1,0,0,11,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-26.10.2011","26.10.2011",2011,10,26,0,0,0,0,0,15,0,0,0,1,0,0,93,0,0,0,0,0,0,0,0,112,157,0,0,1,7,0,1,1080,5,33,2,0,0,0,2,1,0,1,0,1,0,0,0,0,1,25,39,0,0,0,0,0,0,0,87,14,0,0,0,11,64,5,2,0,0,0,29,1,12,0,33,2,2,0,12,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-16.10.2012","16.10.2012",2012,10,16,0,0,0,0,0,1,0,0,0,0,0,3,110,0,0,0,0,0,0,0,0,5,32,0,0,5,2,0,1,88,2,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,2,4,0,1,0,0,0,6,0,6,0,0,0,0,0,8,0,0
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-16.10.2013","16.10.2013",2013,10,16,0,0,0,0,0,250,0,0,0,0,0,0,350,0,0,0,0,0,0,3,0,50,400,0,0,0,25,0,0,1200,2,250,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,200,225,0,0,0,0,0,0,0,15,2,0,0,0,15,75,25,0,0,1,0,25,0,1,0,400,0,0,0,3,0,1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-20.10.2014","20.10.2014",2014,10,20,0,0,0,0,0,210,0,0,0,0,0,0,150,0,0,0,0,0,11,0,0,16,225,0,0,9,15,0,1,887,8,706,33,0,0,0,19,1,0,0,4,0,0,1,0,0,2,14,3,0,0,15,0,1,0,0,39,3,0,0,0,4,47,26,2,0,0,0,15,0,22,0,642,5,1,1,0,0,1
"ENG_044_MZB_LO_10","ENG_044_MZB_LO_10-23.10.2015","23.10.2015",2015,10,23,0,0,0,0,0,43,0,0,0,0,0,0,125,0,0,0,0,0,3,1,0,25,461,1,1,4,15,0,0,1870,0,56,20,0,0,0,3,0,0,0,3,0,0,0,0,0,0,22,13,0,2,0,0,0,0,0,32,20,0,0,0,6,90,12,1,0,1,0,16,0,65,0,105,0,0,0,0,0,0
