"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXUS SP.","AESHNIDAE GEN. SP.","AGRIOTYPUS SP.","ANTHOMYIIDAE GEN. SP.","APHELOCHEIRIDAE GEN. SP.","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATYIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BLEPHARICERIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","BRANCHIOBDELLIDAE GEN. SP.","CAENIDAE GEN. SP.","CALAMOCERATIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CAPNIONEURA SP.","CERATOPOGONIDAE GEN. SP.","CHAOBORIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CHRYSOMELIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORDULEGASTRIDAE GEN. SP.","CORDULIIDAE GEN. SP.","CORIXIDAE GEN. SP.","CULICIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","CYZICIDAE GEN. SP.","DENDROCOELUM SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DREISSENIDAE GEN. SP.","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ECNOMUS SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","EPHORON VIRGO","EPHYDRIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GERRIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","GORDIIDAE GEN. SP.","GYRINIDAE GEN. SP.","HAEMOPIS SP.","HALIPLIDAE GEN. SP.","HEBRIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HETEROPTERA GEN. SP.","HIRUDINIDAE GEN. SP.","HYDRA SP.","HYDRACHNA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROCHUS SP.","HYDROMETRIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","HYGROBIIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIBELLULIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MERMITHIDAE GEN. SP.","MESOVELIIDAE GEN. SP.","MOLANNA SP.","MUSCIDAE GEN. SP.","NAUCORIDAE GEN. SP.","NEMOURIDAE GEN. SP.","NEPIDAE GEN. SP.","NERITIDAE GEN. SP.","NOTONECTIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","OSMYLIDAE GEN. SP.","PALAEMONIDAE GEN. SP.","PEDICIIDAE GEN. SP.","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSIDAE GEN. SP.","PISCICOLIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANIPENNIA GEN. SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIDIDAE GEN. SP.","PLEIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PROCAMBARUS CLARKII","PSEPHENIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCATOPHAGIDAE GEN. SP.","SCIOMYZIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SISYRIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYX SP.","THAUMALEIDAE GEN. SP.","TIPULIDAE GEN. SP.","TRICHOPTERA GEN. SP.","TRIOPSIDAE GEN. SP.","UENOIDAE GEN. SP.","UNIONIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP.","VIVIPARUS SP."
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-30.09.2003","30.09.2003",2003,9,30,0,6,0,6,0,0,0,146.5,0,515,0,0,0,70,0,281,0,6,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,1721,6,0,6,0,0,0,257.5,41,0,0,0,11.5,0,29.5,0,6,0,0,181.5,0,0,0,843,0,0,5063.5,0,0,0,58.5,29.5,0,374.5,345.5,93.5,0,725.5,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,29.5,0,0,257.5,0,0,6,17.5,0,0,11.5,0,0,0,6,0,93.5,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-23.09.2004","23.09.2004",2004,9,23,0,58.5,0,0,0,0,0,312.5,0,312,0,0,0,0,0,936.5,0,78,0,19.5,0,1521.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,19.5,0,820,0,0,0,0,0,0,19.5,7.5,2.5,0,0,39,0,10,0,0,0,0,0,0,0,0,97.5,0,10,1190,0,0,0,10,0,0,58.5,264,0,0,449,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,58.5,0,0,0,0,0,0,0,0,0,0,0,429.5,0,0,458.5,0,0,0,0,0,0,10,0,0,0,0,19.5,88,0,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-21.09.2005","21.09.2005",2005,9,21,0,14.5,0,0,0,0,0,234,0,468.5,0,0,0,0,0,166,0,29.5,0,10,0,1736.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0,0,576,0,0,2.5,0,0,0,29.5,24.5,0,0,0,19.5,0,0,0,10,0,0,10,0,0,0,68.5,0,0,702.5,0,0,0,68.5,0,0,0,20,10,0,205,0,10,0,0,49,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,97.5,10,0,224.5,0,0,0,0,0,0,2.5,0,0,0,0,49,566,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-13.09.2006","13.09.2006",2006,9,13,0,12,0,0,0,0,0,283,0,312,0,0,0,0,0,312,0,205,0,19.5,0,1834.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,39,68.5,0,760.5,0,0,0,0,0,0,19.5,14.5,2.5,0,10,19.5,0,0,0,0,0,0,0,0,0,0,195,0,58.5,566,0,0,0,0,0,0,0,88,0,0,351,0,0,0,2.5,253.5,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,117,19.5,0,29.5,0,0,0,0,0,0,0,0,0,0,0,19.5,19.5,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-17.09.2007","17.09.2007",2007,9,17,0,12,0,10,0,0,0,61,0,1405,0,0,0,0,0,185.5,0,19.5,0,19.5,0,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,614.5,0,0,0,0,0,0,88,0.5,0,0,0,7.5,0,0,0,0,0,0,20,0,0,0,97.5,0,68.5,1639,0,0,0,59,0,0,29.5,88,19.5,0,390,0,0,0,0,527,0,0,0,0,0,0,0,0,0,58.5,0,0,0,0,0,0,0,0,0,0,0,663.5,0,0,136.5,0,0,19.5,0,0,0,14.5,0,0,0,0,0,185.5,0,58.5,10,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-15.09.2008","15.09.2008",2008,9,15,0,5,0,0,0,0,0,253.5,0,1034,0,0,0,0,0,39,0,10,0,15,0,1409.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,7.5,0,346,44,5,7.5,0,0,0,14.5,10,0,0,0,5,0,0,0,0,0,0,49,0,0,0,410,0,19.5,185.5,0,0,0,39,0,0,117,19.5,58.5,0,541.5,0,0,0,0,44,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,175.5,0,0,302.5,0,0,0,19.5,0,0,7.5,0,0,0,2.5,0,663.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-09.09.2009","09.09.2009",2009,9,9,0,34,0,0,0,0,0,312,0,273,0,0,0,0,0,273,0,2.5,0,0,0,1131.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,624.5,0,0,10,0,0,0,14.5,11.5,0,0,0,7.5,0,0,0,0,0,0,2.5,0,0,0,429.5,0,0,341.5,0,0,0,365.5,0,0,5,390,0,0,312,0,0,0,0,39,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,429.5,0,0,234,0,0,0,10,0,0,10,0,0,0,0,19.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-08.09.2010","08.09.2010",2010,9,8,0,2.5,0,0,0,0,0,468,0,351,0,0,0,0,0,156,0,2.5,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,741,0,0,0,0,0,0,24.5,5,5,0,0,19.5,0,0,0,5,0,0,107.5,0,0,0,468.5,0,0,478,0,0,0,7.5,0,0,88,302.5,146.5,2.5,995,0,0,0,0,10,0,0,0,0,0,0,0,0,0,117,0,0,2.5,0,0,0,0,0,0,0,0,546.5,0,0,546.5,0,0,0,5,0,0,5,0,0,0,10,0,234,0,0,5,0,2.5,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-06.09.2011","06.09.2011",2011,9,6,0,5,0,0,0,0,0,195.5,0,741.5,0,0,0,0,0,234,0,88,0,10,0,2965.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,19.5,32,0,449.5,0,0,10,0,0,0,0,0,0,0,0,5,2.5,0,0,0,0,0,0,0,0,0,468.5,0,29.5,292.5,0,0,0,119.5,0,0,10,127,0,0,429.5,0,0,0,0,312,0,0,2.5,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,702.5,0,0,702.5,0,0,0,0,0,0,7.5,0,0,0,0,7.5,292.5,0,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_045_MZB_LO_1","ESP_045_MZB_LO_1-04.09.2012","04.09.2012",2012,9,4,0,22,0,0,0,0,0,644,0,49,0,0,0,0,0,546.5,0,19.5,0,10,0,3004.5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,58.5,10,0,391,0,0,2.5,0,0,0,0,19.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,546.5,0,49,702.5,10,2.5,10,22.5,10,0,58.5,78,88,0,49,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,546.5,0,0,527,0,0,19.5,29.5,0,0,0,0,0,0,19.5,17,10,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0
