"Unique.ID","Samp.ID","Sampling.date","year","month","day","ADICELLA SP.","ANCYLUS FLUVIATILIS","ANTHOMYIIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATHRIPSODES SP.","BAETIDAE GEN. SP.","BERAEA SP.","BLEPHARICERIDAE GEN. SP.","BOYERIA IRENE","BRACHYPTERA ARCUATA","CAENIS SP.","CALOPTERYX SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORDULEGASTER SP.","CORIXIDAE GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DRUNELLA PARADINASI","DRYOPS SP.","DUGESIA SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","ERPOBDELLIDAE GEN. SP.","GERRIS SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIUS SP.","GYRINIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HYDRAENA SP.","HYDROMETRA SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MICRASEMA SP.","MYSTACIDES AZUREA","NEMOURIDAE GEN. SP.","NEPA CINEREA","NOTONECTA SP.","OLIGOCHAETA GEN. SP.","ONYCHOGOMPHUS SP.","PACIFASTACUS LENIUSCULUS","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMUS SP.","PHYSIDAE GEN. SP.","PISIDIUM SP.","PLANARIIDAE GEN. SP.","PLATYCNEMIS SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILA SP.","SCIRTIDAE GEN. SP.","SERICOSTOMA SP.","SERRATELLA SP.","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","TABANIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","THREMMA SP.","TIPULIDAE GEN. SP.","VELIIDAE GEN. SP.","WORMALDIA SP."
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-26.08.2014","26.08.2014",2014,8,26,0,0,8,0,0,80,0,0,17,0,0,0,0,0,1408,0,25,0,0,0,0,0,0,32,104,0,20,8,3,0,0,0,1,8,0,120,24,0,0,75,0,9,16,736,0,16,0,24,0,0,0,0,0,0,0,18,0,0,0,32,8,0,0,0,0,0,1,216,9,0,9,120,0,0,61,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-06.08.2015","06.08.2015",2015,8,6,0,16,32,0,0,711,0,0,0,0,0,0,0,16,768,1,33,0,0,0,0,0,0,34,336,0,1,17,17,0,16,32,0,0,0,628,0,0,16,372,0,0,288,176,3,32,0,64,0,0,1,0,0,0,0,33,0,0,0,48,0,0,0,16,0,0,0,32,147,0,17,496,0,0,48,0,16,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-24.08.2016","24.08.2016",2016,8,24,0,0,16,0,0,280,0,0,25,0,0,1,0,0,145,0,25,0,0,0,0,0,0,8,240,0,2,0,9,0,0,8,0,9,0,80,8,0,8,214,0,0,72,296,2,58,0,24,0,0,0,0,9,8,0,9,0,0,0,24,0,0,0,0,0,0,16,80,299,0,0,8,0,0,98,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-17.08.2017","17.08.2017",2017,8,17,8,0,0,0,8,48,0,0,1,0,0,1,0,0,416,0,0,0,8,0,0,0,0,16,8,0,0,0,11,0,0,0,1,0,0,32,0,0,0,36,0,24,8,393,2,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,0,0,0,80,27,0,8,12,0,0,9,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-05.06.2018","05.06.2018",2018,6,5,0,0,0,17,0,602,0,0,2,0,0,0,0,32,880,0,0,64,0,0,0,0,0,0,32,0,1,1,4,0,0,16,0,1,0,52,0,0,0,147,0,0,17,32,44,0,0,32,0,48,0,0,0,0,0,17,0,0,0,0,16,0,0,32,0,0,33,48,66,23,0,320,0,32,1,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-16.08.2019","16.08.2019",2019,8,16,0,0,24,1,0,48,0,0,2,0,0,1,0,0,544,0,1,0,0,0,0,0,0,16,40,0,0,0,6,0,0,8,0,16,0,91,0,0,0,180,0,8,0,376,0,0,0,24,0,0,0,0,0,0,0,22,0,0,0,0,0,0,11,8,0,0,0,208,11,8,3,0,0,0,1,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-01.06.2021","01.06.2021",2021,6,1,0,0,0,0,0,144,0,0,0,0,0,0,8,0,720,0,0,56,0,0,0,0,0,0,24,0,0,8,5,0,0,24,0,9,0,10,0,0,0,22,0,10,0,328,36,24,0,24,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,24,0,0,11,96,10,19,0,192,1,48,10,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-02.06.2022","02.06.2022",2022,6,2,0,0,0,1,0,96,0,0,0,0,0,0,0,0,304,0,1,32,0,0,0,0,0,8,0,0,3,2,2,0,48,16,0,9,0,8,16,0,0,32,0,8,0,176,80,40,0,24,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,8,0,1,10,64,3,24,0,0,0,16,11,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-18.08.2023","18.08.2023",2023,8,18,0,0,16,0,0,0,0,0,3,0,0,0,0,0,272,0,2,0,0,0,0,0,0,1,64,8,4,8,6,0,0,0,0,8,0,26,0,0,0,111,0,0,16,184,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,11,8,0,40,10,248,1,0,2,16,0,0,10,0,0,0,0,0
"ESP_060_MZB_LO_1","ESP_060_MZB_LO_1-04.06.2024","04.06.2024",2024,6,4,0,8,0,0,0,272,0,0,0,0,0,0,0,8,456,0,0,0,0,0,0,0,0,2,8,0,3,8,9,0,88,16,0,1,8,62,0,0,0,60,0,0,0,200,19,16,0,24,0,0,0,0,1,0,0,11,0,0,0,8,8,0,16,8,0,0,12,88,17,8,0,72,0,40,0,0,0,0,0,0
