"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGAPETUS OCHRIPES","AMPULLACEANA BALTHICA","ANCYLUS FLUVIATILIS","ANTOCHA SP.","APHELOCHEIRUS AESTIVALIS","AQUARIUS NAJAS","ASELLUS AQUATICUS","ATHERIX IBIS","ATHRIPSODES SP.","BAETIS SP.","BRACHYCENTRUS SUBNUBILUS","BRACHYCERCUS HARRISELLA","BRYCHIUS ELEVATUS","CAENIS LUCTUOSA","CAENIS MACRURA","CAENIS RIVULORUM","CALOPTERYX SPLENDENS","CENTROPTILUM LUTEOLUM","CERATOPOGONIDAE GEN. SP.","CHAOBORUS SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","CLOEON DIPTERUM","DENDROCOELUM LACTEUM","DICRANOTA SP.","DIPTERA GEN. SP.","ECDYONURUS VENOSUS","ELMIS AENEA","ELODES SP.","ELOEOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERA DANICA","EPHEMERA VULGATA","EPHEMERELLIDAE GEN. SP.","ERPOBDELLA OCTOCULATA","ERPOBDELLA TESTACEA","GAMMARIDAE GEN. SP.","GERRIS SP.","GLOSSIPHONIA SP.","GOERA PILOSA","GOMPHUS VULGATISSIMUS","HABROPHLEBIA FUSCA","HEPTAGENIA SULPHUREA","HESPEROCORIXA SAHLBERGI","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROPSYCHE PELLUCIDULA","HYDROPSYCHE SILTALAI","ISOPERLA SP.","KAGERONIA FUSCOGRISEA","LEPIDOSTOMA HIRTUM","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS VOLCKMARI","LIMNOPHORA SP.","LYMNAEA STAGNALIS","MERMITHIDAE GEN. SP.","MICRASEMA SETIFERUM SSP.","MICRONECTA SP.","MOLANNA ANGUSTATA","MUSCULIUM LACUSTRE","MYSTACIDES SP.","NEBRIOPORUS DEPRESSUS","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","NOTIDOBIA CILIARIS","NOTONECTA GLAUCA SSP.","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","OPHIOGOMPHUS CECILIA","ORECTOCHILUS VILLOSUS","OULIMNIUS TUBERCULATUS","PARALEPTOPHLEBIA SUBMARGINATA","PERLODES DISPAR","PISCICOLA GEOMETRA","PISIDIUM SP.","PLATAMBUS MACULATUS","PLECTROCNEMIA CONSPERSA SSP.","POLYCENTROPUS FLAVOMACULATUS SSP.","PSYCHODA PHALAENOIDES","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERA SP.","RHABDIOPTERYX ACUMINATA","RHYACOPHILA SP.","RIOLUS CUPREUS","SIALIS FULIGINOSA","SIGARA SP.","SILO PALLIPES","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SOMATOCHLORA METALLICA","SPHAERIUM CORNEUM","SPONGILLIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","TIPULIDAE GEN. SP.","TRICLADIDA GEN. SP.","UNIO CRASSUS SSP.","VELIA SAULII"
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-01.10.2003","01.10.2003",2003,10,1,18,0,6,18,1,0,0,53,15,13,98,0,1,0,0,0,0,0,0,0,0,2,0,0,53,10,1,74,0,2,0,6,0,3,0,0,0,0,0,0,0,0,134,0,0,7,90,0,41,0,17,190,1,106,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,3,7,1,0,0,0,116,0,0,0,0,0,0,0,2,0,0,0,44,1,0,0,0,0,0,70,1,0,0,1
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-25.09.2012","25.09.2012",2012,9,25,0,0,0,0,6,1,1,3,7,12,18,1,0,0,1,0,1,0,0,0,0,3,0,0,9,8,0,7,0,0,0,8,0,0,1,0,0,0,0,0,0,0,194,0,0,2,74,0,9,0,5,21,3,139,0,0,1,118,0,0,0,2,0,0,0,0,0,0,3,4,4,1,2,0,0,190,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,3,1,0,8,0,0,0,0
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-26.09.2013","26.09.2013",2013,9,26,0,5,7,0,4,1,0,8,8,63,14,0,0,0,0,0,0,0,0,0,1,47,0,0,9,12,0,127,0,12,1,101,0,0,0,0,0,0,0,0,0,4,69,0,1,0,16,0,35,0,17,164,0,30,0,0,2,6,0,0,0,0,0,0,0,0,0,1,4,4,2,12,4,0,0,327,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,2,0,1,13,0,0,0,0
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-26.09.2014","26.09.2014",2014,9,26,0,0,2,0,9,0,0,3,8,108,16,0,0,0,0,0,0,0,2,0,6,4,0,0,5,0,0,8,0,10,0,13,0,1,0,0,0,0,0,1,1,1,57,0,0,0,41,0,4,0,1,10,0,101,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,4,3,1,0,0,0,183,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,1,1,0,0
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-29.09.2015","29.09.2015",2015,9,29,0,0,3,0,77,2,0,10,2,385,16,0,0,0,0,0,0,0,0,0,2,6,0,0,10,9,0,19,1,1,0,12,0,0,0,0,0,0,0,0,0,1,32,0,1,0,18,0,11,0,0,19,2,80,0,0,0,15,0,0,0,0,0,0,1,0,0,0,3,4,1,1,5,0,0,68,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,4,0,3,0,0
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-22.09.2016","22.09.2016",2016,9,22,0,0,2,0,31,1,1,9,1,8,45,0,0,0,0,0,0,0,0,0,0,6,0,0,6,3,0,1,0,5,0,9,0,1,0,0,0,0,1,0,0,4,34,0,0,0,5,0,2,0,0,11,0,34,0,0,0,1,1,0,0,0,0,0,2,0,0,0,5,1,1,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-26.10.2017","26.10.2017",2017,10,26,0,1,3,0,7,1,1,1,0,40,37,1,0,0,0,0,0,0,0,0,1,24,0,1,1,0,0,1,0,3,1,3,0,0,1,0,0,0,0,0,0,0,32,1,0,1,22,0,13,0,66,4,15,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,6,0,2,0,3,0,1,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-04.10.2018","04.10.2018",2018,10,4,2,1,2,0,18,0,0,15,4,47,117,0,0,0,0,0,1,0,0,0,13,20,0,0,27,9,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,120,0,31,0,80,2,1,12,0,0,2,83,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,94,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
"EST_012_MZB_LO_10","EST_012_MZB_LO_10-23.09.2019","23.09.2019",2019,9,23,0,1,0,0,22,1,2,7,4,25,115,0,0,0,0,1,1,0,0,0,3,91,0,0,8,3,0,2,0,0,0,13,0,2,1,0,0,0,0,0,1,0,4,0,0,0,39,9,4,0,3,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,6,0,7,0,2,145,1,0,2,0,1,0,0,1,0,0,1,1,1,0,0,11,1,0,13,1,0,0,0
"EST_012_MZB_LO_8","EST_012_MZB_LO_8-19.04.2006","19.04.2006",2006,4,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,1,1,4,0,0,12,0,4,0,2,0,0,0,0,103,0,0,0,0,0,7,0,0,0,17,0,0,0,0,1,13,16,0,0,0,0,0,0,0,0,1,0,39,0,0,0,6,0,0,0,1,1,0,13,0,0,2,0,0,0,1,1,0,4,1,4,1,0,0,0,0,1,0,0,0,1,0
