"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGABUS SP.","BAETIS SP.","CHAETOPTERYGINI GEN. SP.","CORDULEGASTER BOLTONII","DICRANOTA SP.","DIURA BICAUDATA","ELMIS SP.","GLYPHOTAELIUS PELLUCIDUS","HYDRAENA SP.","LEUCTRA SP.","NECTOPORUS SANMARKII","NEMOURA SP.","NEMURELLA PICTETII","NIPHARGUS SP.","ODONTOCERUM ALBICORNE","PHILOPOTAMUS SP.","PLECTROCNEMIA CONSPERSA SSP.","POLYCELIS FELINA","POTAMOPHYLAX SP.","PROTONEMURA SP.","RHYACOPHILA SP.","SIALIS FULIGINOSA","SIMULIUM SP.","SIPHONOPERLA TORRENTIUM SSP.","STENOPHYLAX PERMISTUS","WORMALDIA SP."
"GER_020_MZB_LO_2","GER_020_MZB_LO_2-21.05.1986","21.05.1986",1986,5,21,0,0,0,0,0,0,0,1,0,20,0,0,20,0,0,0,6,650,0,20,0,0,20,1,0,0
"GER_020_MZB_LO_2","GER_020_MZB_LO_2-15.06.1989","15.06.1989",1989,6,15,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,6,0,0,0,0,0,0,0,0
"GER_020_MZB_LO_2","GER_020_MZB_LO_2-19.07.1990","19.07.1990",1990,7,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,20,0,0,0,0,6,0,0,0
"GER_020_MZB_LO_2","GER_020_MZB_LO_2-25.07.1991","25.07.1991",1991,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,6,0,6,0,65,0,0,0
"GER_020_MZB_LO_2","GER_020_MZB_LO_2-26.07.1993","26.07.1993",1993,7,26,0,20,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,65,1,0,1,0,65,0,0,0
"GER_020_MZB_LO_2","GER_020_MZB_LO_2-19.06.2000","19.06.2000",2000,6,19,0,0,0,0,6,0,0,0,0,6,20,6,0,1,0,0,0,65,0,0,20,6,0,20,0,0
"GER_020_MZB_LO_2","GER_020_MZB_LO_2-24.07.2001","24.07.2001",2001,7,24,0,0,6,0,0,0,1,0,0,6,6,0,0,6,0,0,6,20,0,0,65,6,65,0,0,0
"GER_020_MZB_LO_3","GER_020_MZB_LO_3-21.05.1986","21.05.1986",1986,5,21,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,6,20,0,20,0,0,6,1,6,0
"GER_020_MZB_LO_3","GER_020_MZB_LO_3-15.06.1989","15.06.1989",1989,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200,0,20,1,0,0,0,0,0
"GER_020_MZB_LO_3","GER_020_MZB_LO_3-26.07.1993","26.07.1993",1993,7,26,1,6,0,0,0,0,0,0,0,20,0,20,0,0,6,0,6,200,0,0,0,6,66,0,0,0
"GER_020_MZB_LO_3","GER_020_MZB_LO_3-10.07.2000","10.07.2000",2000,7,10,0,6,0,1,0,0,0,0,6,65,0,6,0,0,1,1,0,20,0,0,6,20,20,0,0,1
"GER_020_MZB_LO_3","GER_020_MZB_LO_3-24.07.2001","24.07.2001",2001,7,24,0,20,0,0,0,6,0,0,0,1,0,0,0,0,6,0,20,200,0,0,20,1,1,0,0,6
