"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACILIUS CANALICULATUS","AMPULLACEANA BALTHICA","ANCYLUS FLUVIATILIS","AQUARIUS NAJAS","ASELLUS AQUATICUS","ATHERIX IBIS","BAETIS SP.","BRACHYCENTRUS MACULATUS","BRACHYPTERA SP.","BYTHINELLA RUFESCENS","CAENIS BESKIDENSIS","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CENTROPTILUM LUTEOLUM","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CORDULEGASTER BOLTONII","DERONECTES LATUS","DICRANOTA SP.","DIXA PUBERULA","DUGESIA SP.","ECDYONURUS SP.","ELMIS SP.","ELODES MINUTA-GR.","ELODES MINUTUS-GR.","EMPIDIDAE GEN. SP.","EPEORUS ASSIMILIS","EPHEMERA SP.","EPHEMERELLIDAE GEN. SP.","ERPOBDELLA SP.","ESOLUS SP.","GAMMARUS SP.","GLOSSIPHONIA SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIUS SP.","GYRAULUS ALBUS","GYRAULUS PARVUS","HELOBDELLA STAGNALIS","HEPTAGENIA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROPSYCHE SP.","HYDROPTILA SP.","IBISIA MARGINATA","ISOPERLA SP.","ITHYTRICHIA LAMELLARIS","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LIPONEURA BREVIROSTRIS/DECIPIENS/VIMMERI","LIPONEURA DECIPIENS","LIPONEURA VIMMERI","MICRASEMA LONGULUM","MICRASEMA MINIMUM","MICRONECTA SP.","MYSTACIDES AZUREA","MYSTACIDES NIGRA","NEBRIOPORUS ELEGANS","NECTOPORUS SANMARKII","NEMATOMORPHA GEN. SP.","NEMOURA SP.","NIPHARGUS SP.","NOTIDOBIA CILIARIS","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OECISMUS MONEDULA MONEDULA","OLIGOCHAETA GEN. SP.","OLIGONEURIELLA RHENANA","ORECTOCHILUS VILLOSUS","OULIMNIUS TUBERCULATUS","PERLA SP.","PERLODES SP.","PHILOPOTAMUS MONTANUS MONTANUS","PHYSELLA SP.","PISCICOLIDAE GEN. SP.","PISIDIUM SP.","PLATAMBUS MACULATUS","PLECTROCNEMIA SP.","POLYCELIS SP.","POLYCENTROPUS FLAVOMACULATUS FLAVOMACULATUS","POLYCENTROPUS IRRORATUS","POTAMOPYRGUS ANTIPODARUM","PROSIMULIUM SP.","PROTONEMURA SP.","PSYCHOMYIA PUSILLA","PTYCHOPTERA SP.","RADIX BALTHICA/LABIATA","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMA SP.","SIALIS FULIGINOSA","SIMULIUM SP.","SIPHONOPERLA SP.","TABANIDAE GEN. SP.","THEODOXUS FLUVIATILIS SSP.","TINODES SP.","TIPULIDAE GEN. SP.","TROCHETA BYKOWSKII","WORMALDIA SP."
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-10.03.2005","10.03.2005",2005,3,10,0,0,33,0,0,0,168,0,105,0,27,0,0,0,12,900,0,0,60,0,0,30,111,0,0,0,81,48,141,0,12,159,60,12,21,0,0,0,0,0,0,39,39,0,0,93,0,0,0,153,108,222,69,0,0,0,0,0,9,0,0,0,0,0,0,0,141,0,0,0,12,0,12,0,21,0,12,9,0,0,0,33,0,0,0,15,0,0,213,0,0,0,0,171,12,141,0,0,12,0,0,0,0,12,0
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-02.05.2016","02.05.2016",2016,5,2,0,0,6,0,0,0,200,0,4,0,0,0,0,0,0,69,0,0,5,0,1,36,63,0,0,0,65,20,20,0,1,200,3,76,112,0,0,0,0,0,0,8,30,0,0,65,0,0,3,300,12,16,27,0,0,56,0,9,0,0,1,0,0,0,1,0,0,0,0,0,2,0,125,0,6,0,8,0,0,0,0,0,0,0,0,1,0,0,2,12,0,0,0,350,12,65,0,15,1,0,0,0,0,3,0
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-18.05.2017","18.05.2017",2017,5,18,0,0,26,0,0,0,225,0,25,0,0,0,0,0,0,25,0,0,55,0,18,14,54,0,0,0,45,15,39,0,86,100,3,0,44,0,0,0,0,0,0,6,12,0,1,22,0,0,0,15,30,52,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,110,90,0,0,0,200,28,15,0,18,0,0,0,0,0,5,0
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-25.03.2018","25.03.2018",2018,3,25,0,0,3,0,0,0,39,0,57,0,0,0,0,0,0,21,0,0,3,0,3,6,3,0,0,0,75,9,0,6,0,861,3,0,0,0,0,0,0,0,0,0,15,0,0,27,0,0,0,15,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,117,0,6,0,45,0,0,0,0,6,0,0,0,0,0,0,27,0,0,3,0,216,0,30,0,21,3,3,0,0,0,0,0
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-27.03.2020","27.03.2020",2020,3,27,0,0,4,0,0,0,56,0,93,0,0,0,0,0,0,6,0,0,13,0,4,9,92,0,0,0,0,0,74,0,0,141,0,5,28,0,0,0,0,0,0,72,12,0,0,33,0,2,0,106,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,78,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,103,19,0,0,0,93,3,5,0,10,0,0,0,0,0,0,0
"GER_047_MZB_LO_1","GER_047_MZB_LO_1-15.05.2022","15.05.2022",2022,5,15,0,0,8,5,0,0,74,0,1,7,0,1,1,0,0,28,0,0,8,0,21,1,42,0,0,0,14,15,23,0,4,82,7,12,9,1,0,0,0,0,0,6,14,0,0,13,0,2,0,28,3,51,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40,0,4,0,5,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,54,13,16,1,85,0,7,0,0,0,2,0
"GER_047_MZB_LO_2","GER_047_MZB_LO_2-09.03.2007","09.03.2007",2007,3,9,0,0,0,0,0,9,135,24,2,0,0,0,0,0,0,30,0,0,27,0,81,3,0,0,0,9,24,51,57,9,0,210,3,9,99,0,0,0,0,18,0,6,45,0,0,18,0,210,0,0,0,78,36,0,12,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,21,0,0,0,0,0,16,0,0,3,0,15,15,0,0,0,33,0,75,0,18,0,0,0,0,0,0,0
"GER_047_MZB_LO_2","GER_047_MZB_LO_2-17.04.2012","17.04.2012",2012,4,17,0,27,58,0,0,39,1531,145,0,0,0,20,20,31,6,300,0,0,1,0,108,19,696,0,0,6,0,202,143,4,0,9,1,485,53,0,6,0,0,71,0,43,225,0,0,34,1379,99,206,8,0,223,79,0,6,0,0,0,6,87,0,2,0,1,9,0,0,0,0,0,6,0,55,0,6,84,0,2,0,0,0,54,0,0,49,7,0,0,0,0,1,0,0,75,22,15,0,167,1,7,0,0,0,0,0
"GER_047_MZB_LO_2","GER_047_MZB_LO_2-06.05.2016","06.05.2016",2016,5,6,0,20,1,0,0,0,200,178,0,0,0,7,7,0,0,219,0,1,0,0,14,21,78,0,0,0,20,20,33,26,0,34,2,300,231,0,0,0,0,57,0,0,200,6,0,20,65,33,65,2,0,23,40,0,0,0,0,0,24,97,0,0,1,1,1,0,0,0,0,0,14,0,7,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,15,0,0,54,17,168,0,45,0,1,0,0,0,0,0
"GER_047_MZB_LO_2","GER_047_MZB_LO_2-09.04.2018","09.04.2018",2018,4,9,0,0,3,0,0,0,271,2,0,0,0,0,0,0,0,40,0,0,3,0,8,0,9,0,0,0,0,8,0,24,0,0,5,0,2,0,0,0,2,0,0,0,51,0,0,0,0,99,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,60,0,9,2,0,5,0,0,0,0
