"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACILIUS CANALICULATUS","AESHNA CYANEA","AGABUS SP.","AGAPETUS SP.","ALLOTRICHIA PALLICORNIS","AMPHINEMURA SP.","AMPULLACEANA BALTHICA","ANACAENA GLOBULUS","ANACAENA LUTESCENS","APHELOCHEIRUS AESTIVALIS","AQUARIUS PALUDUM PALUDUM","ASELLUS AQUATICUS","ATHERIX IBIS","ATRICHOPS CRASSIPES","BAETIDAE GEN. SP.","BERAEODES MINUTUS","BRACHYCENTRUS MACULATUS","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA SP.","CAENIS SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CERATOPOGONIDAE GEN. SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORBICULA SP.","CORDULEGASTER BOLTONII","CRENOBIA ALPINA","DENDROCOELUM LACTEUM","DERONECTES LATUS","DICRANOTA SP.","DICTYOGENUS SP.","DIXA SP.","DOLICHOPODIDAE GEN. SP.","DUGESIA SP.","ECDYONURUS SP.","ELECTROGENA UJHELYII","ELMIS SP.","ELODES SP.","EMPIDIDAE GEN. SP.","EPEORUS ASSIMILIS","EPHEMERA SP.","EPHEMERELLA MUCRONATA","EPHEMERELLA NOTATA","EPHYDATIA FLUVIATILIS","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","GALBA TRUNCATULA","GAMMARUS SP.","GERRIS LACUSTRIS","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMA SP.","GOERIDAE GEN. SP.","GOMPHUS VULGATISSIMUS","HAEMOPIS SANGUISUGA","HALIPLUS SP.","HELOCHARES LIVIDUS","HELOPHORUS FLAVIPES/OBSCURUS","HEPTAGENIA SP.","HYDRA SP.","HYDRAENA SP.","HYDROBIUS FUSCIPES","HYDROPSYCHE SP.","HYDROPTILA SP.","IBISIA MARGINATA","ISOPERLA SP.","ITHYTRICHIA LAMELLARIS","LACCOBIUS STRIATULUS","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIBELLULA DEPRESSA","LIBELLULA FULVA","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LIPONEURA BREVIROSTRIS/DECIPIENS/VIMMERI","LIPONEURA DECIPIENS","LIPONEURA VIMMERI","LISPE SP.","LYPE SP.","MICRASEMA LONGULUM","MICRASEMA MINIMUM","MICRONECTA SP.","NEBRIOPORUS ELEGANS","NECTOPORUS SANMARKII","NEMOURA SP.","NEPA CINEREA","NIPHARGUS SP.","NOTIDOBIA CILIARIS","NOTONECTIDAE GEN. SP.","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OECISMUS MONEDULA MONEDULA","OLIGOCHAETA GEN. SP.","OLIGONEURIELLA RHENANA","ORCONECTES LIMOSUS","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PEDICIA SP.","PERLIDAE GEN. SP.","PERLODES SP.","PHILOPOTAMUS MONTANUS MONTANUS","PHYSA FONTINALIS","PHYSELLA SP.","PISCICOLA GEOMETRA","PISIDIUM SP.","PLANORBIDAE GEN. SP.","PLATAMBUS MACULATUS","PLATYCNEMIS PENNIPES","POLYCELIS SP.","POLYCENTROPODIDAE GEN. SP.","POTAMOPYRGUS ANTIPODARUM","PROASELLUS COXALIS","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","PTYCHOPTERIDAE GEN. SP.","RADIX SP.","RANATRA LINEARIS","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SIALIS FULIGINOSA","SIALIS LUTARIA","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","SPHAERIUM SP.","STAGNICOLA SP.","STRATIOMYIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","THEODOXUS FLUVIATILIS SSP.","TINODES SP.","TIPULIDAE GEN. SP.","TORLEYA MAJOR","TURBELLARIA GEN. SP.","UNIO SP.","VELIA SP.","WORMALDIA SP.","ZYGOPTERA GEN. SP."
"GER_047_MZB_LO_10","GER_047_MZB_LO_10-11.04.2005","11.04.2005",2005,4,11,0,0,0,4,0,4,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,7,0,137,0,0,0,0,0,0,4,0,0,0,0,0,0,26,0,8,0,0,41,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,11,0,0,15,0,0,7,0,0,0,245,82,4,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,19,4,0,0,4,23,0,0,0,0,0,7,0,0,4,7,0,0,0,0,30,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_10","GER_047_MZB_LO_10-24.04.2008","24.04.2008",2008,4,24,0,0,0,7,0,0,0,0,0,0,0,1,0,0,60,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7,0,26,7,5,0,0,20,0,0,1,0,0,815,0,2,0,8,0,0,0,0,0,0,0,0,0,425,0,0,37,0,0,8,0,0,0,0,0,0,133,151,0,10,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,35,0,0,0,0,0,0,2,0,0,0,0,5,7,0,0,3,0,0,0,0,0,0,0,0,0,160,11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_10","GER_047_MZB_LO_10-16.05.2014","16.05.2014",2014,5,16,0,0,0,1,0,0,0,2,0,0,0,0,0,0,79,6,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,27,0,55,0,0,1,26,0,0,0,3,0,0,1946,1,0,0,6,0,0,0,0,0,0,0,1,0,64,0,0,6,0,0,6,0,0,0,0,0,0,571,338,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,0,0,0,37,1,6,0,11,16,0,0,31,18,0,0,0,1,62,20,33,1698,4,0,16,2,0,0,0,0,1,14,0,0,0,0,0,0,3,0,0
"GER_047_MZB_LO_10","GER_047_MZB_LO_10-06.05.2017","06.05.2017",2017,5,6,0,0,0,1,0,0,0,0,0,0,0,8,0,0,24,0,0,0,0,0,0,0,7,0,239,0,0,1,0,0,0,19,0,0,0,0,26,0,54,1,37,0,99,64,0,0,0,0,0,689,0,7,0,50,0,0,0,0,0,0,0,0,0,729,0,0,1,0,0,6,0,0,0,0,0,0,944,553,0,0,0,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,90,0,0,0,6,0,0,0,0,0,0,0,13,37,9,0,0,18,0,0,0,0,0,0,0,0,30,0,93,24,0,0,0,7,1,0,0,0,0,18,0,12,0,0,0,0,0,0,0
"GER_047_MZB_LO_10","GER_047_MZB_LO_10-21.03.2019","21.03.2019",2019,3,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,0,0,7,0,0,0,0,0,55,0,0,0,0,0,0,10,0,0,0,0,0,0,16,4,0,0,16,18,0,0,1,0,0,180,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,1,0,0,2,0,0,0,0,0,0,30,81,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,58,7,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_11","GER_047_MZB_LO_11-29.03.2005","29.03.2005",2005,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,24,0,0,0,11,0,0,3,14,3,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,3,0,3,0,0,0,0,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_11","GER_047_MZB_LO_11-05.04.2006","05.04.2006",2006,4,5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,180,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_11","GER_047_MZB_LO_11-24.04.2008","24.04.2008",2008,4,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1860,0,0,0,5,0,0,0,0,0,66,0,0,0,0,0,0,20,0,0,0,7,0,0,15,20,5,0,0,0,0,0,0,0,0,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,31,0,0,5,0,0,0,0,0,0,20,6,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_11","GER_047_MZB_LO_11-19.04.2017","19.04.2017",2017,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,12,0,2890,0,0,0,0,0,0,6,0,12,0,13,0,0,69,0,24,0,0,0,0,0,0,0,0,1985,0,8,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,159,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,6,0,0,0,14,35,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"GER_047_MZB_LO_11","GER_047_MZB_LO_11-22.03.2019","22.03.2019",2019,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,17,0,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
