"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXUS LACUSTRIS","ADICELLA REDUCTA","AESHNA SP.","AGABUS SP.","AGAPETUS SP.","AMPHINEMURA SP.","AMPULLACEANA BALTHICA","ANACAENA SP.","ANODONTA SP.","APHELOCHEIRUS AESTIVALIS","ASELLUS AQUATICUS","ATHERICIDAE GEN. SP.","ATHRIPSODES SP.","BAETIS SP.","BITHYNIA SP.","BRACHYCENTRUS SP.","BRACHYCERCUS HARRISELLA","BRACHYPTERA SP.","BRYCHIUS ELEVATUS","BRYOZOA GEN. SP.","CAENIS SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CAPNIA SP.","CENTROPTILUM LUTEOLUM","CERACLEA SP.","CERATOPOGONIDAE GEN. SP.","CHAETARTHRIA SEMINULUM","CHELICOROPHIUM SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","CHLOROPERLA SP.","CHRYSOPILUS SP.","CLOEON SP.","COENAGRIONIDAE GEN. SP.","CORBICULA FLUMINEA","CORDULEGASTER SP.","CORDULIA AENEA","CORIXIDAE GEN. SP.","CRENOBIA ALPINA","CRISTATELLA MUCEDO","CULICIDAE GEN. SP.","DENDROCOELUM LACTEUM","DIKEROGAMMARUS HAEMOBAPHES","DIKEROGAMMARUS VILLOSUS","DINOCRAS SP.","DIXA SP.","DIXELLA SP.","DREISSENA POLYMORPHA","DUGESIA SP.","ECDYONURUS SP.","ELECTROGENA UJHELYII","ELMIS SP.","ELODES SP.","EMPIDIDAE GEN. SP.","EPEORUS SP.","EPHEMERA SP.","EPHEMERELLA MUCRONATA","EPHEMERELLA NOTATA","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","FREDERICELLA SULTANA","GALBA SP.","GAMMARUS SP.","GERRIS SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMA SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","HABROLEPTOIDES SP.","HABROPHLEBIA SP.","HAEMOPIS SANGUISUGA","HALIPLUS SP.","HAPALOTHRIX LUGUBRIS","HELOPHORUS SP.","HEPTAGENIA SP.","HYDRA SP.","HYDRAENA SP.","HYDROBIUS FUSCIPES","HYDROCHARA CARABOIDES","HYDROMETRA STAGNORUM","HYDROPORINAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","HYDROZOA GEN. SP.","HYPANIA INVALIDA","ILYBIUS SP.","ILYOCORIS CIMICOIDES SSP.","KAGERONIA FUSCOGRISEA","LACCOBIUS BIPUNCTATUS","LACCOPHILUS HYALINUS","LACCOPHILUS MINUTUS","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERUS INTERRUPTUS","LEPTOPHLEBIA MARGINATA","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMONIIDAE GEN. SP.","LIPONEURA CINERASCENS SSP.","LITHOGLYPHUS NATICOIDES","LYPE SP.","MACRONYCHUS QUADRITUBERCULATUS","MICRASEMA SP.","MOLANNA SP.","MUSCULIUM LACUSTRE","MYSTACIDES SP.","NEMATOCERA GEN. SP.","NEMOURA SP.","NEMURELLA PICTETII","NEPA CINEREA","NOTIDOBIA CILIARIS","NOTONECTA SP.","OCHTHEBIUS SP.","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OECETIS SP.","OLIGOCHAETA GEN. SP.","OLIGONEURIELLA RHENANA","ORCONECTES LIMOSUS","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PACIFASTACUS LENIUSCULUS","PARALEPTOPHLEBIA SUBMARGINATA","PEDICIIDAE GEN. SP.","PEREGRIANA LABIATA","PERLA SP.","PERLODIDAE GEN. SP.","PHYSA FONTINALIS","PHYSELLA ACUTA","PISCICOLIDAE GEN. SP.","PISIDIUM SP.","PLANARIA TORVA","PLANORBIDAE GEN. SP.","PLATAMBUS MACULATUS","PLATYCNEMIS PENNIPES","PLEA MINUTISSIMA SSP.","PLUMATELLA SP.","POLYCELIS SP.","POLYCENTROPODIDAE GEN. SP.","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PROASELLUS SP.","PROCLOEON BIFIDUM","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","PTYCHOPTERA SP.","RADIX SP.","RHABDIOPTERYX SP.","RHITHROGENA SP.","RHYACOPHILA SP.","RIOLUS SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SETODES PUNCTATUS","SETODES VIRIDIS","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","SISYRA SP.","SPHAERIUM SP.","SPONGILLIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SYNAGAPETUS DUBITANS","TABANIDAE GEN. SP.","TAENIOPTERYX SP.","TINODES SP.","TIPULIDAE GEN. SP.","TORLEYA MAJOR","UNIO SP.","VALVATA CRISTATA","VALVATA PISCINALIS SSP.","VELIA SP.","VIVIPARUS SP.","ZYGOPTERA GEN. SP."
"GER_069_MZB_LO_1","GER_069_MZB_LO_1-26.04.2007","26.04.2007",2007,4,26,0,0,0,0,0,0,0,0,0,0,3,0,39,0,0,2,0,0,0,0,91,0,0,0,4,3,58,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_1","GER_069_MZB_LO_1-17.05.2011","17.05.2011",2011,5,17,0,0,0,0,0,0,0,0,0,0,3,0,22,0,1,0,0,0,0,0,7,1,1,0,16,0,1,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,2000,0,0,0,2,0,0,0,0,0,0,0,0,0,230,1,1,0,0,0,0,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_1","GER_069_MZB_LO_1-29.05.2012","29.05.2012",2012,5,29,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,2,1,0,0,0,65,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,231,0,0,0,4,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_1","GER_069_MZB_LO_1-27.04.2015","27.04.2015",2015,4,27,0,1,0,0,0,0,0,0,0,0,3,0,90,1,1,2,0,0,0,0,425,0,0,0,0,25,1,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,1,0,0,0,240,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_1","GER_069_MZB_LO_1-19.04.2018","19.04.2018",2018,4,19,0,0,0,0,0,0,0,0,0,0,44,0,145,0,4,5,0,0,0,0,200,0,0,0,11,55,5,0,51,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,17,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_11","GER_069_MZB_LO_11-05.02.2007","05.02.2007",2007,2,5,0,0,0,0,0,0,0,0,0,0,20,2,0,625,0,5,0,1,0,0,5,0,0,0,0,0,2,0,0,0,63,7,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,7,0,0,5,0,0,0,6,0,14,1,13,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,5,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,14,0,0,0,6,0,0,69,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,3,0,5,14,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
"GER_069_MZB_LO_11","GER_069_MZB_LO_11-06.03.2013","06.03.2013",2013,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,0,1,0,0,32,0,0,0,0,0,1,0,0,0,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,2,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_11","GER_069_MZB_LO_11-18.03.2018","18.03.2018",2018,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,0,3,0,0,0,0,0,0,0,0,27,0,0,0,596,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,35,0,0,0,1,0,2,0,15,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,2,20,3,0,0,0,0,0,0,0,0,0,3,5,5,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GER_069_MZB_LO_11","GER_069_MZB_LO_11-08.02.2019","08.02.2019",2019,2,8,0,0,0,0,0,0,0,0,0,0,1,5,1,57,0,65,0,20,0,0,0,20,20,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,1,0,0,7,0,0,0,0,0,0,20,9,0,0,1000,0,2,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,6,0,0,0,3,0,0,20,0,0,1,0,0,65,0,0,0,0,3,0,8,0,0,0,0,0,0,0,1,0,1,20,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0
"GER_069_MZB_LO_11","GER_069_MZB_LO_11-17.02.2020","17.02.2020",2020,2,17,0,0,0,0,0,0,0,0,0,0,4,0,0,1035,0,2,0,33,0,0,0,4,4,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,9,0,0,4,20,0,13,3,5,0,0,1058,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,20,0,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,3,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,4,6,0,1,7,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
