"Unique.ID","Samp.ID","Sampling.date","year","month","day","ABLABESMYIA MONILIS","ACENTRIA EPHEMERELLA","ACROLOXUS LACUSTRIS","AESHNIDAE GEN. SP.","AGRYPNIA OBSOLETA","AGRYPNIA PAGETANA","AGRYPNIA VARIA","ALBOGLOSSIPHONIA HETEROCLITA","AMETROPUS SP.","AMPULLACEANA AMPLA","AMPULLACEANA BALTHICA","AMPULLACEANA LAGOTIS","ANODONTA SP.","APATANIA SP.","APHELOCHEIRUS AESTIVALIS","AQUARIUS NAJAS","ASELLUS AQUATICUS","ASTACUS SP.","ATHERICIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEA SP.","BERAEODES MINUTUS","BITHYNIA SP.","BORYSTHENIA NATICINA","BRACHYCENTRUS SP.","CAENIDAE GEN. SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CAPNIA SP.","CAPNOPSIS SCHILLERI SSP.","CATACLYSTA LEMNATA","CERATOPOGONIDAE GEN. SP.","CHAOBORUS SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLA SP.","CHRYSOPILUS SP.","COENAGRIONIDAE GEN. SP.","CORDULEGASTER BOLTONII","CORDULIA AENEA","CORIXIDAE GEN. SP.","COROPHIIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","CRUNOECIA SP.","CULICIDAE GEN. SP.","CYLINDROTOMIDAE GEN. SP.","DENDROCOELUM LACTEUM","DICRANOTA BIMACULATA","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DREISSENA POLYMORPHA","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ECHINOGAMMARUS WARPACHOWSKYI","ELMIDAE GEN. SP.","ELOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","EPHEMERELLA SP.","EPHYDRIDAE GEN. SP.","EPITHECA BIMACULATA","ERPOBDELLA SP.","EURYLOPHELLA KARELICA","GALBA TRUNCATULA","GAMMARUS SP.","GLOSSIPHONIA SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHUS SP.","GORDIUS AQUATICUS","GYRINIDAE GEN. SP.","HAEMOPIS SANGUISUGA","HALIPLIDAE GEN. SP.","HELOBDELLA SP.","HELOPHORUS SP.","HEMICLEPSIS MARGINATA","HEPTAGENIA SP.","HYDRAENIDAE GEN. SP.","HYDROCHUS SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","ILYOCORIS CIMICOIDES SSP.","ISOPTENA SERRICORNIS","KAGERONIA FUSCOGRISEA","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTIDAE GEN. SP.","LEUCTRA SP.","LIBELLULA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LITHOGLYPHUS NATICOIDES","LYMNAEA SP.","LYPE PHAEOPA","LYPE REDUCTA","MICRASEMA SP.","MOLANNA SP.","MUSCIDAE GEN. SP.","MYSIDAE GEN. SP.","MYXAS GLUTINOSA","NEMOURA SP.","NEMURELLA PICTETII","NEPA CINEREA","NOTIDOBIA CILIARIS","NOTONECTA SP.","OBESOGAMMARUS CRASSUS","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","OLIGOSTOMIS RETICULATA","OMPHISCOLA GLABRA","ONYCHOGOMPHUS FORCIPATUS","OPHIOGOMPHUS CECILIA","ORCONECTES LIMOSUS","ORTHETRUM SP.","PARAPOYNX SP.","PEDICIA SP.","PEREGRIANA PEREGRA","PERLODIDAE GEN. SP.","PHRYGANEA BIPUNCTATA","PHRYGANEA GRANDIS SSP.","PHYSA SP.","PHYSELLA ACUTA","PISCICOLA GEOMETRA","PLACOBDELLA COSTATA","PLANARIA SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIS SP.","PLEA SP.","POLYCENTROPODIDAE GEN. SP.","PONTOGAMMARUS SP.","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PROTONEMURA SP.","PSEUDANODONTA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA SP.","PTYCHOPTERA SP.","RADIX SP.","RANATRA LINEARIS","RHYACOPHILIDAE GEN. SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SIALIS SP.","SIMULIIDAE GEN. SP.","SOMATOCHLORA SP.","SPHAERIIDAE GEN. SP.","STAGNICOLA CORVUS","STAGNICOLA PALUSTRIS","STRATIOMYIDAE GEN. SP.","SYMPETRUM SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","THEODOXUS FLUVIATILIS SSP.","THEROMYZON TESSULATUM","TINODES SP.","TIPULIDAE GEN. SP.","UNIO SP.","VALVATA SP.","VIVIPARUS SP."
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,22,0,0,33,0,0,0,0,40,0,8,8,0,0,0,0,0,59,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,25,0,0,66,0,0,0,3,0,2,0,0,0,0,0,29,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2011","03.10.2011",2011,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,169,0,0,140,0,0,0,0,72,0,189,189,0,0,0,0,0,217,0,0,0,0,49,0,16,0,0,0,0,0,0,88,0,0,0,0,0,0,92,0,0,0,0,0,0,69,0,0,157,0,0,0,56,0,0,0,0,0,0,0,24,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,64,0,72,76,0,0,0,0,64,0,0,0,0,1,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,85,0,0,0
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,16,19,0,0,18,51,0,0,28,28,0,0,0,0,0,214,0,0,0,0,0,0,39,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,24,0,0,0,44,0,0,54,0,0,0,8,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,58,0,0,0,0,24,17,0,0
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-07.10.2013","07.10.2013",2013,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,37,0,58,234,0,0,0,0,92,0,21,21,0,0,0,0,0,271,0,0,21,0,0,25,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,35,0,0,0,9,0,0,0,0,0,0,0,149,0,0,0,372,0,0,0,37,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,116,0,0,0,0,0,36,0,0,0,0,68,4,0,0
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-06.10.2014","06.10.2014",2014,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,22,0,10,60,0,0,20,24,39,0,39,39,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,46,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,46,0,0,0
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-05.10.2015","05.10.2015",2015,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,46,0,0,0,26,62,18,4,4,8,0,0,0,0,59,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,48,0,0,0,0,0,0,38,0,0,0,0,0,0,78,75,0,0,0,0,35,16,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,30,0,271,0,0,0,0,0,8,0,18,0,0,67,18,0,0
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-03.10.2016","03.10.2016",2016,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,47,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,413,0,0,6,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,49,1,0,0,0,0,0,0,0,3,0,0,25,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,491,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,34,0,0,0,0,0,6,0,0,0,0,1,0,0,22
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-02.10.2017","02.10.2017",2017,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,119,0,0,12,0,0,28,22,22,0,0,0,0,0,58,0,0,0,0,0,23,0,38,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,6,0,0,0,8,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,87,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,48,0,37,0,0,0,0,0,6,0,0,0,0,0,0,0,4
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-05.10.2020","05.10.2020",2020,10,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,62,0,0,18,26,0,0,24,24,0,0,0,0,0,56,0,0,9,0,6,11,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,39,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,6,7,1,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,51,0,0,0,0,0,8,0,0,0,0,18,1,0,0
"LTU_053_MZB_LO_10","LTU_053_MZB_LO_10-29.09.2010","29.09.2010",2010,9,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,87,0,16,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,140,0,0,61,0,0,0,0,0,0,0,0,1,14,0,0,11,0,0,0,0,0,31,0,0,0,13,0,0,0,0,48,0,1,25,0,117,0,0,15,0,3,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,4,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,0,8,0,0,0,0,0,1,0,0,0,0,4,0,0,0
