"Unique.ID","Samp.ID","Sampling.date","year","month","day","AMPHINEMURA SP.","ASELLUS AQUATICUS","ASTACUS ASTACUS","BAETIS SP.","CAENIS HORARIA","CHIRONOMIDAE GEN. SP.","COLEOPTERA GEN. SP.","DIPTERA GEN. SP.","ELMIS AENEA","EPHEMERA DANICA","EPHEMERELLA MUCRONATA","ERPOBDELLA OCTOCULATA","GASTROPODA GEN. SP.","HELOBDELLA STAGNALIS","HEPTAGENIA SP.","HIRUDINEA GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDROPSYCHE SP.","ISOPERLA SP.","ITHYTRICHIA LAMELLARIS","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS VOLCKMARI","MICRASEMA SETIFERUM SSP.","OLIGOCHAETA GEN. SP.","OULIMNIUS SP.","OXYETHIRA SP.","PEREGRIANA LABIATA","PLANORBIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PROTONEMURA MEYERI","RHYACOPHILA NUBILA","SERICOSTOMA PERSONATUM","SERRATELLA IGNITA","SILO PALLIPES","SIMULIIDAE GEN. SP.","SIPHONOPERLA BURMEISTERI","SPHAERIIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","TRICHOPTERA GEN. SP.","WORMALDIA SP."
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.10.1997","17.10.1997",1997,10,17,107,32,0,1232,0,960,368,0,0,21,0,0,272,0,53,0,43,533,107,416,32,5,0,32,0,0,320,16,0,0,0,0,54,32,53,0,0,0,21,0,544,11,0,0
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-20.08.1998","20.08.1998",1998,8,20,192,0,0,3520,0,1908,1216,64,0,0,0,0,960,0,236,0,352,2752,20,384,60,0,0,80,0,0,2284,64,0,0,0,0,60,212,428,0,192,0,128,40,3136,0,0,40
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-02.08.1999","02.08.1999",1999,8,2,0,0,0,450,0,608,64,0,0,0,0,0,24,0,2,0,8,234,0,34,0,0,0,4,2,0,16,24,0,0,0,0,16,0,26,0,30,0,12,0,64,0,0,0
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-10.10.2000","10.10.2000",2000,10,10,4,4,1,1088,0,1168,60,0,32,0,4,0,113,0,8,0,32,1796,16,4,4,8,8,4,0,28,4,48,0,0,8,100,44,8,208,0,0,0,0,0,272,0,0,0
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-22.08.2001","22.08.2001",2001,8,22,0,0,0,400,0,880,248,16,160,3,0,0,138,0,11,0,32,1562,3,8,8,3,0,3,0,48,224,6,16,0,2,136,10,10,32,3,3,0,6,0,32,0,24,0
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-06.08.2002","06.08.2002",2002,8,6,0,0,0,2526,0,2336,768,64,448,0,0,0,648,0,4,0,64,7440,0,40,0,8,0,16,0,256,256,8,0,0,16,632,72,64,240,0,0,40,48,0,752,0,0,0
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-02.08.2003","02.08.2003",2003,8,2,32,0,0,1024,0,4800,832,0,576,0,0,32,1344,0,64,32,256,8846,16,32,0,0,0,16,0,192,2304,64,0,0,0,1344,128,0,240,32,224,0,32,0,2240,0,0,0
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-12.10.2004","12.10.2004",2004,10,12,48,0,0,1984,0,1088,288,0,160,0,0,0,1520,8,96,8,0,5824,24,160,8,24,0,32,0,96,576,48,0,0,48,1472,80,48,136,16,0,0,16,8,2176,0,8,0
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-03.08.2005","03.08.2005",2005,8,3,0,0,0,1920,0,5888,232,0,112,0,0,16,592,0,16,16,0,7648,0,16,0,0,0,0,0,96,56,32,0,0,16,576,32,8,64,8,80,0,16,0,704,0,0,16
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-02.08.2007","02.08.2007",2007,8,2,4,0,0,2768,0,1780,288,0,224,0,0,0,304,0,196,0,64,900,0,80,4,0,0,12,0,64,896,48,0,4,0,304,24,12,64,0,44,0,40,0,40,0,0,32
"NOR_055_MZB_LO_1","NOR_055_MZB_LO_1-17.08.2008","17.08.2008",2008,8,17,8,0,0,1304,0,4352,106,0,74,0,0,0,1152,0,80,0,8,3728,0,0,0,0,8,32,0,24,1024,32,0,0,0,1152,16,16,48,0,0,0,32,0,288,0,16,32
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-17.10.1997","17.10.1997",1997,10,17,0,0,0,1845,0,176,5,16,0,0,0,0,48,0,64,0,32,2656,37,5,0,5,0,0,0,0,5,11,0,0,0,0,11,0,80,0,0,0,27,0,400,0,0,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-20.08.1998","20.08.1998",1998,8,20,0,16,0,368,0,368,40,0,0,0,0,0,40,0,16,0,16,3288,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,7,16,0,21,0,144,0,405,0,0,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-02.08.1999","02.08.1999",1999,8,2,0,4,0,701,0,392,26,0,0,0,0,0,112,0,4,0,0,1952,1,3,0,4,0,2,0,0,0,56,0,0,0,0,96,0,64,0,7,0,192,0,664,0,0,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-10.10.2000","10.10.2000",2000,10,10,32,0,0,2240,0,536,40,24,8,0,0,0,20,0,35,0,0,756,11,224,13,0,0,24,0,32,848,16,0,0,0,20,203,48,120,11,0,0,0,0,184,0,0,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-22.08.2001","22.08.2001",2001,8,22,2,0,0,242,2,336,48,0,0,0,0,0,12,0,6,0,0,1016,0,4,0,6,0,0,0,48,0,8,0,0,1,10,14,0,2,0,14,0,40,0,40,0,2,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-06.08.2002","06.08.2002",2002,8,6,0,10,0,218,0,264,8,0,0,0,0,0,320,0,4,0,0,792,0,2,0,6,2,0,0,6,2,6,0,0,72,248,116,0,10,0,4,0,160,0,165,0,0,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-02.08.2003","02.08.2003",2003,8,2,0,192,0,1640,0,1632,24,0,0,0,0,0,320,0,40,0,0,7155,0,0,0,16,8,8,0,24,0,64,0,0,0,320,80,0,104,0,200,0,928,0,1216,0,24,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-12.10.2004","12.10.2004",2004,10,12,4,4,0,564,8,384,28,0,8,0,0,0,12,0,72,0,0,960,0,4,4,24,0,0,0,20,0,4,0,0,4,8,192,4,96,0,0,0,0,0,640,0,4,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-03.08.2005","03.08.2005",2005,8,3,0,40,1,552,0,2048,8,0,0,0,0,0,24,0,8,0,0,2408,0,0,0,8,0,0,0,8,0,24,0,0,0,24,24,0,40,0,48,0,0,0,224,0,0,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-02.08.2007","02.08.2007",2007,8,2,0,12,0,1826,0,384,18,0,2,0,0,0,12,6,54,6,0,1936,0,2,0,12,4,2,0,16,0,32,0,0,0,12,28,0,8,0,14,0,16,0,376,0,0,0
"NOR_055_MZB_LO_2","NOR_055_MZB_LO_2-17.08.2008","17.08.2008",2008,8,17,4,0,0,416,0,1680,8,0,4,0,0,0,144,0,136,0,0,2656,0,0,0,4,8,8,0,4,0,80,0,0,0,144,16,0,112,0,16,0,480,0,976,0,0,0
