"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXIDAE GEN. SP.","AMELETIDAE GEN. SP.","ANCYLUS-GR. (INCLUDING ACROLOXIDAE)","APHELOCHEIRIDAE GEN. SP.","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","ATHERICIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","CAENIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CHRYSOMELIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","COLEOPTERA GEN. SP.","CORDULEGASTRIDAE GEN. SP.","CORIXIDAE GEN. SP.","COROPHIIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","CULICIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","CYLINDROTOMIDAE GEN. SP.","DENDROCOELIDAE GEN. SP.","DIPTERA GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GASTROPODA GEN. SP.","GERRIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GYRINIDAE GEN. SP.","HAEMOPIS SANGUISUGA","HALIPLIDAE GEN. SP.","HEBRIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HIRUDINIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENIDAE GEN. SP.","HYDRIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROCHUS SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","HYGROBIIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MESOVELIIDAE GEN. SP.","MUSCIDAE GEN. SP.","MYSIDAE GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","NEPIDAE GEN. SP.","NOTERIDAE GEN. SP.","NOTONECTIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSIDAE GEN. SP.","PISCICOLIDAE GEN. SP.","PLANARIIDAE (INCLUDING DUGESIIDAE)","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","PLECOPTERA GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE (INCL. ECNOMIDAE)","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCAMBUS SP.","SCIOMYZIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SIPHLONURIDAE (INCLUDING AMELETIDAE)","SIPHLONURIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SUCCINEIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYGIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","TIPULIDAE GEN. SP.","TRICHOPTERA GEN. SP.","TRICLADIDA GEN. SP.","UNIONIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP.","VIVIPARIDAE GEN. SP.","ZYGOPTERA GEN. SP."
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-26.04.2005","26.04.2005",2005,4,26,0,0,0,0,3,0,0,120,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,1,14,0,0,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,200,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-27.04.2006","27.04.2006",2006,4,27,0,0,0,0,8,0,0,1024,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,10,0,0,0,1,60,0,0,4,0,1,0,0,0,0,0,160,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-05.04.2007","05.04.2007",2007,4,5,0,0,0,0,1,0,0,500,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,20,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-16.04.2008","16.04.2008",2008,4,16,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-26.05.2009","26.05.2009",2009,5,26,0,0,0,0,20,0,0,75,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,0,60,0,0,4,160,0,0,4,0,3,0,0,8,0,0,12,0,16,0,0,38,0,0,18,35,0,0,0,0,30,8,40,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-13.04.2010","13.04.2010",2010,4,13,0,0,0,0,1,0,0,350,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,2,36,0,0,4,4,0,0,0,0,0,0,22,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,0,0,0,6,12,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,1,0,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-04.05.2011","04.05.2011",2011,5,4,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,1,400,0,0,0,0,0,0,0,4,0,1,8,0,8,4,0,3,0,0,6,0,0,0,0,0,3,8,0,0,0,0,0,0,0,4,0,0,0,0,6,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-27.04.2012","27.04.2012",2012,4,27,0,0,0,0,5,0,0,397,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,101,0,0,0,0,0,79,0,0,2,0,0,0,0,0,0,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,1,0,0,0,0,2,9,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-26.04.2013","26.04.2013",2013,4,26,0,0,0,0,3,0,0,480,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,1,0,0,0,2,130,0,0,0,0,0,0,0,0,0,0,40,0,2,0,0,0,0,0,1,1,0,0,0,0,3,5,0,0,0,0,0,0,0,8,0,0,0,0,1,4,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCO_061_MZB_LO_1005","SCO_061_MZB_LO_1005-20.05.2014","20.05.2014",2014,5,20,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,70,2,50,0,0,1,35,0,0,0,0,0,0,0,0,0,0,7,0,28,1,0,7,0,0,0,3,0,0,0,0,55,3,0,4,0,0,0,0,0,0,0,0,0,0,4,12,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
