"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"AESHNIDAE GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"ASELLIDAE GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"ASTACIDAE GEN. SP.",4.8
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"BAETIDAE GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"BITHYNIA LEACHII LEACHII",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"BITHYNIA TENTACULATA",3.2
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"CALOPTERYGIDAE GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"CHIRONOMIDAE GEN. SP.",340.8
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"CORIXIDAE GEN. SP.",30.4
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"DIPTERA GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"DYTISCIDAE GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"GERRIDAE GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"HYDROPSYCHIDAE GEN. SP.",19.2
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"LYMNAEIDAE GEN. SP.",17.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"OLIGOCHAETA GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"POLYCENTROPODIDAE GEN. SP.",3.2
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"SIALIDAE GEN. SP.",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-19.06.2007","19.06.2007",2007,6,19,"UNIONIDAE GEN. SP.",3.2
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-20.05.2008","20.05.2008",2008,5,20,"CHIRONOMIDAE GEN. SP.",107.2
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-20.05.2008","20.05.2008",2008,5,20,"DIPTERA GEN. SP.",8
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-20.05.2008","20.05.2008",2008,5,20,"OLIGOCHAETA GEN. SP.",12.8
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-20.05.2008","20.05.2008",2008,5,20,"ORCONECTES LIMOSUS",1.6
"HUN_022_MZB_LO_1","HUN_022_MZB_LO_1-20.05.2008","20.05.2008",2008,5,20,"PHYSA SP.",1.6
