"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXIDAE GEN. SP.","AESHNIDAE GEN. SP.","AGRIOTYPINAE GEN. SP.","AMPHARETIDAE GEN. SP.","APHELOCHEIRIDAE GEN. SP.","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATYIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BLEPHARICERIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","BRANCHIOBDELLIDAE GEN. SP.","CAENIDAE GEN. SP.","CALAMOCERATIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CAMBARIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHAOBORIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CHRYSOMELIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORBICULIDAE GEN. SP.","CORDULEGASTRIDAE GEN. SP.","CORDULIIDAE GEN. SP.","CORIXIDAE GEN. SP.","CRAMBIDAE GEN. SP.","CRANGONYCTIDAE GEN. SP.","CULICIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","CYLINDROTOMIDAE GEN. SP.","DENDROCOELIDAE GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DREISSENIDAE GEN. SP.","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ECNOMUS SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GERRIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","GRAPSIDAE GEN. SP.","GYRINIDAE GEN. SP.","HALIPLIDAE GEN. SP.","HEBRIDAE GEN. SP.","HELICOPSYCHIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HIRUDINIDAE GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROCHUS SP.","HYDROMETRIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","HYDROSCAPHIDAE GEN. SP.","HYGROBIIDAE GEN. SP.","ISONYCHIIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIBELLULIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MARGARITIFERIDAE GEN. SP.","MESOVELIIDAE GEN. SP.","MOLANNIDAE GEN. SP.","MUSCIDAE GEN. SP.","MYSIDAE GEN. SP.","NAUCORIDAE GEN. SP.","NEMOURIDAE GEN. SP.","NEOEPHEMERIDAE GEN. SP.","NEPIDAE GEN. SP.","NERITIDAE GEN. SP.","NOTERIDAE GEN. SP.","NOTONECTIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGONEURIIDAE GEN. SP.","OSMYLIDAE GEN. SP.","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PHRYGANEIDAE GEN. SP.","PHYSIDAE GEN. SP.","PISCICOLIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIDIDAE GEN. SP.","PLEIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","POLYMITARCYIDAE GEN. SP.","POTAMANTHIDAE GEN. SP.","PSEPHENIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCIOMYZIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SIPHLONURIDAE GEN. SP.","SISYRIDAE GEN. SP.","SPERCHEIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","SPONGILLIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYGIDAE GEN. SP.","TALITRIDAE GEN. SP.","TETRASTEMMATIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","TIPULIDAE GEN. SP.","UENOIDAE GEN. SP.","UNIONIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP.","VIVIPARIDAE GEN. SP."
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-31.07.1998","31.07.1998",1998,7,31,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200,1,0,12,2,50,0,0,1,200,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-26.07.1999","26.07.1999",1999,7,26,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,450,50,200,0,0,50,200,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,50,4,0,0,0,0,0,0,0,0,0,0,200,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,50,0,200,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-02.08.2000","02.08.2000",2000,8,2,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,0,32,1,500,0,0,1,1000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,81,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-12.06.2009","12.06.2009",2009,6,12,1,0,0,0,0,1,0,0,0,121,0,0,0,0,0,0,0,0,0,0,3,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,276,0,543,0,0,2,6267,0,2,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,39,10,0,0,0,0,1,0,0,3,0,7,4,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,2,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,119,0,0,0,33,0,0,0,0,0,0,0,0,0,0,8,0,2,0
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-09.06.2010","09.06.2010",2010,6,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,284,0,0,6,305,0,0,0,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,70,6,0,0,0,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,253,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-27.06.2011","27.06.2011",2011,6,27,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,1,0,131,1,147,0,0,2,1900,0,2,0,9,0,0,0,3,0,0,0,10,0,0,5,0,0,0,101,0,0,0,0,0,27,0,0,6,0,11,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,8,0,0,0,10,0,2,6,0,280,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-27.06.2012","27.06.2012",2012,6,27,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,4,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,68,0,183,0,0,1,1542,0,1,0,42,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,327,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_1","FRA_016_MZB_LO_1-05.08.2014","05.08.2014",2014,8,5,0,0,2,0,0,3,0,0,0,257,0,0,0,0,0,0,0,0,0,0,1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,1,0,289,0,64,0,0,0,1675,0,0,0,6,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,26,2,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,316,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_10","FRA_016_MZB_LO_10-20.08.1997","20.08.1997",1997,8,20,0,0,0,0,16,0,0,2,0,18,0,0,0,7,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,17,0,12,0,0,36,930,2,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FRA_016_MZB_LO_10","FRA_016_MZB_LO_10-20.08.1998","20.08.1998",1998,8,20,0,0,0,0,39,4,0,2,0,87,0,0,0,116,0,0,0,1,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,24,4,158,0,0,45,1018,0,44,0,0,3,0,8,0,0,0,0,3,0,0,0,0,0,1,12,0,0,0,0,4,0,0,0,9,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,39,30,0,0,0,0,0,0,3,4,0,0,7,0,0,0,0,297,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"FRA_016_MZB_LO_10","FRA_016_MZB_LO_10-25.08.1999","25.08.1999",1999,8,25,0,0,0,0,25,1,0,2,0,28,0,0,0,150,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,53,198,0,0,8,1023,0,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,103,0,0,0,0,0,5,1,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,242,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FRA_016_MZB_LO_10","FRA_016_MZB_LO_10-24.08.2000","24.08.2000",2000,8,24,0,0,0,0,12,4,0,1,0,51,0,0,0,3,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,11,0,0,5,957,0,6,0,0,0,0,10,0,0,0,0,5,0,1,0,0,0,0,39,2,0,0,0,1,1,0,0,7,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,17,0,0,0,0,69,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
