"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXUS LACUSTRIS","AESHNA SP.","AGAPETUS SP.","AGRIOTYPUS ARMATUS","ALBOGLOSSIPHONIA HETEROCLITA","AMPULLACEANA BALTHICA","ANAX SP.","ANCYLUS FLUVIATILIS","ANISUS VORTEX","ANISUS VORTICULUS","ANODONTA CYGNEA CYGNEA","ANODONTA SP.","APHELOCHEIRUS AESTIVALIS","ASELLUS AQUATICUS","ATHERIX IBIS","ATRICHOPS CRASSIPES","ATYAEPHYRA DESMARESTI","BAETIS SP.","BATHYOMPHALUS CONTORTUS","BITHYNIA LEACHII SSP.","BITHYNIA TENTACULATA","BRACHYCENTRUS MACULATUS","BRACHYCENTRUS MONTANUS","BRACHYCENTRUS SUBNUBILUS","BRACHYCERCUS SP.","BRACHYPTERA RISI","BRYCHIUS ELEVATUS","BRYOZOA GEN. SP.","CAENIS SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CENTROPTILUM LUTEOLUM","CERATOPOGONIDAE GEN. SP.","CHALCOLESTES VIRIDIS","CHAOBORUS SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","CLOEON DIPTERUM","CLOEON SIMILE","COENAGRIONIDAE GEN. SP.","CORBICULA SP.","CORDULEGASTER SP.","CORDYLOPHORA CASPIA","CORIXIDAE GEN. SP.","COROPHIUM SP.","CULICIDAE GEN. SP.","DENDROCOELUM LACTEUM","DENDROCOELUM ROMANODANUBIALE","DICRANOTA SP.","DIKEROGAMMARUS VILLOSUS","DINOCRAS CEPHALOTES","DIPTERA GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DREISSENA POLYMORPHA","DUGESIA SP.","DYTISCIDAE GEN. SP.","ECHINOGAMMARUS BERILLONI","ECHINOGAMMARUS ISCHNUS","ECNOMUS TENELLUS","ELMIS SP.","ELODES SP.","ELOPHILA NYMPHAEATA NYMPHAEATA","EMPIDIDAE GEN. SP.","EPHEMERA DANICA","EPHEMERA VULGATA","EPHEMERELLA SP.","EPHORON VIRGO","ERIOCHEIR SINENSIS","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","FERRISSIA CLESSINIANA","FREDERICELLA SULTANA","GALBA TRUNCATULA","GAMMAROIDEA GEN. SP.","GAMMARUS SP.","GERRIDAE GEN. SP.","GLOSSIPHONIA COMPLANATA","GLOSSIPHONIA NEBULOSA","GLOSSOSOMA BOLTONI","GOERIDAE GEN. SP.","GOMPHUS VULGATISSIMUS","GYRAULUS ALBUS","GYRINUS SP.","HAEMOPIS SANGUISUGA","HALIPLUS SP.","HELOBDELLA STAGNALIS","HELOPHORUS SP.","HEMICLEPSIS MARGINATA","HEPTAGENIIDAE GEN. SP.","HIPPEUTIS COMPLANATUS","HYDRA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROMETRA STAGNORUM","HYDROPHILIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","HYPANIA INVALIDA","ILYOCORIS CIMICOIDES SSP.","ISOPTENA SERRICORNIS","JAERA SP.","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTES SP.","LESTES SPONSA","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LIPONEURA SP.","LYMNAEA STAGNALIS","LYPE SP.","MESOVELIA FURCATA","MICRASEMA LONGULUM","MOLANNA SP.","NEMOURIDAE GEN. SP.","NEPA CINEREA","NIPHARGUS SP.","NOTERUS CLAVICORNIS","NOTERUS CRASSICORNIS","NOTONECTA SP.","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","ONYCHOGOMPHUS FORCIPATUS","OPHIOGOMPHUS CECILIA","ORCHESTIA CAVIMANA","ORCONECTES LIMOSUS","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PALAEMONETES LONGIROSTRIS","PALUDICELLA ARTICULATA","PEREGRIANA LABIATA","PERLA ABDOMINALIS","PERLA MARGINATA","PERLODIDAE GEN. SP.","PHRYGANEA SP.","PHYSA FONTINALIS","PHYSELLA ACUTA","PISCICOLIDAE GEN. SP.","PLANARIA TORVA","PLANORBARIUS CORNEUS","PLANORBIS SP.","PLATYCNEMIS PENNIPES","PLEA MINUTISSIMA SSP.","PLUMATELLA SP.","POLYCELIS FELINA","POLYCELIS NIGRA","POLYCELIS NIGRA/TENUIS","POLYCELIS TENUIS","POLYCENTROPODIDAE GEN. SP.","POLYCHAETA GEN. SP.","PONTOGAMMARUS ROBUSTOIDES","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PROASELLUS SP.","PROCLOEON BIFIDUM","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","PTYCHOPTERA SP.","RADIX AURICULARIA","RADIX BALTHICA/LABIATA","RANATRA LINEARIS","RHYACOPHILA SP.","SERICOSTOMATIDAE GEN. SP.","SERRATELLA IGNITA","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHONOPERLA TORRENTIUM SSP.","SISYRA SP.","SPHAERIIDAE GEN. SP.","SPONGILLIDAE GEN. SP.","STAGNICOLA SP.","STENELMIS CANALICULATA","STRATIOMYIDAE GEN. SP.","SYMPETRUM SP.","TABANIDAE GEN. SP.","THEODOXUS FLUVIATILIS SSP.","THEROMYZON TESSULATUM","TINODES WAENERI SSP.","TIPULIDAE GEN. SP.","TORLEYA MAJOR","UNIO PICTORUM SSP.","VALVATA CRISTATA","VALVATA MACROSTOMA","VALVATA PISCINALIS SSP.","VELIA SP.","VIVIPARUS VIVIPARUS","ZYGOPTERA GEN. SP."
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-21.05.1986","21.05.1986",1986,5,21,0,0,0,0,0,65,0,6,0,0,0,0,0,0,0,0,0,77,0,0,0,65,0,0,0,0,0,0,0,0,0,6,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,20,0,0,0,0,0,65,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,20,0,0,0,85,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,65,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-21.05.1987","21.05.1987",1987,5,21,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,240,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,65,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,0,0,0,0,6,0,0,20,0,0,0,265,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,38,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-25.05.1988","25.05.1988",1988,5,25,0,0,0,0,0,20,0,0,0,0,0,0,0,6,6,0,0,206,0,0,0,65,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,6,0,0,0,71,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,206,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-31.05.1989","31.05.1989",1989,5,31,0,0,0,0,0,20,0,6,0,0,0,0,0,6,6,0,0,65,0,0,0,20,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,65,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,46,0,0,0,0,0,6,0,0,20,0,0,0,26,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,40,0,0,32,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-23.05.1990","23.05.1990",1990,5,23,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,65,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,20,0,0,0,6,0,0,0,0,20,0,0,0,0,0,65,0,6,0,0,0,0,0,0,0,0,6,0,0,20,0,0,0,0,0,0,40,0,0,0,0,0,20,0,6,6,0,0,0,12,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,6,0,20,0,85,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-05.06.1991","05.06.1991",1991,6,5,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,65,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,26,0,0,0,0,0,6,0,6,6,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,71,0,0,32,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-03.06.1992","03.06.1992",1992,6,3,0,0,0,0,0,42.5,0,6,0,0,0,0,0,13,0,0,0,138.5,0,0,6,6,0,0,0,0,0,0,12,0,0,6,20,0,0,0,6,0,0,6,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,50,0,0,0,0,6,0,0,6,0,0,0,0,20,0,0,0,0,0,200,6,6,0,0,0,0,0,6,0,24,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,42.5,0,18,20,0,0,0,107.5,0,0,6,0,0,0,0,0,0,25,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,77,0,0,68.5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-14.05.1993","14.05.1993",1993,5,14,0,0,0,0,0,0,0,0,6,0,0,0,0,20,0,0,0,91,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,32,0,0,0,0,0,0,0,12,6,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,32,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-25.05.1994","25.05.1994",1994,5,25,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,6,0,0,0,0,20,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,6,0,0,0,26,0,0,6,0,0,0,0,0,0,26,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,77,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_018_MZB_LO_10","GER_018_MZB_LO_10-24.05.1995","24.05.1995",1995,5,24,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,85,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,200,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,0,0,6,0,0,0,12,20,0,0,0,12,0,0,6,0,0,0,0,0,0,26,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
