"Unique.ID","Samp.ID","Sampling.date","year","month","day","AMPULLACEANA BALTHICA","ANACAENA GLOBULUS","ANCYLUS FLUVIATILIS","ANISUS LEUCOSTOMA","APHELOCHEIRUS AESTIVALIS","ASELLIDAE GEN. SP.","ATHERIX IBIS","ATRICHOPS CRASSIPES","BAETIDAE GEN. SP.","BITHYNIA TENTACULATA","BRACHYCENTRUS SP.","BRACHYPTERA SP.","BRYCHIUS ELEVATUS","BYTHINELLA DUNKERI","CAENIS SP.","CALOPTERYX SP.","CERATOPOGONIDAE GEN. SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","CHRYSOPS SP.","COENAGRIONIDAE GEN. SP.","CORBICULA FLUMINEA","CORDULEGASTER BOLTONII","CORIXIDAE GEN. SP.","CRANGONYX PSEUDOGRACILIS","CRUNOECIA IRRORATA SSP.","DENDROCOELUM LACTEUM","DICRANOTA SP.","DIXA SP.","DUGESIA SP.","DYTISCIDAE GEN. SP.","ELMIS SP.","ELODES SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","EPHEMERELLA MUCRONATA","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","GAMMARUS SP.","GLOSSIPHONIIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","GYRAULUS SP.","HAEMOPIS SANGUISUGA","HALIPLUS SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HETEROPTERA GEN. SP.","HYDRAENA SP.","HYDROCYPHON DEFLEXICOLLIS","HYDROPSYCHE SP.","HYDROPTILA SP.","IBISIA MARGINATA","ISOPERLA SP.","JAERA SARSI","LEPIDOPTERA GEN. SP.","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEBIUS TRUNCATELLUS","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LYPE SP.","MICRASEMA SP.","NEMOURA SP.","NEMURELLA PICTETII","NIPHARGUS SP.","NOTIDOBIA CILIARIS","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OECISMUS MONEDULA SSP.","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PEDICIA SP.","PERLIDAE GEN. SP.","PERLODES SP.","PHILOPOTAMUS LUDIFICATUS","PHILOPOTAMUS MONTANUS SSP.","PISIDIUM SP.","PLATYCNEMIS PENNIPES","PLEA MINUTISSIMA SSP.","POLYCELIS SP.","POLYCENTROPODIDAE GEN. SP.","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","PTYCHOPTERA SP.","RADIX SP.","RHYACOPHILA SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS AESTIVALIS","SIPHONOPERLA SP.","SPHAERIUM SP.","STENELMIS SP.","STRATIOMYIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TIPULIDAE GEN. SP.","TORLEYA MAJOR","TURBELLARIA GEN. SP.","WORMALDIA SP.","ZYGOPTERA GEN. SP."
"GER_070_MZB_LO_112","GER_070_MZB_LO_112-29.05.2006","29.05.2006",2006,5,29,0.8,0,4,0,0,0,0,0,71.2,0,1.6,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,8.8,0,24,0.8,57.6,0,0.8,40,0,0,2.4,40,0,3.2,0,0,0,0,0,44.8,0,6.4,0,18.4,0,0,3.2,0,0,0,0,0,45.6,55.2,0,37.6,19.2,0,0,0,0,0,0,0.8,0,0,6.4,0,21.6,4,1.6,0,0,0,0,0,0,0,0,0,4.8,0,0,0.8,0,0,0,0,2.4,61.6,120,1.6,0,0,0,0,0,0,0,0,20,0,0,0
"GER_070_MZB_LO_112","GER_070_MZB_LO_112-08.05.2007","08.05.2007",2007,5,8,0,0,2.4,0,0,0,0,0,34.4,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,2.4,0,16,0.8,32,0,0,2.4,0,0,4,5.6,0,1.6,0,0,0,0,0,32,0,5.6,0,61.6,0,0,4.8,0,0,0,0,0,23.2,16,0,6.4,3.2,0,0,0,0,0.8,0,0,0,0,4,0,2.4,2.4,0,0,7.2,0,0,16,0,0,0,0,0.8,0,0,16,0,0,0,0,0,16,16,0,4.8,0,2.4,0,0,0,0,0,2.4,0,0,0
"GER_070_MZB_LO_112","GER_070_MZB_LO_112-28.04.2008","28.04.2008",2008,4,28,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,4,0,70.4,0,0,0,0,0,0,0,0,8,0,3.2,0.8,54.4,52,0.8,16,3.2,0,2.4,52,0,1.6,0,0,0,0,0,192,0,5.6,0,20,0,0,3.2,0,0,0,0,0.8,16,16.8,0,16.8,161.6,0,0,0,0,1.6,0,0,0,0,7.2,0,25.6,16,3.2,0,8.8,0,0,0,0,0,0,0,0.8,0,0,0.8,0.8,0,0,0,0,52,0,0.8,1.6,0,52,0,0,0,0,0,0,0,0,0
"GER_070_MZB_LO_112","GER_070_MZB_LO_112-20.04.2009","20.04.2009",2009,4,20,0,0,8,0,0,0,0,0,160,0,0,4,0,0,0,0,5.6,0,159.2,0,0,0,0,0,0,0,0,4.8,0,0,0.8,85.6,0,4,4,8,0,39.2,136,0,11.2,0,0,0,0,0,312.8,0,14.4,0,36,0,0,22.4,0,0,0,0,0,32,2.4,0,38.4,163.2,0,0.8,0,0,0,0,0,0,0,9.6,0,2.4,8.8,0,0,3.2,0,0,0,0,0,0,0,3.2,0,0,4,0,0,0,0,1.6,121.6,0,4.8,0,0,44,0,0,0,0,0.8,2.4,0,0,0
"GER_070_MZB_LO_112","GER_070_MZB_LO_112-27.03.2013","27.03.2013",2013,3,27,0,0,0,0,0,0,0,0,197.6,0,0,4,0,0,0,0,0,0,29.6,0,0,0,0,0,0,0,0,2.4,0,8.8,1.6,31.2,0,0.8,3.2,16,0,38.4,32,0,0,0,0,0,0,0,86.4,0,20,0,9.6,0,0,6.4,0,0,0.8,0,0,58.4,32.8,0,8.8,29.6,0,0.8,0,9.6,8.8,0,0,0,0,3.2,0,5.6,4.8,0,0,7.2,1.6,0,4.8,0,0,0,0,4,0,0,9.6,0,0,0.8,0,3.2,7.2,0,0,20,0,16,0,0,0,0,0,0,0,0,0
"GER_070_MZB_LO_112","GER_070_MZB_LO_112-03.05.2016","03.05.2016",2016,5,3,0.8,0,0,0,0,0,0,0,116,0,0,0,0,2.4,0,0,4,0,253.6,0,0,0,0,0,0,0,0,3.2,0,0,0,38.4,0,4.8,1.6,0,0,52.8,53.6,0.8,0,0,0,0,0,0,28.8,0,30.4,0,5.6,0,0,9.6,0,0,0,0,0.8,74.4,144,0,7.2,41.6,0,1.6,0,0,0,0,7.2,0,0,3.2,0,0,3.2,0,0,0.8,0,0.8,0,1.6,0,0,0,0,0,0,1.6,0,0,0,0,2.4,9.6,0,0.8,4,0,18.4,0,0,0,0,0,1.6,0,0,0
"GER_070_MZB_LO_112","GER_070_MZB_LO_112-27.05.2019","27.05.2019",2019,5,27,0,0.8,4.8,0,0,0,0,0,20.8,0,0,0.8,0,0.8,0,0,4.8,0,721.6,0,0,0,0,0,0,0,0,0.8,4,1.6,4.8,132.8,0,1.6,16,0,9.6,105.6,32.8,0,0,0,0,0,0.8,0,8.8,0,36.8,0,21.6,0,0,4,0,0,0,0,8,77.6,160,0,56.8,175.2,0,1.6,0,1.6,0,0,10.4,0,2.4,1.6,0,0,1.6,4.8,0,10.4,0,0,0,4.8,0,0,0,5.6,0,6.4,22.4,4,0,0,0,8.8,4,400,0,204.8,0,0.8,0,0,0,0,4.8,0.8,0,0,0
"GER_070_MZB_LO_130","GER_070_MZB_LO_130-21.08.2006","21.08.2006",2006,8,21,0,0,12,0,52,0,16.8,3.2,252.8,0,0,0,0,0,0,0,0,68,168,0,0,0,0,0,0,0,0,2.4,0,12,0,167.2,0,0,0.8,0,1.6,16.8,61.6,0,0,0.8,0,0,0,0,2.4,0,4.8,0,232,12,0,0,0,0,0,1.6,19.2,0,54.4,0,2.4,25.6,0,0,0,2.4,0,0,0,0,0,0,0,5.6,0.8,52.8,0,0,3.2,0,0,8.8,0,0,0,5.6,0,0,6.4,0,0,0,0,4.8,2.4,36,0,44.8,0,0,0,10.4,0,0,2.4,0,0,0,0
"GER_070_MZB_LO_130","GER_070_MZB_LO_130-17.07.2007","17.07.2007",2007,7,17,4,0,16,0,52,4,16,0,20.8,0,0,0,1.6,0,0,0,0,6.4,40.8,0,0.8,0,0,0,0,0,0,3.2,0,2.4,0,104,0,0,7.2,0,0,24,53.6,0,0,0,0,0,0,0,0.8,0,3.2,0,76,16,0,0,0,0,0,6.4,1.6,0,20,0,0.8,24,0,0,0,2.4,0,0,0,0,0,0,0,0.8,0,68,0,0,0,0,0,2.4,0,0,0,2.4,0,0,0,0,0,0,0,1.6,16,52,0,4,0,0,2.4,24,0,0,0,0,0,0,0
"GER_070_MZB_LO_130","GER_070_MZB_LO_130-01.07.2008","01.07.2008",2008,7,1,0,0,0,0,4,0,8.8,0,79.2,0,0,0,0,0,0,0,0.8,0,86.4,0,0,0,0,0,0,0,0,2.4,0,2.4,0,19.2,0,0,0,0,0.8,93.6,16,0,0,0,0,0,0,0,17.6,0,3.2,0,10.4,0,0,0,0,0,0,0,20.8,0,18.4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,8.8,0,46.4,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0.8,6.4,2.4,120,1.6,4.8,0,0,5.6,12.8,0,0,0,0,0,0,0
