"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXUS LACUSTRIS","AGABUS SP.","AGAPETUS SP.","ALBOGLOSSIPHONIA HYALINA","AMPHINEMURA SP.","AMPULLACEANA BALTHICA","ANCYLUS FLUVIATILIS","ANODONTA SP.","APHELOCHEIRUS AESTIVALIS","AQUARIUS NAJAS","ASELLUS AQUATICUS","ASTACIDAE GEN. SP.","ATHERICIDAE GEN. SP.","BAETIS SP.","BITHYNIA TENTACULATA","BRACHYCENTRUS SUBNUBILUS","BRACHYCERCUS HARRISELLA","BRACHYPTERA SP.","BRYOZOA GEN. SP.","CAENIS SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CENTROPTILUM LUTEOLUM","CERATOPOGONIDAE GEN. SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CHRYSOPS SP.","CLINOCERINAE GEN. SP.","CLOEON DIPTERUM","COENAGRIONIDAE GEN. SP.","CORDULEGASTER BOLTONII","CORIXIDAE GEN. SP.","CRANGONYX PSEUDOGRACILIS","CULICIDAE GEN. SP.","CYPHON SP.","CYRNUS TRIMACULATUS","DICRANOTA SP.","DIXA SP.","DOLICHOPODIDAE GEN. SP.","DUGESIA GONOCEPHALA","DUGESIA LUGUBRIS/POLYCHROA","DUGESIA TIGRINA","ECDYONURUS DISPAR","ECDYONURUS TORRENTIS","ECDYONURUS VENOSUS-GR.","ELMIS SP.","ELODES SP.","EPEORUS ASSIMILIS","EPHEMERA DANICA","EPHEMERA VULGATA","ERPOBDELLA SP.","ESOLUS ANGUSTATUS","FREDERICELLA SULTANA","GALBA TRUNCATULA","GAMMARUS SP.","GERRIS SP.","GLOSSIPHONIA SP.","GLOSSOSOMA BOLTONI","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","GYRAULUS ALBUS","HALIPLUS FLUVIATILIS","HELOBDELLA STAGNALIS","HEMERODROMIA SP.","HEMICLEPSIS MARGINATA","HEPTAGENIA COERULANS","HEPTAGENIA FLAVA","HEPTAGENIA SULPHUREA","HYDRAENA SP.","HYDROBIIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPORINAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILA SP.","ILYOCORIS CIMICOIDES SSP.","ITHYTRICHIA LAMELLARIS","LACCOPHILUS SP.","LEPIDOPTERA GEN. SP.","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LYPE SP.","MICRASEMA LONGULUM","MUSCULIUM LACUSTRE","NEMATOCERA GEN. SP.","NEMOURA SP.","NEMURELLA PICTETII","NEPA CINEREA","NEURECLIPSIS BIMACULATA","NIPHARGUS SP.","NOTIDOBIA CILIARIS","NOTONECTA SP.","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OECISMUS MONEDULA SSP.","OLIGOCHAETA GEN. SP.","OLIGONEURIELLA RHENANA","ORCONECTES LIMOSUS","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PALUDICELLA ARTICULATA","PEDICIA SP.","PEREGRIANA LABIATA","PERLODIDAE GEN. SP.","PHYSELLA SP.","PISCICOLA SP.","PISIDIUM SP.","PLANARIA TORVA","PLATAMBUS MACULATUS","PLATYCNEMIS PENNIPES","PLECTROCNEMIA SP.","PLUMATELLA SP.","POLYCELIS FELINA","POLYCELIS NIGRA/TENUIS","POLYCENTROPUS FLAVOMACULATUS SSP.","POLYCENTROPUS IRRORATUS","POTAMANTHUS LUTEUS","PROASELLUS COXALIS","PROCLOEON BIFIDUM","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","RADIX SP.","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS LACUSTRIS","SISYRA SP.","SOMATOCHLORA METALLICA","SPHAERIUM SP.","SPONGILLIDAE GEN. SP.","THEROMYZON TESSULATUM","TIPULIDAE GEN. SP.","TORLEYA MAJOR","UNIO PICTORUM SSP.","VELIA SP."
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-30.07.2009","30.07.2009",2009,7,30,1,0,0,0,0,1,9,0,6,0,18,0,14,22,0,218,0,0,0,0,2,2,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,17,0,18,0,0,0,0,0,1,0,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-15.07.2010","15.07.2010",2010,7,15,0,0,0,0,0,0,1,0,34,0,43,0,2,45,0,800,0,0,0,1,3,3,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,18,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,75,0,1,0,0,0,0,0,1,1,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-07.07.2011","07.07.2011",2011,7,7,0,0,0,0,0,0,9,0,34,0,7,0,30,38,0,305,0,0,0,1,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,92,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,23,1,78,0,1,0,0,0,0,0,0,6,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-19.07.2012","19.07.2012",2012,7,19,0,0,0,0,0,2,2,0,160,0,0,0,52,31,0,520,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,0,52,0,6,0,0,0,0,0,0,1,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-02.07.2015","02.07.2015",2015,7,2,0,0,0,0,0,13,5,0,52,0,160,0,8,52,0,2400,0,0,2,24,2,2,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,7,0,0,1,0,0,23,0,0,0,0,0,0,6,0,0,52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,18,0,160,0,525,0,0,0,0,2,0,1,0,0,1
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-04.07.2016","04.07.2016",2016,7,4,0,0,0,0,0,2,7,0,52,0,160,0,1,156,0,2400,0,0,0,21,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,5,0,0,53,9,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,6,0,0,0,0,5,0,0,13,0,160,1,2364,0,0,0,0,0,0,1,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-19.06.2017","19.06.2017",2017,6,19,0,0,0,0,0,0,0,0,160,0,154,0,3,160,0,520,0,0,0,3,1,1,0,1,0,161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,54,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,11,6,0,0,0,2,0,0,160,0,160,0,7,0,0,0,0,0,0,0,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-04.07.2018","04.07.2018",2018,7,4,0,0,0,0,0,6,11,0,160,0,160,0,52,53,0,2400,0,0,0,2,2,2,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,20,0,0,160,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,0,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,22,0,160,0,2,0,0,0,5,7,0,0,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-11.07.2019","11.07.2019",2019,7,11,0,0,0,0,0,0,20,0,52,0,52,0,6,160,0,1600,0,0,0,0,3,3,0,1,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,23,0,0,52,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,5,0,0,18,0,160,0,7,0,0,0,2,0,0,0,0,0,0
"GER_072_MZB_LO_28","GER_072_MZB_LO_28-09.06.2020","09.06.2020",2020,6,9,1,0,0,0,0,0,8,0,65,0,65,0,0,207,0,2000,0,0,0,2,17,17,0,14,16,200,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,183,1,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,65,0,0,0,0,65,0,0,22,0,650,0,65,0,0,0,0,0,0,0,0,0,0
"GER_072_MZB_LO_29","GER_072_MZB_LO_29-18.05.2009","18.05.2009",2009,5,18,0,0,0,0,0,0,8,0,14,0,1,0,1,74,0,0,0,0,0,0,1,1,0,1,0,167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,0,1,0,0,65,13,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,148,0,0,19,0,120,0,49,0,0,0,0,0,0,0,0,0,0
